#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-08-16T15:53:54 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ611a898eda2f9	
#INFO	-out.max=unlimited	
#INFO	queryParameters=41	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/ApJS/93/549&tab:{J/ApJS/93/549/table1}&key:source=Arecibo+1612&HTTPPRM:&&-ref=VIZ611a898eda2f9&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/93/549/table1
#-order=I
#-out=L
#-out=IRAS
#-out=n_IRAS
#-out=Note
#-out=GLON
#-out=GLAT
#-out=RA1950
#-out=DE1950
#-out=S1612
#-out=S1612-l
#-out.all=2
#-out=S1612-h
#-out=DV100
#-out=u_DV100
#-out=DV50
#-out=u_DV50
#-out=Vl
#-out=Vh
#-out=<V>
#-out=(25-12)
#-out=(60-25)
#-out=LRS
#-out=Name
#-out=PSC
#PSC=PSC
#-out=_RA.icrs
#-out=_DE.icrs
#-out.all=2
#

#RESOURCE=yCat_20930549
#Name: J/ApJS/93/549
#Title: Arecibo 1612 MHz survey supplement (Lewis 1994)
#Coosys	B1950:	eq_FK4 B1950
#Table	J_ApJS_93_549_table1:
#Name: J/ApJS/93/549/table1
#Title: Profile parameters for 1612 MHz detections
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	L	(A1)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	IRAS	(A10)	IRAS name	[ucd=meta.id;meta.main]
#Column	n_IRAS	(A1)	[*] *: part of color-selected Arecibo sample	[ucd=meta.note]
#Column	Note	(A1)	[s] s: single to double peaked profiles	[ucd=meta.note]
#Column	GLON	(F5.1)	Galactic longitude	[ucd=pos.galactic.lon]
#Column	GLAT	(F5.1)	Galactic latitude	[ucd=pos.galactic.lat]
#Column	RA1950	(A10)	Right ascension (1950)	[ucd=pos.eq.ra;meta.main]
#Column	DE1950	(A9)	Declination (1950)	[ucd=pos.eq.dec;meta.main]
#Column	S1612	(F8.1)	Total integrated 1612MHz flux	[ucd=phot.flux.density;em.radio.1500-3000MHz]
#Column	S1612-l	(F7.1)	Integrated 1612MHz flux in the low-velocity half of the spectrum	[ucd=phot.flux.density;em.radio.1500-3000MHz]
#Column	S1612-h	(F8.1)	? Integrated 1612MHz flux in the high-velocity half of the spectrum	[ucd=phot.flux.density;em.radio.1500-3000MHz]
#Column	DV100	(F4.1)	? Velocity width at 100% of the peak velocity {Delta}V_100_	[ucd=spect.line.width]
#Column	u_DV100	(A1)	[)] Uncertainty flag on DV100	[ucd=meta.code.error]
#Column	DV50	(F4.1)	? Velocity width at 50% of the peak velocity {Delta}V_50_	[ucd=spect.line.width]
#Column	u_DV50	(A1)	[)] Uncertainty flag on DV50	[ucd=meta.code.error]
#Column	Vl	(F5.1)	LSR velocity of the low-velocity peak	[ucd=phys.veloc;stat.max]
#Column	Vh	(F5.1)	? LSR velocity of the high-velocity peak	[ucd=spect.dopplerVeloc;stat.max]
#Column	<V>	(F5.1)	Systemic LSR velocity	[ucd=spect.dopplerVeloc;pos.lsr]
#Column	(25-12)	(F6.3)	(25-12){mu}m infrared colour (1)	[ucd=phot.color;em.IR.8-15um;em.IR.15-30um]
#Column	(60-25)	(F6.3)	(60-25){mu}m infrared colour (1)	[ucd=phot.color;em.IR.15-30um;em.IR.30-60um]
#Column	LRS	(I2)	? IRAS low-resolution spectral-type (see Cat. III/197, Note 1) [NULL integer written as an empty string]	[ucd=src.spType]
#Column	Name	(a10)	Other name	[ucd=meta.id]
#Column	PSC	(A3)	Details from the IRAS-PSC catalog	[ucd=meta.ref.url]
#Column	_RA.icrs	(A10)	Right ascension (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A9)	Declination (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
_RAJ2000	_DEJ2000	L	IRAS	n_IRAS	Note	GLON	GLAT	RA1950	DE1950	S1612	S1612-l	S1612-h	DV100	u_DV100	DV50	u_DV50	Vl	Vh	<V>	(25-12)	(60-25)	LRS	Name	PSC	_RA.icrs	_DE.icrs
289.164269	+10.667542	 	19142+1034	 	 	 45.3	 -0.6	19 14 17.5	+10 34 39	  2655.5	 1027.0	  1628.5	28.2	 	28.7	 	 24.6	 52.7	 38.7	-0.394	-0.847	13	          	PSC	19 16 39.4	+10 40 03
290.568431	 +5.116134	L	19198+0501	*	 	 41.0	 -4.5	19 19 48.2	+05 01 11	  3348.2	 1855.5	  1492.7	12.7	 	13.8	 	-43.1	-30.3	-36.5	-0.662	-1.229	29	          	PSC	19 22 16.4	+05 06 58
291.091826	 +9.898287	L	19219+0947	 	 	 45.4	 -2.5	19 21 59.1	+09 47 58	 11772.5	11772.5	        	    	 	    	 	-62.1	     	-62.1	 0.378	-0.760	69	VY2-2     	PSC	19 24 22.0	+09 53 54
291.195884	+15.003813	L	19224+1454	 	 	 50.0	 -0.4	19 22 29.9	+14 54 16	   251.6	  233.7	    17.9	11.8	 	14.2	 	  0.5	 12.3	  5.5	-0.706	-0.927	27	          	PSC	19 24 47.0	+15 00 14
291.579148	+16.675012	L	19240+1634	 	 	 51.7	  0.1	19 24 03.8	+16 34 26	   652.4	  285.0	   367.3	11.8	 	12.9	 	  2.3	 14.1	  7.9	-0.693	-0.844	22	IRC-20404 	PSC	19 26 19.0	+16 40 30
291.717265	+16.734249	 	19246+1637	 	 	 51.8	  0.0	19 24 37.0	+16 37 57	   353.5	  353.3	        	    	 	    	 	-23.1	     	-23.1	-0.675	-0.449	13	          	PSC	19 26 52.1	+16 44 03
291.867090	+15.936584	L	19252+1550	 	 	 51.2	 -0.5	19 25 12.0	+15 50 03	   127.9	   87.2	    40.7	32.2	 	35.5	 	 43.7	 75.9	 59.0	-0.438	-0.843	33	          	PSC	19 27 28.1	+15 56 12
292.398353	 +4.556919	L	19271+0427	*	 	 41.4	 -6.4	19 27 06.7	+04 27 08	   718.1	  248.5	   469.6	13.6	 	15.2	 	 41.8	 55.5	 48.9	-0.666	-1.284	  	V1133 Aql 	PSC	19 29 35.6	+04 33 25
292.657518	+14.465129	L	19283+1421	*	 	 50.2	 -1.9	19 28 19.9	+14 21 33	   213.9	  154.4	   119.5	27.7	 	29.8	 	-19.5	  8.2	 -5.1	-0.403	-1.206	  	          	PSC	19 30 37.8	+14 27 54
292.822896	+20.322323	L	19291+2012	 	 	 55.5	  0.8	19 29 06.5	+20 12 56	  6865.3	 5547.2	  1318.2	32.2	 	33.3	 	  1.9	 34.1	 17.8	-0.409	-0.634	13	          	PSC	19 31 17.5	+20 19 20
293.698629	+30.768862	L	19328+3039	 	 	 65.0	  5.1	19 32 50.3	+30 39 29	   463.9	  199.5	   264.3	 7.3	 	 8.0	 	  0.4	  7.6	  4.0	-0.802	-1.254	22	IRC+30375 	PSC	19 34 47.7	+30 46 08
294.503761	+11.720838	L	19356+1136	 	 	 48.7	 -4.8	19 35 39.7	+11 36 24	    65.9	   65.9	        	    	 	    	 	-27.6	     	-21.6	-0.731	-1.150	24	RT Aql    	PSC	19 38 00.9	+11 43 15
297.159154	+27.992365	 	19466+2751	*	 	 64.1	  1.1	19 46 36.0	+27 51 59	   403.4	  219.2	   184.2	27.7	 	29.6	 	 29.6	 57.3	 43.3	-0.418	-1.024	29	          	PSC	19 48 38.2	+27 59 33
302.108352	+35.309490	 	20065+3509	 	 	 72.5	  1.4	20 06 32.3	+35 09 45	     6.9	    6.9	        	    	 	    	 	 22.3	     	 22.3	-0.700	-0.783	13	          	PSC	20 08 26.0	+35 18 34
304.025730	+24.227474	L	20139+2404	*	 	 64.1	 -6.1	20 13 57.3	+24 04 22	    81.1	   81.1	        	    	 	    	 	 22.7	     	 22.7	-0.645	-1.218	27	          	PSC	20 16 06.2	+24 13 39
304.632334	+34.387515	L	20165+3413	*	 	 72.9	 -0.9	20 16 35.6	+34 13 49	   901.0	  383.3	   121.9	 6.8	 	 7.8	 	 11.9	 18.7	 15.1	-0.656	-1.326	27	Au Cyg    	PSC	20 18 31.8	+34 23 15
306.860581	+37.379962	L	20255+3712	 	 	 76.3	 -0.5	20 25 33.6	+37 12 50	   209.7	  209.7	        	    	 	    	 	 -3.6	     	 -3.6	 0.682	 0.191	53	          	PSC	20 27 26.5	+37 22 48
307.010471	+31.479373	L	20260+3118	 	 	 71.7	 -4.2	20 26 01.4	+31 18 46	   206.1	  112.2	    93.9	30.9	 	31.6	 	-15.4	 15.5	  0.1	-0.413	-0.877	  	          	PSC	20 28 02.5	+31 28 46
310.691438	+30.068321	 	20406+2953	 	 	 72.3	 -7.4	20 40 41.5	+29 53 16	 61107.7	32344.3	 28763.4	21.3	 	22.0	 	  3.7	 25.0	 14.4	 0.332	-0.554	  	          	PSC	20 42 45.9	+30 04 06
317.570144	+18.577311	L	21079+1822	*	 	 67.1	-19.6	21 07 58.2	+18 22 22	   154.7	  112.8	    41.9	 8.2	 	 9.8	 	 -2.7	  5.5	  1.3	-0.591	-1.256	  	          	PSC	21 10 16.8	+18 34 38
273.705850	 +5.215401	 	18123+0511	*	s	 33.4	 10.5	18 12 21.7	+05 11 56	    87.8	   47.9	    39.9	 6.8	 	 7.3	 	 83.3	 90.1	 86.8	-0.394	-0.842	14	          	PSC	18 14 49.4	+05 12 55
284.516758	 +8.257822	 	18556+0811	*	s	 41.0	  2.3	18 55 39.6	+08 11 22	   491.9	  391.6	   100.4	19.5	 	20.8	 	 27.3	 46.8	 37.1	-0.494	-1.333	27	          	PSC	18 58 04.0	+08 15 28
284.795391	+17.450351	 	18569+1722	*	s	 49.4	  6.2	18 56 57.4	+17 22 50	   116.1	   86.9	    29.2	 7.4	 	 7.7	 	 -1.1	  6.2	  2.6	-0.653	-1.010	  	          	PSC	18 59 10.9	+17 27 01
292.472647	+15.112916	 	19276+1500	*	s	 50.7	 -1.4	19 27 36.3	+15 00 28	   361.5	  293.1	    68.3	32.2	 	33.3	 	 28.7	 60.9	 44.7	-0.423	-1.151	  	          	PSC	19 29 53.4	+15 06 46
294.133643	+25.070449	 	19344+2457	*	s	 60.2	  2.0	19 34 26.8	+24 57 28	   410.8	   64.6	   346.1	23.4	 	24.3	 	-17.7	  5.7	 -5.8	-0.185	-1.105	  	          	PSC	19 36 32.1	+25 04 14
294.781294	+29.043643	 	19371+2855	*	s	 64.0	  3.5	19 37 07.4	+28 55 41	   206.1	   -3.5	   209.6	29.5	 	30.4	 	  8.8	 38.4	 23.5	-0.517	-1.236	  	          	PSC	19 39 07.5	+29 02 37
295.031987	+34.120926	 	19382+3400	*	s	 68.5	  5.8	19 38 14.9	+34 00 15	   215.9	  102.0	   113.9	18.2	 	19.1	 	 -6.3	 11.9	  2.8	-0.484	-1.281	  	          	PSC	19 40 07.7	+34 07 15
296.724494	+27.008246	 	19448+2653	*	s	 63.0	  1.0	19 44 50.5	+26 53 03	  1820.8	  770.3	  1050.5	24.1	 	24.8	 	-13.6	 10.5	 -1.6	-0.365	-1.002	  	          	PSC	19 46 53.9	+27 00 30
296.860615	+16.592616	 	19451+1628	*	s	 54.1	 -4.4	19 45 10.5	+16 28 05	   179.7	   39.8	   139.9	30.9	 	31.5	 	 -4.9	 25.9	 10.5	-0.376	-0.881	  	          	PSC	19 47 26.5	+16 35 33
297.293692	+29.875469	 	19471+2944	*	s	 65.8	  2.0	19 47 10.8	+29 44 56	   197.2	   70.8	   126.4	27.7	 	28.9	 	-57.1	-29.5	-43.0	-0.432	-1.196	  	          	PSC	19 49 10.5	+29 52 32
298.050922	+22.792821	 	19500+2239	*	s	 60.0	 -2.2	19 50 03.2	+22 39 47	    41.6	  361.6	   380.0	27.7	 	28.2	 	 23.8	 51.5	 37.7	-0.411	-0.175	  	          	PSC	19 52 12.2	+22 47 34
298.456897	+22.427614	 	19516+2217	*	s	 39.9	 -2.7	19 51 40.1	+22 17 46	   367.0	  302.1	    64.9	 3.9	 	 4.9	 	 -8.1	 -4.3	 -6.5	-0.563	-1.060	  	          	PSC	19 53 49.7	+22 25 39
299.235013	+18.934787	 	19547-1848	*	s	 57.3	 -5.1	19 54 42.6	+18 48 00	  1160.5	  556.6	   603.9	 3.6	 	 4.8	 	 24.5	 28.2	 26.4	-0.664	-1.102	27	RX Sge    	PSC	19 56 56.4	+18 56 05
300.224368	+25.830705	 	19588+2541	*	s	 63.6	 -2.3	19 58 48.0	+25 41 30	   117.1	   84.7	    32.3	66.0	)	67.0	)	-24.5	 41.8	  8.8	-0.364	-0.951	  	          	PSC	20 00 53.8	+25 49 51
301.930503	 +6.053757	 	20052+0554	*	s	 47.4	-14.0	20 05 15.5	+05 54 28	   203.4	   64.6	   138.8	31.3	 	32.1	 	-84.8	-53.5	-69.2	-0.588	-1.190	29	IRC+10451 	PSC	20 07 43.3	+06 03 14
303.975775	+36.501289	 	20140+3620	 	s	 74.3	  0.8	20 14 01.4	+36 20 48	    43.5	  668.2	    75.4	24.1	 	25.4	 	-17.6	  6.4	 -5.6	-0.505	-0.548	29	          	PSC	20 15 54.2	+36 30 05
304.452534	+21.667781	 	20156+2130	*	s	 62.2	 -7.8	20 15 36.7	+21 30 41	   138.5	   67.5	    71.0	14.3	 	14.4	 	  6.1	 20.4	 13.2	-0.534	-1.093	29	          	PSC	20 17 48.6	+21 40 04

