#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-08-16T15:34:32 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ611a855bce089	
#INFO	-out.max=unlimited	
#INFO	queryParameters=26	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/AJ/123/2772&tab:{J/AJ/123/2772/doublede}&key:source=J/AJ/123/2772/doublede&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/123/2772/doublede
#-order=I
#-out=Name
#-out=RAJ2000
#-out=DEJ2000
#-out=Vlsr
#-out=Vexp
#-out=Sblue
#-out=Sred
#-out=IRAS
#-out=NIRAS
#-out=Tel
#-out=Sp
#Sp=Sp
#-out.all=2
#

#RESOURCE=yCat_51232772
#Name: J/AJ/123/2772
#Title: OH-selected AGB and post-AGB objects. I. (Sevenster+, 2002)
#Table	J_AJ_123_2772_doublede:
#Name: J/AJ/123/2772/doublede
#Title: OH double detections
#Column	_RAJ2000	(F12.8)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F12.8)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Name	(A16)	Source name, based on galactic coordinates	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A12)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vlsr	(F6.1)	LSR velocity	[ucd=phys.veloc;pos.lsr]
#Column	Vexp	(F4.1)	Expansion velocity	[ucd=phys.veloc.expansion]
#Column	Sblue	(F6.2)	Blue peak flux density	[ucd=phot.flux.density;em.IR]
#Column	Sred	(F6.2)	Red peak flux density	[ucd=phot.flux.density;em.IR]
#Column	IRAS	(A10)	Name of nearest IRAS point source <II/125>	[ucd=meta.id.assoc]
#Column	NIRAS	(F6.2)	Distance between OH pos and IRAS pos in fractions of IRAS error ellipse in the direction of the OH source	[ucd=pos.angDistance]
#Column	Tel	(A1)	[ABVW] Telescope (1)	[ucd=meta.id;instr.tel]
#Column	Sp	(A2)	OH-spectrum from VLA or ATCA	[ucd=meta.ref.url]
_RAJ2000	_DEJ2000	Name	RAJ2000	DEJ2000	Vlsr	Vexp	Sblue	Sred	IRAS	NIRAS	Tel	Sp
271.00442083	-24.11929444	OH006.235-01.115	18 04 01.061	-24 07 09.46	  44.4	19.7	  0.67	  2.82	18009-2407	  1.52	B	Sp
271.07265417	-21.51779167	OH008.533+00.108	18 04 17.437	-21 31 04.05	  43.0	18.3	  0.50	  0.39	18012-2131	  0.23	B	Sp
271.07274167	-21.51769444	OH008.533+00.108	18 04 17.458	-21 31 03.70	  43.2	18.1	  0.40	  0.40	18012-2131	  0.29	W	Sp
271.10798750	-26.72976389	OH004.005-02.476	18 04 25.917	-26 43 47.15	 257.2	 0.0	  0.32	  0.00	18016-2646	 32.82	A	Sp
271.19015833	-27.72012778	OH003.175-03.024	18 04 45.638	-27 43 12.46	  72.5	11.0	  0.72	  0.55	18016-2743	  0.29	A	Sp
271.23905000	-22.26430000	OH007.958-00.393	18 04 57.372	-22 15 51.48	 -31.8	 0.0	  1.00	  0.00	18019-2216	  0.98	W	Sp
271.23910833	-22.26408333	OH007.958-00.393	18 04 57.386	-22 15 50.70	 -32.2	 0.0	  1.33	  0.00	18019-2216	  1.03	B	Sp
271.28657500	-20.37064722	OH009.630+00.496	18 05 08.778	-20 22 14.33	 -63.6	13.9	  0.80	  1.81	18021-2022	  0.13	A	Sp
271.34762917	-24.58022778	OH005.987-01.613	18 05 23.431	-24 34 48.82	   0.2	 0.0	  0.38	  0.00	18022-2434	  6.48	A	Sp
271.39743750	-23.90613333	OH006.597-01.323	18 05 35.385	-23 54 22.08	  -2.7	10.2	  0.67	  0.80	18025-2354	  0.27	A	Sp
271.39786667	-21.22830833	OH008.933-00.014	18 05 35.488	-21 13 41.91	  34.0	 4.6	  0.50	  0.30	18025-2113	  0.47	W	Sp
271.39795417	-21.22831944	OH008.933-00.015	18 05 35.509	-21 13 41.95	  24.7	 0.0	  0.69	  0.00	18025-2113	  0.48	B	Sp
271.43577917	-21.22667778	OH008.952-00.045	18 05 44.587	-21 13 36.04	 -29.5	11.4	  0.30	  0.40	18025-2113	  6.66	W	Sp
271.43606250	-21.22713611	OH008.952-00.045	18 05 44.655	-21 13 37.69	 -19.1	 0.0	  0.39	  0.00	18025-2113	  6.71	B	Sp
271.45053750	-23.23556667	OH007.206-01.038	18 05 48.129	-23 14 08.04	 -11.8	19.0	  0.99	  0.62	18027-2314	  0.14	B	Sp
271.45054583	-23.23550556	OH007.206-01.038	18 05 48.131	-23 14 07.82	 -11.4	18.1	  1.10	  0.90	18027-2314	  0.11	W	Sp
271.47379583	-20.80818056	OH009.335+00.129	18 05 53.711	-20 48 29.45	  19.2	14.8	  0.70	  0.30	18029-2048	  0.66	W	Sp
271.47382917	-20.80868333	OH009.334+00.129	18 05 53.719	-20 48 31.26	  18.9	14.6	  0.75	  0.40	18029-2048	  0.41	B	Sp
271.48776250	-19.89988333	OH010.133+00.561	18 05 57.063	-19 53 59.58	 -74.6	11.7	  0.40	  0.89	18029-1954	  0.57	A	Sp
271.54547083	-21.23957500	OH008.991-00.140	18 06 10.913	-21 14 22.47	  62.5	14.8	  0.40	  0.10	18031-2114	  1.68	V	Sp
271.59417083	-21.19053056	OH009.056-00.156	18 06 22.601	-21 11 25.91	 -49.9	15.9	  0.40	  0.90	18033-2111	  0.22	W	Sp
271.59427500	-21.19094167	OH009.055-00.156	18 06 22.626	-21 11 27.39	 -49.8	16.1	  0.61	  1.35	18033-2111	  0.04	B	Sp
271.63922500	-27.13115000	OH003.885-03.085	18 06 33.414	-27 07 52.14	-195.4	 0.0	  0.30	  0.00	18034-2708	  0.44	A	Sp
271.83569167	-25.28905556	OH005.583-02.345	18 07 20.566	-25 17 20.60	  52.2	15.9	  0.20	  0.30	18042-2517	  0.26	V	Sp
271.83686667	-21.27008889	OH009.097-00.392	18 07 20.848	-21 16 12.32	  87.3	14.8	  7.60	  0.30	18043-2116	  0.37	W	Sp
271.83692083	-21.26968333	OH009.097-00.392	18 07 20.861	-21 16 10.86	  85.3	13.9	  8.39	  0.26	18043-2116	  0.55	B	Sp
271.84326250	-21.51516944	OH008.885-00.517	18 07 22.383	-21 30 54.61	 192.9	15.9	  0.40	  0.90	18042-2131	  3.92	W	Sp
271.84330000	-21.51502778	OH008.885-00.516	18 07 22.392	-21 30 54.10	 193.3	16.8	  0.70	  0.77	18042-2131	  3.92	B	Sp
271.86967917	-23.39704167	OH007.253-01.453	18 07 28.723	-23 23 49.35	 161.5	12.4	  0.85	  0.31	18044-2324	  0.53	A	Sp
271.92116667	-23.36154444	OH007.307-01.477	18 07 41.080	-23 21 41.56	 -32.9	17.0	  0.10	  0.20	18046-2322	  0.22	W	Sp
271.92120417	-23.36108889	OH007.307-01.477	18 07 41.089	-23 21 39.92	 -33.4	16.1	  0.25	  0.41	18046-2322	  0.45	B	Sp
271.97980000	-21.30256389	OH009.133-00.524	18 07 55.152	-21 18 09.23	 -23.5	 0.0	  0.40	  0.00	18049-2118	  0.12	A	Sp
271.99602083	-20.45960833	OH009.877-00.128	18 07 59.045	-20 27 34.59	  94.8	16.1	  0.42	  0.28	18050-2028	  0.22	B	Sp
271.99612917	-20.45916389	OH009.878-00.128	18 07 59.071	-20 27 32.99	  95.3	15.9	  1.50	  0.90	18050-2028	  0.20	W	Sp
272.01349167	-20.29676667	OH010.027-00.063	18 08 03.238	-20 17 48.36	   7.9	10.2	  0.80	  0.30	18048-2019	 11.36	W	Sp
272.01358750	-20.29653889	OH010.028-00.063	18 08 03.261	-20 17 47.54	   7.2	10.2	  0.62	  0.30	18048-2019	 11.46	B	Sp
272.01687917	-22.22435278	OH008.344-01.002	18 08 04.051	-22 13 27.67	   5.7	19.0	 39.45	 34.67	18050-2213	  0.21	B	Sp
272.01692500	-22.22403056	OH008.344-01.002	18 08 04.062	-22 13 26.51	   5.7	19.3	 21.90	 17.60	18050-2213	  0.23	W	Sp
272.05341250	-24.24353611	OH006.594-02.011	18 08 12.819	-24 14 36.73	 119.9	14.6	  0.69	  0.26	18051-2415	  0.16	B	Sp
272.05348333	-24.24366944	OH006.594-02.011	18 08 12.836	-24 14 37.21	 120.3	13.6	  0.40	  0.20	18051-2415	  0.24	W	Sp
272.06823333	-20.26986389	OH010.076-00.095	18 08 16.376	-20 16 11.51	  51.7	28.5	  1.05	  2.02	18052-2016	  0.12	A	Sp
272.11811250	-15.22464722	OH014.512+02.310	18 08 28.347	-15 13 28.73	  60.2	12.4	  1.50	  1.40	18056-1514	  0.25	V	Sp
272.13171667	-21.14278333	OH009.341-00.570	18 08 31.612	-21 08 34.02	 -20.4	 0.0	  0.50	  0.00	18055-2109	  0.17	W	Sp
272.13177500	-21.14280556	OH009.341-00.570	18 08 31.626	-21 08 34.10	 -16.2	 0.0	  0.50	  0.00	18055-2109	  0.18	B	Sp
272.21669167	-26.27252500	OH004.887-03.121	18 08 52.006	-26 16 21.09	  11.2	18.3	  0.23	  0.27	18057-2616	  0.17	A	Sp
272.26921667	-18.84565556	OH011.413+00.430	18 09 04.612	-18 50 44.36	 133.9	11.4	  0.30	  0.50	18061-1851	  0.34	V	Sp
272.52001667	-23.53606389	OH007.420-02.042	18 10 04.804	-23 32 09.83	 -63.3	11.0	  1.75	  1.59	18070-2332	  0.38	B	Sp
272.52001667	-23.53624444	OH007.420-02.042	18 10 04.804	-23 32 10.48	 -63.5	11.4	  1.20	  1.50	18070-2332	  0.28	W	Sp
272.52456667	-17.44190833	OH012.759+00.897	18 10 05.896	-17 26 30.87	  26.1	10.2	  1.50	  1.00	18071-1727	  0.62	V	Sp
272.55417500	-17.28170556	OH012.913+00.949	18 10 13.002	-17 16 54.14	  77.2	 9.1	  0.60	  0.80	18073-1717	  1.59	V	Sp
272.58171250	-19.27380000	OH011.181-00.035	18 10 19.611	-19 16 25.68	 -21.5	12.4	  0.90	  1.00	18073-1917	  0.50	V	Sp
272.66110417	-18.88280000	OH011.560+00.088	18 10 38.665	-18 52 58.08	  42.0	21.6	  4.30	 33.50	18076-1853	  0.31	V	Sp
272.66800000	-19.09656389	OH011.376-00.021	18 10 40.320	-19 05 47.63	  80.6	17.0	  2.00	  2.80	18077-1906	  0.40	V	Sp
272.76686667	-22.62476944	OH008.328-01.802	18 11 04.048	-22 37 29.17	  55.0	16.8	  0.81	  1.05	18080-2238	  0.83	B	Sp
272.76694583	-22.62499722	OH008.328-01.803	18 11 04.067	-22 37 29.99	  55.6	17.0	  0.30	  0.40	18080-2238	  0.68	W	Sp
272.80535833	-19.12014444	OH011.418-00.146	18 11 13.286	-19 07 12.52	 105.6	17.0	  0.40	  0.30	18082-1907	  0.22	V	Sp
272.84254167	-21.46926389	OH009.375-01.308	18 11 22.210	-21 28 09.35	 117.0	13.1	  0.47	  0.77	18083-2128	  0.16	A	Sp
272.89202500	-14.66506944	OH015.364+01.925	18 11 34.086	-14 39 54.25	  12.4	14.8	  3.40	  2.50	18087-1440	  0.34	V	Sp
272.95356250	-18.64673056	OH011.900-00.041	18 11 48.855	-18 38 48.23	 -57.9	17.0	  0.20	  0.20	18088-1839	  0.54	V	Sp
273.01425000	-16.92542500	OH013.437+00.736	18 12 03.420	-16 55 31.53	  -3.4	17.0	  0.40	  0.50	18091-1656	  0.20	V	Sp
273.01462083	-18.24007222	OH012.285+00.103	18 12 03.509	-18 14 24.26	  23.8	12.5	  3.80	  0.40	18091-1815	  0.09	V	Sp
273.07591667	-17.71665556	OH012.772+00.304	18 12 18.220	-17 42 59.96	 139.6	12.5	  0.50	  0.40	18092-1742	  9.27	V	Sp
273.08504583	-23.78248611	OH007.452-02.615	18 12 20.411	-23 46 56.95	  48.8	17.0	  0.20	  0.20	18092-2347	  0.64	V	Sp
273.10906250	-19.24698056	OH011.445-00.459	18 12 26.175	-19 14 49.13	  68.1	13.6	  0.20	  0.20	18094-1915	  0.66	V	Sp
273.25212500	-18.12914444	OH012.490-00.041	18 13 00.510	-18 07 44.92	  63.5	13.6	  0.30	  0.30	18099-1808	  3.20	V	Sp
273.26291250	-19.23851667	OH011.522-00.582	18 13 03.099	-19 14 18.66	  18.1	13.6	  0.70	  1.10	18100-1915	  0.28	V	Sp
273.28629583	-18.46372500	OH012.212-00.230	18 13 08.711	-18 27 49.41	  36.3	13.6	  5.60	  6.20	18102-1828	  0.42	V	Sp
273.32726250	-15.87402500	OH014.504+00.977	18 13 18.543	-15 52 26.49	  18.2	 0.0	  1.40	  0.00	18104-1553	  0.80	V	Sp
273.33433333	-17.62148611	OH012.973+00.133	18 13 20.240	-17 37 17.35	  17.0	21.5	  0.80	  0.50	18103-1738	  1.13	V	Sp
273.37467083	-19.58419444	OH011.269-00.840	18 13 29.921	-19 35 03.10	  17.0	 7.9	  0.80	  1.10	18105-1935	  1.49	V	Sp
273.57551667	-13.60364722	OH016.613+01.851	18 14 18.124	-13 36 13.13	  82.8	10.2	  0.20	  0.30	18114-1337	  0.07	V	Sp
273.61487500	-17.30475000	OH013.379+00.050	18 14 27.570	-17 18 17.10	  52.2	13.6	  0.10	  0.30	18120-1717	  6.41	V	Sp
273.62554167	-17.71855556	OH013.021-00.157	18 14 30.130	-17 43 06.80	 -28.4	17.0	  1.60	  1.70	18115-1744	  1.91	V	Sp
273.62792083	-21.64124444	OH009.574-02.032	18 14 30.701	-21 38 28.48	   7.9	14.8	  2.50	  2.20	18115-2139	  0.08	W	Sp
273.62803333	-21.64115833	OH009.575-02.032	18 14 30.728	-21 38 28.17	   8.2	13.9	  2.62	  2.09	18115-2139	  0.11	B	Sp
273.65309583	-15.91086944	OH014.622+00.684	18 14 36.743	-15 54 39.13	 145.2	15.9	  0.40	  0.30	18117-1555	  0.25	V	Sp
273.71467083	-14.27181667	OH016.090+01.414	18 14 51.521	-14 16 18.54	  46.5	17.0	  0.70	  1.00	18120-1417	  0.11	V	Sp
273.83864167	-20.72563333	OH010.474-01.768	18 15 21.274	-20 43 32.28	 -93.1	13.6	  0.10	  0.20	18123-2044	  0.17	V	Sp
273.98325833	-17.50703056	OH013.369-00.355	18 15 55.982	-17 30 25.31	  47.7	20.5	  0.30	  0.30	18130-1731	  0.19	V	Sp
274.04712917	-16.80024722	OH014.020-00.073	18 16 11.311	-16 48 00.89	-114.7	17.0	  0.80	  1.00	18129-1648	 15.00	V	Sp
274.10703333	-14.92143333	OH015.700+00.770	18 16 25.688	-14 55 17.16	  -1.1	14.8	  9.60	  7.90	18135-1456	  0.65	V	Sp
274.20510833	-18.25043611	OH012.816-00.895	18 16 49.226	-18 15 01.57	 -55.6	12.5	  4.80	  4.20	18139-1816	  1.48	V	Sp
274.21431250	-16.41973889	OH014.431-00.033	18 16 51.435	-16 25 11.06	  36.3	 2.2	  0.40	  0.60	18141-1626	  6.51	V	Sp
274.25280833	-16.30020833	OH014.554-00.008	18 17 00.674	-16 18 00.75	  34.0	15.9	  1.10	  1.50	18146-1620	 16.93	V	Sp
274.25867917	-17.48967500	OH013.510-00.578	18 17 02.083	-17 29 22.83	  77.2	 4.6	  0.20	  0.90	18144-1731	  5.10	V	Sp
274.38407500	 -9.75050833	OH020.384+02.984	18 17 32.178	-09 45 01.83	  31.8	 0.0	  3.40	  0.00	18147-0946	  0.65	V	Sp
274.49395833	 -9.30871944	OH020.825+03.097	18 17 58.550	-09 18 31.39	  27.2	13.6	  2.60	  3.10	18152-0919	  0.64	V	Sp
274.54405000	-16.13695000	OH014.830-00.177	18 18 10.572	-16 08 13.02	 -47.7	11.4	  0.90	  0.70	18152-1609	  1.06	V	Sp
274.65953750	-12.37711111	OH018.195+01.504	18 18 38.289	-12 22 37.60	  52.2	13.6	  0.30	  0.50	18158-1223	  0.71	V	Sp
274.72497083	-15.57785833	OH015.405-00.066	18 18 53.993	-15 34 40.29	 -28.4	14.8	  0.80	  1.70	18160-1535	  0.10	V	Sp
274.78556250	-14.41731667	OH016.455+00.432	18 19 08.535	-14 25 02.34	  31.8	13.6	  0.30	  0.20	18163-1426	  0.22	V	Sp
274.89772083	-12.13568889	OH018.518+01.413	18 19 35.453	-12 08 08.48	 175.9	10.2	  3.20	  3.00	18167-1209	  0.81	V	Sp
274.91597500	-16.55155278	OH014.634-00.688	18 19 39.834	-16 33 05.59	 -74.9	13.6	  0.30	  0.20	18167-1634	  0.06	V	Sp
274.91813750	-14.72258333	OH016.247+00.174	18 19 40.353	-14 43 21.30	  14.8	21.5	  0.50	  0.60	18168-1444	  0.50	V	Sp
274.91844167	-11.88305000	OH018.750+01.514	18 19 40.426	-11 52 58.98	   0.0	15.9	  0.60	  0.40	18168-1154	  0.50	V	Sp
274.98405417	 -9.79475556	OH020.624+02.441	18 19 56.173	-09 47 41.12	  18.2	15.9	  0.50	  0.40	18171-0949	  0.23	V	Sp
275.06672500	-16.68444722	OH014.585-00.878	18 20 16.014	-16 41 04.01	  73.8	17.0	  0.20	  0.20	18173-1642	  0.61	V	Sp
275.07381250	-11.78017778	OH018.913+01.429	18 20 17.715	-11 46 48.64	  62.5	14.8	  0.20	  0.20	18174-1148	  1.75	V	Sp
275.13098750	-14.34323611	OH016.678+00.172	18 20 31.437	-14 20 35.65	  26.1	12.5	  0.50	  0.30	18176-1421	  0.35	V	Sp
275.15399167	-18.78604167	OH012.769-01.941	18 20 36.958	-18 47 09.75	  12.5	19.3	  6.90	  3.70	18176-1848	  0.11	V	Sp
275.27891250	-15.05614167	OH016.117-00.291	18 21 06.939	-15 03 22.11	  21.5	21.5	  6.80	  9.40	18182-1504	  0.56	V	Sp
275.28417083	 -8.81077222	OH021.633+02.642	18 21 08.201	-08 48 38.78	 -11.4	15.9	  0.40	  0.70	18184-0850	  0.31	V	Sp
275.45751250	-14.17611389	OH016.975-00.029	18 21 49.803	-14 10 34.01	  50.0	15.9	  1.50	  1.80	18189-1412	  1.17	V	Sp
275.56631250	-14.37473333	OH016.849-00.215	18 22 15.915	-14 22 29.04	  21.5	17.0	  0.90	  0.50	18193-1424	  0.75	V	Sp
275.60712500	-20.50810556	OH011.447-03.125	18 22 25.710	-20 30 29.18	 -62.5	14.8	  0.20	  0.10	18194-2031	  0.11	V	Sp
275.63608750	-19.34303333	OH012.491-02.605	18 22 32.661	-19 20 34.92	 -10.2	17.0	  0.20	  0.20	18195-1922	  0.38	V	Sp
275.64144583	-15.10349722	OH016.240-00.622	18 22 33.947	-15 06 12.59	  42.0	17.0	  0.20	  0.70	18197-1507	  0.80	V	Sp
275.67165417	-13.68249722	OH017.508+00.019	18 22 41.197	-13 40 56.99	  66.9	14.8	  0.80	  1.10	18198-1342	  0.21	V	Sp
275.67942500	-12.79495833	OH018.296+00.429	18 22 43.062	-12 47 41.85	  48.8	14.8	  1.10	  1.20	18198-1249	  0.59	V	Sp
275.82444167	-13.71324167	OH017.551-00.126	18 23 17.866	-13 42 47.67	  42.0	14.8	  1.80	  1.10	18204-1344	  0.27	V	Sp
275.85749583	-15.03469444	OH016.398-00.774	18 23 25.799	-15 02 04.90	 -59.0	15.9	  0.60	  0.30	18205-1503	  3.03	V	Sp
275.86966667	-10.45574444	OH020.449+01.361	18 23 28.720	-10 27 20.68	  38.5	18.1	  0.50	  0.70	18207-1029	  0.41	V	Sp
275.89579167	-13.93044722	OH017.391-00.289	18 23 34.990	-13 55 49.61	  29.5	15.9	  2.80	  1.90	18211-1357	 11.28	V	Sp
275.96222083	-12.84488611	OH018.381+00.162	18 23 50.933	-12 50 41.59	  20.5	 9.1	  4.40	  0.40	18211-1251	  3.93	V	Sp
276.00647083	-18.39016389	OH013.498-02.469	18 24 01.553	-18 23 24.59	  28.4	12.5	  1.00	  0.30	18210-1825	  0.41	V	Sp
276.02206250	-12.43674167	OH018.769+00.302	18 24 05.295	-12 26 12.27	  12.4	14.8	  5.40	  3.60	18212-1227	  1.02	V	Sp
276.07770000	-10.60879167	OH020.410+01.109	18 24 18.648	-10 36 31.65	  96.4	14.8	  0.50	  0.70	18215-1038	  0.20	V	Sp
276.15095833	-12.85163611	OH018.461-00.003	18 24 36.230	-12 51 05.89	  49.9	 0.0	  0.40	  0.00	18217-1252	  1.00	V	Sp
276.17217083	 -7.40229444	OH023.290+02.524	18 24 41.321	-07 24 08.26	  81.8	18.1	  0.20	  0.50	18219-0725	  0.60	V	Sp
276.19633750	-12.31983889	OH018.952+00.206	18 24 47.121	-12 19 11.42	  38.6	15.9	  1.40	  0.50	18219-1221	  1.55	V	Sp
276.28941667	-13.45032222	OH017.995-00.402	18 25 09.460	-13 27 01.16	  32.9	 5.7	  0.80	  1.50	18223-1328	  0.51	V	Sp
276.36481667	-13.27957222	OH018.180-00.388	18 25 27.556	-13 16 46.46	  84.0	13.6	  0.50	  0.90	18226-1318	  1.52	V	Sp
276.49928333	-12.48483333	OH018.944-00.133	18 25 59.828	-12 29 05.40	   5.7	21.5	  1.50	  1.50	18232-1230	  2.53	V	Sp
276.54373333	-14.47229444	OH017.206-01.098	18 26 10.496	-14 28 20.26	 171.4	12.4	  0.40	  0.70	18233-1430	  0.25	V	Sp
276.56601667	-14.70748889	OH017.008-01.226	18 26 15.844	-14 42 26.96	   2.3	 9.1	  1.00	  0.60	18234-1444	  0.41	V	Sp
