#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-08-16T15:36:45 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ611a85f6cfd1f	
#INFO	-out.max=unlimited	
#INFO	queryParameters=31	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/AJ/123/2772&tab:{J/AJ/123/2772/tablevla}&key:source=J/AJ/123/2772/tablevla&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/123/2772/tablevla
#-order=I
#-out=Seq
#-out=Name
#-out=Type
#-out=RAJ2000
#-out=DEJ2000
#-out=Delta
#-out=Offset
#-out=Vlow
#-out=Vhigh
#-out=Vc
#-out=Vout
#-out=Slow
#-out=Shigh
#-out=rms
#-out=Ref
#-out=IRAS
#-out=Dist
#-out.all=2
#

#RESOURCE=yCat_51232772
#Name: J/AJ/123/2772
#Title: OH-selected AGB and post-AGB objects. I. (Sevenster+, 2002)
#Table	J_AJ_123_2772_tablevla:
#Name: J/AJ/123/2772/tablevla
#Title: VLA region
#Column	_RAJ2000	(F12.8)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F12.8)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Seq	(I3)	Source number	[ucd=meta.id;meta.main]
#Column	Name	(A16)	Source name, based on galactic coordinates	[ucd=meta.id]
#Column	Type	(A1)	Spectrum type (double/single/irregular)	[ucd=meta.note;src.morph.type]
#Column	RAJ2000	(A12)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Delta	(F5.2)	Theoretical positional error from IMFIT (not practical)	[ucd=stat.error]
#Column	Offset	(F4.1)	Offset from pointing centre	[ucd=obs.param;arith.diff]
#Column	Vlow	(F6.1)	Low velocity	[ucd=phys.veloc]
#Column	Vhigh	(F6.1)	High velocity	[ucd=phys.veloc]
#Column	Vc	(F6.1)	Central star velocity	[ucd=meta.id]
#Column	Vout	(F4.1)	Outflow velocity shell	[ucd=phys.veloc]
#Column	Slow	(F4.1)	Low flux density	[ucd=phot.flux.density;em.radio]
#Column	Shigh	(F5.1)	High flux density	[ucd=phot.flux.density;em.radio]
#Column	rms	(I3)	rms noise in empty cubes	[ucd=stat.stdev;instr.det.noise]
#Column	Ref	(A1)	[*+x-] Reference symbol OH	[ucd=meta.ref;pos.frame]
#Column	IRAS	(A10)	Name of nearest IRAS point source <II/125>	[ucd=meta.id.assoc]
#Column	Dist	(F7.3)	Distance to IRAS PS (confidence radii)	[ucd=pos.angDistance]
_RAJ2000	_DEJ2000	Seq	Name	Type	RAJ2000	DEJ2000	Delta	Offset	Vlow	Vhigh	Vc	Vout	Slow	Shigh	rms	Ref	IRAS	Dist
271.00438750	-24.11888056	 17	OH006.236-01.115	d	18 04 01.053	-24 07 07.97	 0.01	15.7	  25.0	  63.6	  44.3	19.3	 0.6	  2.0	 24	*	18009-2407	  1.431
271.07274167	-21.51769444	 18	OH008.533+00.108	d	18 04 17.458	-21 31 03.70	 0.02	 6.8	  25.0	  61.3	  43.2	18.1	 0.4	  0.4	 27	*	18012-2131	  0.286
271.23905000	-22.26430000	 19	OH007.958-00.393	s	18 04 57.372	-22 15 51.48	 0.01	 6.9	 -31.8	-999.0	 -31.8	 0.0	 1.0	-99.0	 26	*	18019-2216	  0.978
271.39786667	-21.22830833	 20	OH008.933-00.014	d	18 05 35.488	-21 13 41.91	 0.04	 4.1	  29.5	  38.6	  34.0	 4.6	 0.5	  0.3	 25	*	18025-2113	  0.470
271.43577917	-21.22667778	 21	OH008.952-00.045	d	18 05 44.587	-21 13 36.04	 0.06	 3.9	 -40.9	 -18.2	 -29.5	11.4	 0.3	  0.4	 25	*	18025-2113	  6.664
271.45054583	-23.23550556	 22	OH007.206-01.038	d	18 05 48.131	-23 14 07.82	 0.01	12.6	 -29.5	   6.8	 -11.4	18.1	 1.1	  0.9	 21	*	18027-2314	  0.109
271.47379583	-20.80818056	 23	OH009.335+00.129	d	18 05 53.711	-20 48 29.45	 0.01	12.6	   4.5	  34.0	  19.2	14.8	 0.7	  0.3	 25	*	18029-2048	  0.656
271.54547083	-21.23957500	 24	OH008.991-00.140	d	18 06 10.913	-21 14 22.47	 0.09	 8.4	  47.7	  77.2	  62.5	14.8	 0.4	  0.1	 25	x	18031-2114	  1.680
271.59417083	-21.19053056	 25	OH009.056-00.156	d	18 06 22.601	-21 11 25.91	 0.02	 9.9	 -65.8	 -34.0	 -49.9	15.9	 0.4	  0.9	 25	*	18033-2111	  0.218
271.83569167	-25.28905556	 26	OH005.583-02.345	d	18 07 20.566	-25 17 20.60	 0.22	10.6	  36.3	  68.1	  52.2	15.9	 0.2	  0.3	 20	-	18042-2517	  0.262
271.83686667	-21.27008889	 27	OH009.097-00.392	d	18 07 20.848	-21 16 12.32	 0.00	 8.7	  72.6	 102.1	  87.3	14.8	 7.6	  0.3	 22	*	18043-2116	  0.369
271.84326250	-21.51516944	 28	OH008.885-00.517	d	18 07 22.383	-21 30 54.61	 0.01	 6.9	 177.0	 208.8	 192.9	15.9	 0.4	  0.9	 22	*	18042-2131	  3.922
271.92116667	-23.36154444	 29	OH007.307-01.477	d	18 07 41.080	-23 21 41.56	 0.10	11.7	 -49.9	 -15.9	 -32.9	17.0	 0.1	  0.2	 30	*	18046-2322	  0.224
271.99612917	-20.45916389	 30	OH009.878-00.128	d	18 07 59.071	-20 27 32.99	 0.13	10.6	  79.5	 111.2	  95.3	15.9	 1.5	  0.9	 25	*	18050-2028	  0.196
272.01349167	-20.29676667	 31	OH010.027-00.063	d	18 08 03.238	-20 17 48.36	 0.01	 4.1	  -2.3	  18.2	   7.9	10.2	 0.8	  0.3	 25	*	18048-2019	 11.357
272.01692500	-22.22403056	 32	OH008.344-01.002	i	18 08 04.062	-22 13 26.51	 0.00	 9.3	 -13.6	  25.0	   5.7	19.3	21.9	 17.6	 38	*	18050-2213	  0.232
272.05348333	-24.24366944	 33	OH006.594-02.011	d	18 08 12.836	-24 14 37.21	 0.01	 5.7	 106.7	 133.9	 120.3	13.6	 0.4	  0.2	 14	*	18051-2415	  0.240
272.11811250	-15.22464722	 34	OH014.512+02.310	d	18 08 28.347	-15 13 28.73	 0.03	11.4	  47.7	  72.6	  60.2	12.4	 1.5	  1.4	 28	-	18056-1514	  0.248
272.13171667	-21.14278333	 35	OH009.341-00.570	s	18 08 31.612	-21 08 34.02	 0.02	10.4	 -20.4	-999.0	 -20.4	 0.0	 0.5	-99.0	 19	*	18055-2109	  0.169
272.26921667	-18.84565556	 36	OH011.413+00.430	d	18 09 04.612	-18 50 44.36	 0.00	 6.7	 122.6	 145.3	 133.9	11.4	 0.3	  0.5	 15	-	18061-1851	  0.343
272.52001667	-23.53624444	 37	OH007.420-02.042	d	18 10 04.804	-23 32 10.48	 0.00	 5.4	 -74.9	 -52.2	 -63.5	11.4	 1.2	  1.5	 13	*	18070-2332	  0.279
272.52456667	-17.44190833	 38	OH012.759+00.897	d	18 10 05.896	-17 26 30.87	 0.02	15.6	  15.9	  36.3	  26.1	10.2	 1.5	  1.0	 27	+	18071-1727	  0.618
272.55417500	-17.28170556	 39	OH012.913+00.949	d	18 10 13.002	-17 16 54.14	 0.02	 6.0	  68.1	  86.2	  77.2	 9.1	 0.6	  0.8	 27	x	18073-1717	  1.591
272.58171250	-19.27380000	 40	OH011.181-00.035	d	18 10 19.611	-19 16 25.68	 0.02	11.1	 -34.0	  -9.1	 -21.5	12.4	 0.9	  1.0	 25	-	18073-1917	  0.500
272.66110417	-18.88280000	 41	OH011.560+00.088	i	18 10 38.665	-18 52 58.08	 0.00	 6.4	  20.4	  63.6	  42.0	21.6	 4.3	 33.5	 27	x	18076-1853	  0.312
272.66800000	-19.09656389	 42	OH011.376-00.021	d	18 10 40.320	-19 05 47.63	 0.00	 7.5	  63.6	  97.6	  80.6	17.0	 2.0	  2.8	 27	+	18077-1906	  0.404
272.76694583	-22.62499722	 43	OH008.328-01.803	d	18 11 04.067	-22 37 29.99	 0.03	15.7	  38.6	  72.6	  55.6	17.0	 0.3	  0.4	 13	*	18080-2238	  0.678
272.80535833	-19.12014444	 44	OH011.418-00.146	d	18 11 13.286	-19 07 12.52	 0.02	10.1	  88.5	 122.6	 105.6	17.0	 0.4	  0.3	 27	-	18082-1907	  0.218
272.89202500	-14.66506944	 45	OH015.364+01.925	d	18 11 34.086	-14 39 54.25	 0.00	 9.3	  -2.3	  27.2	  12.4	14.8	 3.4	  2.5	 21	x	18087-1440	  0.338
272.95356250	-18.64673056	 46	OH011.900-00.041	d	18 11 48.855	-18 38 48.23	 0.21	 6.5	 -74.9	 -40.9	 -57.9	17.0	 0.2	  0.2	 26	-	18088-1839	  0.537
273.01425000	-16.92542500	 47	OH013.437+00.736	d	18 12 03.420	-16 55 31.53	 0.01	14.6	 -20.4	  13.6	  -3.4	17.0	 0.4	  0.5	 15	x	18091-1656	  0.199
273.01462083	-18.24007222	 48	OH012.285+00.103	i	18 12 03.509	-18 14 24.26	 0.00	14.3	  11.3	  36.3	  23.8	12.5	 3.8	  0.4	 26	+	18091-1815	  0.089
273.07591667	-17.71665556	 49	OH012.772+00.304	d	18 12 18.220	-17 42 59.96	 0.07	20.1	 127.1	 152.1	 139.6	12.5	 0.5	  0.4	 16	x	18092-1742	  9.273
273.08504583	-23.78248611	 50	OH007.452-02.615	d	18 12 20.411	-23 46 56.95	 0.13	 7.4	  31.8	  65.8	  48.8	17.0	 0.2	  0.2	 20	-	18092-2347	  0.644
273.10906250	-19.24698056	 51	OH011.445-00.459	d	18 12 26.175	-19 14 49.13	 0.05	 4.1	  54.5	  81.7	  68.1	13.6	 0.2	  0.2	 19	-	18094-1915	  0.658
273.25212500	-18.12914444	 52	OH012.490-00.041	d	18 13 00.510	-18 07 44.92	 0.24	 7.9	  49.9	  77.2	  63.5	13.6	 0.3	  0.3	 26	-	18099-1808	  3.203
273.26291250	-19.23851667	 53	OH011.522-00.582	d	18 13 03.099	-19 14 18.66	 0.00	 5.1	   4.5	  31.8	  18.1	13.6	 0.7	  1.1	 19	-	18100-1915	  0.278
273.28629583	-18.46372500	 54	OH012.212-00.230	d	18 13 08.711	-18 27 49.41	 0.00	18.8	  22.7	  49.9	  36.3	13.6	 5.6	  6.2	 26	+	18102-1828	  0.418
273.32726250	-15.87402500	 55	OH014.504+00.977	s	18 13 18.543	-15 52 26.49	 0.00	 1.4	  18.2	-999.0	  18.2	 0.0	 1.4	-99.0	 26	-	18104-1553	  0.804
273.33433333	-17.62148611	 56	OH012.973+00.133	d	18 13 20.240	-17 37 17.35	 0.03	 8.2	  -4.5	  38.6	  17.0	21.5	 0.8	  0.5	 27	-	18103-1738	  1.135
273.37467083	-19.58419444	 57	OH011.269-00.840	i	18 13 29.921	-19 35 03.10	 0.03	18.8	   9.1	  25.0	  17.0	 7.9	 0.8	  1.1	 19	-	18105-1935	  1.493
273.57551667	-13.60364722	 58	OH016.613+01.851	d	18 14 18.124	-13 36 13.13	 0.06	11.2	  72.6	  93.1	  82.8	10.2	 0.2	  0.3	 20	-	18114-1337	  0.073
273.61487500	-17.30475000	 59	OH013.379+00.050	d	18 14 27.570	-17 18 17.10	 0.03	 7.8	  38.6	  65.8	  52.2	13.6	 0.1	  0.3	 25	-	18120-1717	  6.415
273.62554167	-17.71855556	 60	OH013.021-00.157	d	18 14 30.130	-17 43 06.80	 0.01	 9.5	 -45.4	 -11.3	 -28.4	17.0	 1.6	  1.7	 27	-	18115-1744	  1.914
273.62792083	-21.64124444	 61	OH009.574-02.032	d	18 14 30.701	-21 38 28.48	 0.00	 4.9	  -6.8	  22.7	   7.9	14.8	 2.5	  2.2	 13	*	18115-2139	  0.077
273.65309583	-15.91086944	 62	OH014.622+00.684	d	18 14 36.743	-15 54 39.13	 0.02	13.2	 129.4	 161.1	 145.2	15.9	 0.4	  0.3	 19	-	18117-1555	  0.250
273.71467083	-14.27181667	 63	OH016.090+01.414	d	18 14 51.521	-14 16 18.54	 0.00	 7.5	  29.5	  63.6	  46.5	17.0	 0.7	  1.0	 16	-	18120-1417	  0.107
273.83864167	-20.72563333	 64	OH010.474-01.768	d	18 15 21.274	-20 43 32.28	 0.06	14.0	-106.7	 -79.4	 -93.1	13.6	 0.1	  0.2	 13	-	18123-2044	  0.172
273.98325833	-17.50703056	 65	OH013.369-00.355	d	18 15 55.982	-17 30 25.31	 0.08	11.7	  27.2	  68.1	  47.7	20.5	 0.3	  0.3	 20	-	18130-1731	  0.189
274.04712917	-16.80024722	 66	OH014.020-00.073	d	18 16 11.311	-16 48 00.89	 0.01	 4.5	-131.7	 -97.6	-114.7	17.0	 0.8	  1.0	 26	-	18129-1648	 15.002
274.10703333	-14.92143333	 67	OH015.700+00.770	d	18 16 25.688	-14 55 17.16	 0.01	18.4	 -15.9	  13.6	  -1.1	14.8	 9.6	  7.9	 19	+	18135-1456	  0.649
274.20510833	-18.25043611	 68	OH012.816-00.895	d	18 16 49.226	-18 15 01.57	 0.00	12.7	 -68.1	 -43.1	 -55.6	12.5	 4.8	  4.2	 21	x	18139-1816	  1.483
274.21431250	-16.41973889	 69	OH014.431-00.033	d	18 16 51.435	-16 25 11.06	 0.02	 4.6	  34.1	  38.6	  36.3	 2.2	 0.4	  0.6	 26	-	18141-1626	  6.506
274.25280833	-16.30020833	 70	OH014.554-00.008	d	18 17 00.674	-16 18 00.75	 0.00	 3.3	  18.2	  49.9	  34.0	15.9	 1.1	  1.5	 26	x	18146-1620	 16.933
274.25867917	-17.48967500	 71	OH013.510-00.578	d	18 17 02.083	-17 29 22.83	 0.00	 4.7	  72.6	  81.7	  77.2	 4.6	 0.2	  0.9	 20	-	18144-1731	  5.102
274.38407500	 -9.75050833	 72	OH020.384+02.984	s	18 17 32.178	-09 45 01.83	 0.00	 7.0	  31.8	-999.0	  31.8	 0.0	 3.4	-99.0	 22	-	18147-0946	  0.655
274.49395833	 -9.30871944	 73	OH020.825+03.097	d	18 17 58.550	-09 18 31.39	 0.04	20.4	  13.6	  40.9	  27.2	13.6	 2.6	  3.1	 22	+	18152-0919	  0.645
274.54405000	-16.13695000	 74	OH014.830-00.177	i	18 18 10.572	-16 08 13.02	 0.04	14.7	 -59.0	 -36.3	 -47.7	11.4	 0.9	  0.7	 23	+	18152-1609	  1.062
274.65953750	-12.37711111	 75	OH018.195+01.504	d	18 18 38.289	-12 22 37.60	 0.05	11.7	  38.6	  65.8	  52.2	13.6	 0.3	  0.5	 23	-	18158-1223	  0.710
274.72497083	-15.57785833	 76	OH015.405-00.066	d	18 18 53.993	-15 34 40.29	 0.00	 6.9	 -43.1	 -13.6	 -28.4	14.8	 0.8	  1.7	 24	x	18160-1535	  0.105
274.78556250	-14.41731667	 77	OH016.455+00.432	i	18 19 08.535	-14 25 02.34	 0.02	 4.9	  18.2	  45.4	  31.8	13.6	 0.3	  0.2	 19	-	18163-1426	  0.215
274.89772083	-12.13568889	 78	OH018.518+01.413	d	18 19 35.453	-12 08 08.48	 0.01	 5.3	 165.7	 186.1	 175.9	10.2	 3.2	  3.0	 31	x	18167-1209	  0.813
274.91597500	-16.55155278	 79	OH014.634-00.688	d	18 19 39.834	-16 33 05.59	 0.12	13.8	 -88.5	 -61.3	 -74.9	13.6	 0.3	  0.2	 20	-	18167-1634	  0.062
274.91813750	-14.72258333	 80	OH016.247+00.174	i	18 19 40.353	-14 43 21.30	 0.79	18.2	  -6.8	  36.3	  14.8	21.5	 0.5	  0.6	 23	-	18168-1444	  0.499
274.91844167	-11.88305000	 81	OH018.750+01.514	d	18 19 40.426	-11 52 58.98	 0.03	15.0	 -15.9	  15.9	   0.0	15.9	 0.6	  0.4	 18	x	18168-1154	  0.503
274.98405417	 -9.79475556	 82	OH020.624+02.441	d	18 19 56.173	-09 47 41.12	 0.06	 8.2	   2.3	  34.1	  18.2	15.9	 0.5	  0.4	 19	-	18171-0949	  0.235
275.06672500	-16.68444722	 83	OH014.585-00.878	d	18 20 16.014	-16 41 04.01	 0.07	 8.9	  56.7	  90.8	  73.8	17.0	 0.2	  0.2	 20	-	18173-1642	  0.610
275.07381250	-11.78017778	 84	OH018.913+01.429	d	18 20 17.715	-11 46 48.64	 0.04	 6.7	  47.7	  77.2	  62.5	14.8	 0.2	  0.2	 18	-	18174-1148	  1.745
275.13098750	-14.34323611	 85	OH016.678+00.172	d	18 20 31.437	-14 20 35.65	 0.12	14.9	  13.6	  38.6	  26.1	12.5	 0.5	  0.3	 24	-	18176-1421	  0.354
275.15399167	-18.78604167	 86	OH012.769-01.941	d	18 20 36.958	-18 47 09.75	 0.01	16.6	  -6.8	  31.8	  12.5	19.3	 6.9	  3.7	 13	x	18176-1848	  0.113
275.27891250	-15.05614167	 87	OH016.117-00.291	d	18 21 06.939	-15 03 22.11	 0.01	14.4	   0.0	  43.1	  21.5	21.5	 6.8	  9.4	 35	x	18182-1504	  0.558
275.28417083	 -8.81077222	 88	OH021.633+02.642	d	18 21 08.201	-08 48 38.78	 0.20	11.7	 -27.2	   4.5	 -11.4	15.9	 0.4	  0.7	 21	-	18184-0850	  0.305
275.45751250	-14.17611389	 89	OH016.975-00.029	d	18 21 49.803	-14 10 34.01	 0.00	 2.3	  34.1	  65.8	  50.0	15.9	 1.5	  1.8	 24	+	18189-1412	  1.166
275.56631250	-14.37473333	 90	OH016.849-00.215	d	18 22 15.915	-14 22 29.04	 0.07	15.7	   4.5	  38.6	  21.5	17.0	 0.9	  0.5	 24	-	18193-1424	  0.747
275.60712500	-20.50810556	 91	OH011.447-03.125	d	18 22 25.710	-20 30 29.18	 0.11	 8.1	 -77.2	 -47.7	 -62.5	14.8	 0.2	  0.1	 15	-	18194-2031	  0.114
275.63608750	-19.34303333	 92	OH012.491-02.605	d	18 22 32.661	-19 20 34.92	 0.28	 6.3	 -27.2	   6.8	 -10.2	17.0	 0.2	  0.2	 19	-	18195-1922	  0.383
275.64144583	-15.10349722	 93	OH016.240-00.622	d	18 22 33.947	-15 06 12.59	 0.03	17.2	  25.0	  59.0	  42.0	17.0	 0.2	  0.7	 15	-	18197-1507	  0.799
275.67165417	-13.68249722	 94	OH017.508+00.019	d	18 22 41.197	-13 40 56.99	 0.01	 1.3	  52.2	  81.7	  66.9	14.8	 0.8	  1.1	 24	+	18198-1342	  0.207
275.67942500	-12.79495833	 95	OH018.296+00.429	d	18 22 43.062	-12 47 41.85	 0.01	13.0	  34.0	  63.6	  48.8	14.8	 1.1	  1.2	 20	x	18198-1249	  0.590
275.82444167	-13.71324167	 96	OH017.551-00.126	d	18 23 17.866	-13 42 47.67	 0.00	 8.2	  27.2	  56.8	  42.0	14.8	 1.8	  1.1	 24	x	18204-1344	  0.274
275.85749583	-15.03469444	 97	OH016.398-00.774	d	18 23 25.799	-15 02 04.90	 0.03	14.9	 -74.9	 -43.1	 -59.0	15.9	 0.6	  0.3	 22	-	18205-1503	  3.028
275.86966667	-10.45574444	 98	OH020.449+01.361	d	18 23 28.720	-10 27 20.68	 0.02	 8.8	  20.4	  56.7	  38.5	18.1	 0.5	  0.7	 29	-	18207-1029	  0.412
275.89579167	-13.93044722	 99	OH017.391-00.289	d	18 23 34.990	-13 55 49.61	 0.00	14.2	  13.6	  45.4	  29.5	15.9	 2.8	  1.9	 14	x	18211-1357	 11.277
275.96222083	-12.84488611	100	OH018.381+00.162	d	18 23 50.933	-12 50 41.59	 0.00	12.1	  11.4	  29.5	  20.5	 9.1	 4.4	  0.4	 28	x	18211-1251	  3.927
276.00647083	-18.39016389	101	OH013.498-02.469	d	18 24 01.553	-18 23 24.59	 0.01	 1.8	  15.9	  40.9	  28.4	12.5	 1.0	  0.3	 20	-	18210-1825	  0.411
276.02206250	-12.43674167	102	OH018.769+00.302	d	18 24 05.295	-12 26 12.27	 0.00	20.0	  -2.3	  27.2	  12.4	14.8	 5.4	  3.6	 20	x	18212-1227	  1.023
276.07770000	-10.60879167	103	OH020.410+01.109	d	18 24 18.648	-10 36 31.65	 0.01	 8.5	  81.7	 111.2	  96.4	14.8	 0.5	  0.7	 16	-	18215-1038	  0.205
