#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-08-18T17:08:40 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ611d3bc2368c7a	
#INFO	-out.max=unlimited	
#INFO	queryParameters=32	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-out.add=_RA*-c.eq,_DE*-c.eq
#-sort=_r
#-nav=cat:J/A+A/582/A68&tab:{J/A+A/582/A68/maps}&key:source=J/A+A/582/A68/maps&HTTPPRM:&&-ref=VIZ611d3bc2368c7a&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-out.add=_RA*-c.eq,_DE*-c.eq&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/582/A68/maps
#-order=I
#-out=IDmeas
#-out=Pap
#-out=ID
#-out=Name
#-out=RAJ2000
#-out=DEJ2000
#-out=Freq
#-out=Inst
#-out=Res
#-out=Flag
#-out=rms
#-out=Pol
#-out=Nmaps
#-out=ObsdateS
#-out=ObsdateE
#-out=Ref
#-out=BibCode
#-out.all=2
#

#RESOURCE=yCat_35820068
#Name: J/A+A/582/A68
#Title: Database of circumstellar OH masers (Engels+, 2015)
#Table	J_A_A_582_A68_maps:
#Name: J/A+A/582/A68/maps
#Title: Interferometric OH maser observations (oh_maser_maps)
#Column	_RAJ2000	(F12.8)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F12.8)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	IDmeas	(I5)	Observation identification number (1)	[ucd=meta.id;obs]
#Column	Pap	(I3)	Reference identification number (1)	[ucd=meta.bib]
#Column	ID	(I5)	Object identification number (1)	[ucd=meta.id]
#Column	Name	(a15)	Object name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A12)	Right ascension (J2000.0)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000.0)	[ucd=pos.eq.dec;meta.main]
#Column	Freq	(I4)	Frequency	[ucd=em.freq]
#Column	Inst	(A6)	Name of radio interferometer	[ucd=meta.id;instr]
#Column	Res	(F6.1)	? Spatial resolution	[ucd=pos.angResolution]
#Column	Flag	(A1)	[<] Limit flag for detected maser emission (2)	[ucd=meta.code.error]
#Column	rms	(F6.3)	? Sensitivity of the observation	[ucd=instr.det.noise]
#Column	Pol	(A1)	[1/0] Marker for polarization observations (3)	[ucd=meta.code]
#Column	Nmaps	(I3)	Number of interferometric maps	[ucd=meta.number]
#Column	ObsdateS	(A10)	Observing date of the first map (4)	[ucd=time.epoch]
#Column	ObsdateE	(A10)	Observing date of the last map (4)	[ucd=time.epoch]
#Column	Ref	(A6)	Acronym of the reference (1)	[ucd=meta.ref;pos.frame]
#Column	BibCode	(A19)	Bibliographic Code	[ucd=meta.bib.bibcode]
_RAJ2000	_DEJ2000	IDmeas	Pap	ID	Name	RAJ2000	DEJ2000	Freq	Inst	Res	Flag	rms	Pol	Nmaps	ObsdateS	ObsdateE	Ref	BibCode
088.95487500	+20.17519167	26144	246	 5411	U Ori          	05 55 49.170	+20 10 30.69	1665	MERLIN	 300.0	 	 0.200	0	  1	1983-02-01	1983-02-01	CHA85 	1985MNRAS.212..375C
207.25818333	-28.36726667	26182	252	 9622	W Hya          	13 49 01.964	-28 22 02.16	1665	VLA   	2200.0	 	      	0	  1	1978-05-25	1978-05-25	REI81 	1981AJ.....86..897R
110.74269167	-25.76735278	26181	252	25477	VY CMa         	07 22 58.246	-25 46 02.47	1667	VLA   	2200.0	 	      	0	  1	1978-05-25	1978-05-25	REI81 	1981AJ.....86..897R
277.62747500	-14.48251944	25769	236	 5337	OH 17.7-2.0    	18 30 30.594	-14 28 57.07	1612	VLA   	1300.0	 	 0.500	0	  1	1980-11-22	1980-11-22	BOW83 	1983ApJ...274..733B
279.38507500	 -5.39984722	25770	236	 5585	OH 26.5+0.6    	18 37 32.418	-05 23 59.45	1612	VLA   	1300.0	 	 0.500	0	  1	1980-11-22	1980-11-22	BOW83 	1983ApJ...274..733B
231.94565417	+19.56430000	25768	236	25503	WX Ser         	15 27 46.957	+19 33 51.48	1612	VLA   	1300.0	 	 0.500	0	  1	1980-11-22	1980-11-22	BOW83 	1983ApJ...274..733B
088.95470417	+20.17517222	25729	230	 5411	U Ori          	05 55 49.129	+20 10 30.62	1612	VLA   	1100.0	 	 0.060	0	  1	1985-01-19	1985-01-19	BOW88 	1988ApJ...330..339B
230.34981667	+31.36738333	20144	102	25502	S CrB          	15 21 23.956	+31 22 02.58	1665	VLBA  	      	 	      	0	  9	1999-10-09	2002-05-12	VLE03 	2003A&A...407..213V
246.44779583	+18.89246389	20145	102	10453	U Her          	16 25 47.471	+18 53 32.87	1665	VLBA  	      	 	      	0	  9	1999-10-09	2002-05-12	VLE03 	2003A&A...407..213V
359.60363333	+51.38880556	20146	102	25541	R Cas          	23 58 24.872	+51 23 19.70	1665	VLBA  	      	 	      	0	  9	1999-10-09	2002-05-12	VLE03 	2003A&A...407..213V
207.25832500	-28.36763611	20147	102	 9622	W Hya          	13 49 01.998	-28 22 03.49	1667	VLBA  	      	 	      	0	  9	1999-10-09	2002-05-12	VLE03 	2003A&A...407..213V
230.34981667	+31.36738333	20148	102	25502	S CrB          	15 21 23.956	+31 22 02.58	1667	VLBA  	      	 	      	0	  9	1999-10-09	2002-05-12	VLE03 	2003A&A...407..213V
110.74285417	-25.76799444	26180	252	25477	VY CMa         	07 22 58.285	-25 46 04.78	1612	VLA   	2200.0	 	      	0	  1	1978-05-25	1978-05-25	REI81 	1981AJ.....86..897R
207.25832500	-28.36763611	20143	102	 9622	W Hya          	13 49 01.998	-28 22 03.49	1665	VLBA  	      	 	      	0	  9	1999-10-09	2002-05-12	VLE03 	2003A&A...407..213V
088.95470417	+20.17517222	25730	230	 5411	U Ori          	05 55 49.129	+20 10 30.62	1665	VLA   	1100.0	 	 0.060	0	  1	1985-01-19	1985-01-19	BOW88 	1988ApJ...330..339B
359.60363333	+51.38880556	20150	102	25541	R Cas          	23 58 24.872	+51 23 19.70	1667	VLBA  	      	 	      	0	  9	1999-10-09	2002-05-12	VLE03 	2003A&A...407..213V
246.44779583	+18.89246389	20149	102	10453	U Her          	16 25 47.471	+18 53 32.87	1667	VLBA  	      	 	      	0	  9	1999-10-09	2002-05-12	VLE03 	2003A&A...407..213V
279.38486667	 -5.39960000	26179	252	 5585	OH 26.5+0.6    	18 37 32.368	-05 23 58.56	1612	VLA   	2200.0	 	      	0	  1	1978-05-25	1978-05-25	REI81 	1981AJ.....86..897R
016.60798333	+12.59815000	26178	252	25736	IRC +10011     	01 06 25.916	+12 35 53.34	1612	VLA   	2200.0	 	      	0	  1	1978-05-25	1978-05-25	REI81 	1981AJ.....86..897R
291.70002500	+11.35436389	26175	251	 3455	IRC +10420     	19 26 48.006	+11 21 15.71	1612	VLBI  	  20.0	 	      	1	  1	1978-01-27	1978-01-27	REI79 	1979ApJ...227L..89R
291.70039583	+11.35465000	26173	250	 3455	IRC +10420     	19 26 48.095	+11 21 16.74	1667	VLBI  	  14.0	 	 0.300	1	  1	1977-10-25	1977-10-25	BEN79B	1979ApJ...229L..87B
088.95487500	+20.17519167	26174	251	 5411	U Ori          	05 55 49.170	+20 10 30.69	1612	VLBI  	  20.0	 	      	1	  1	1978-01-27	1978-01-27	REI79 	1979ApJ...227L..89R
207.25832500	-28.36763611	26216	254	 9622	W Hya          	13 49 01.998	-28 22 03.49	1667	VLBI  	 100.0	 	      	0	  1	1974-12-05	1974-12-05	REI77 	1977ApJ...214...60R
281.92070833	 -1.74872222	26212	254	  721	W43 A          	18 47 40.970	-01 44 55.40	1612	VLBI  	 100.0	 	      	0	  2	1974-12-05	1975-01-15	REI77 	1977ApJ...214...60R
110.74304167	-25.76755556	26213	254	25477	VY CMa         	07 22 58.330	-25 46 03.20	1612	VLBI  	 100.0	 	      	0	  2	1974-12-05	1975-01-15	REI77 	1977ApJ...214...60R
272.01687500	-22.22405556	26214	254	25507	VX Sgr         	18 08 04.050	-22 13 26.60	1612	VLBI  	 100.0	 	      	0	  2	1974-12-05	1975-01-15	REI77 	1977ApJ...214...60R
286.59270833	 +8.23000000	26207	254	  948	R Aql          	19 06 22.250	+08 13 48.00	1667	VLBI  	 100.0	 	      	0	  1	1974-12-05	1974-12-05	REI77 	1977ApJ...214...60R
302.61612500	 -6.27041667	26208	254	 5942	IRC -10529     	20 10 27.870	-06 16 13.50	1612	VLBI  	 100.0	 	      	0	  2	1974-12-05	1975-01-15	REI77 	1977ApJ...214...60R
302.61612500	 -6.27041667	26209	254	 5942	IRC -10529     	20 10 27.870	-06 16 13.50	1667	VLBI  	 100.0	 	      	0	  1	1974-12-05	1974-12-05	REI77 	1977ApJ...214...60R
264.80575000	-32.19905556	26202	254	   97	OH 1735-32     	17 39 13.380	-32 11 56.60	1612	VLBI  	 100.0	 	      	0	  2	1974-12-05	1975-01-15	REI77 	1977ApJ...214...60R
276.02250000	-12.43666667	26203	254	  611	OH 1821-12     	18 24 05.400	-12 26 12.00	1612	VLBI  	 100.0	 	      	0	  2	1974-12-05	1975-01-15	REI77 	1977ApJ...214...60R
280.09129167	 -4.95297222	26204	254	  691	OH 1837-05     	18 40 21.910	-04 57 10.70	1612	VLBI  	 100.0	 	      	0	  2	1974-12-05	1975-01-15	REI77 	1977ApJ...214...60R
311.60641667	+40.11650000	26198	253	25525	NML Cyg        	20 46 25.540	+40 06 59.40	1612	VLBI  	  45.0	 	      	0	  1	1973-04-07	1973-04-07	MOR77 	1977ApJ...211..160M
016.60825000	+12.59805556	26199	254	25736	IRC +10011     	01 06 25.980	+12 35 53.00	1612	VLBI  	 100.0	 	      	0	  2	1974-12-05	1975-01-15	REI77 	1977ApJ...214...60R
279.38545833	 -5.39977778	26194	253	 5585	OH 26.5+0.6    	18 37 32.510	-05 23 59.20	1612	VLBI  	  45.0	 	      	0	  1	1973-04-07	1973-04-07	MOR77 	1977ApJ...211..160M
311.60641667	+40.11650000	26215	254	25525	NML Cyg        	20 46 25.540	+40 06 59.40	1612	VLBI  	 100.0	 	      	0	  2	1974-12-05	1975-01-15	REI77 	1977ApJ...214...60R
287.22758333	-22.23872222	26210	254	 1687	IRC -20540     	19 08 54.620	-22 14 19.40	1612	VLBI  	 100.0	 	      	0	  2	1974-12-05	1975-01-15	REI77 	1977ApJ...214...60R
279.38545833	 -5.39977778	26211	254	 5585	OH 26.5+0.6    	18 37 32.510	-05 23 59.20	1612	VLBI  	 100.0	 	      	0	  2	1974-12-05	1975-01-15	REI77 	1977ApJ...214...60R
284.36250000	 +2.19666667	26205	254	  765	OH 1854+02     	18 57 27.000	+02 11 48.00	1612	VLBI  	 100.0	 	      	0	  2	1974-12-05	1975-01-15	REI77 	1977ApJ...214...60R
286.59270833	 +8.23000000	26206	254	  948	R Aql          	19 06 22.250	+08 13 48.00	1612	VLBI  	 100.0	 	      	0	  2	1974-12-05	1975-01-15	REI77 	1977ApJ...214...60R
077.83100000	+52.87588889	26200	254	25470	IRC +50137     	05 11 19.440	+52 52 33.20	1612	VLBI  	 100.0	 	      	0	  2	1974-12-05	1975-01-15	REI77 	1977ApJ...214...60R
088.95487500	+20.17525000	26201	254	 5411	U Ori          	05 55 49.170	+20 10 30.90	1612	VLBI  	 100.0	 	      	0	  2	1974-12-05	1975-01-15	REI77 	1977ApJ...214...60R
281.92070833	 -1.74872222	26195	253	  721	W43 A          	18 47 40.970	-01 44 55.40	1612	VLBI  	  45.0	 	      	0	  1	1973-04-07	1973-04-07	MOR77 	1977ApJ...211..160M
110.74304167	-25.76755556	26196	253	25477	VY CMa         	07 22 58.330	-25 46 03.20	1612	VLBI  	  45.0	 	      	0	  1	1973-04-07	1973-04-07	MOR77 	1977ApJ...211..160M
272.01687500	-22.22405556	26197	253	25507	VX Sgr         	18 08 04.050	-22 13 26.60	1612	VLBI  	  45.0	 	      	0	  1	1973-04-07	1973-04-07	MOR77 	1977ApJ...211..160M
287.22758333	-22.23872222	26193	253	 1687	IRC -20540     	19 08 54.620	-22 14 19.40	1612	VLBI  	  45.0	 	      	0	  1	1973-04-07	1973-04-07	MOR77 	1977ApJ...211..160M
035.71549167	+58.58654722	25689	226	25461	S Per          	02 22 51.718	+58 35 11.57	1665	MERLIN	 150.0	 	 0.007	1	  1	1993-12-06	1993-12-06	RIC99 	1999MNRAS.306..954R
035.71549167	+58.58654722	25690	226	25461	S Per          	02 22 51.718	+58 35 11.57	1667	MERLIN	 150.0	 	 0.007	1	  1	1993-12-06	1993-12-06	RIC99 	1999MNRAS.306..954R
035.71549167	+58.58654722	25688	226	25461	S Per          	02 22 51.718	+58 35 11.57	1612	MERLIN	 300.0	 	 0.060	0	  1	1986-04-24	1986-04-24	RIC99 	1999MNRAS.306..954R
246.44779583	+18.89246389	20231	107	10453	U Her          	16 25 47.471	+18 53 32.87	1667	VLBA  	   5.0	 	      	0	  6	1994-07-22	1998-04-15	LAN00 	2000A&A...357..945V
146.31341667	-22.02926389	25767	236	25486	IRC -20197     	09 45 15.220	-22 01 45.35	1612	VLA   	1300.0	 	 0.500	0	  1	1980-11-22	1980-11-22	BOW83 	1983ApJ...274..733B
110.74285417	-25.76752222	25766	236	25477	VY CMa         	07 22 58.285	-25 46 03.08	1612	VLA   	1300.0	 	 0.500	0	  1	1980-11-22	1980-11-22	BOW83 	1983ApJ...274..733B
098.31541667	+40.71413333	25765	236	 5847	IRC +40156     	06 33 15.700	+40 42 50.88	1612	VLA   	1300.0	 	 0.500	0	  1	1980-11-22	1980-11-22	BOW83 	1983ApJ...274..733B
088.95475000	+20.17521389	25764	236	 5411	U Ori          	05 55 49.140	+20 10 30.77	1612	VLA   	1300.0	 	 0.500	0	  1	1980-11-22	1980-11-22	BOW83 	1983ApJ...274..733B
077.83072500	+52.87601667	25763	236	25470	IRC +50137     	05 11 19.374	+52 52 33.66	1612	VLA   	1300.0	 	 0.500	0	  1	1980-11-22	1980-11-22	BOW83 	1983ApJ...274..733B
115.57030000	-14.71387500	20238	133	 5418	OH231.8+4.2    	07 42 16.872	-14 42 49.95	1612	VLA   	1600.0	 	 0.220	0	  1	1991-07-25	1991-07-25	GOM01 	2001ApJ...557L.109G
285.52578750	 +3.33784444	25793	238	  777	OH 37.1-0.8    	19 02 06.189	+03 20 16.24	1612	VLA   	1000.0	 	 0.030	0	  1	1982-02-28	1982-02-28	HER85A	1985A&A...143..122H
272.01686667	-22.22405833	20256	143	25507	VX Sgr         	18 08 04.048	-22 13 26.61	1612	MERLIN	 150.0	 	 0.015	1	  1	1999-04-24	1999-04-24	SZY01 	2001A&A...371.1012S
246.44779583	+18.89246389	20261	144	10453	U Her          	16 25 47.471	+18 53 32.87	1665	MERLIN	 280.0	 	 0.040	1	  1	1984-07-01	1984-07-01	CHA94 	1994MNRAS.268..475C
246.44779583	+18.89246389	20262	144	10453	U Her          	16 25 47.471	+18 53 32.87	1667	MERLIN	 280.0	 	 0.040	1	  1	1984-07-01	1984-07-01	CHA94 	1994MNRAS.268..475C
359.60363333	+51.38880556	20263	144	25541	R Cas          	23 58 24.872	+51 23 19.70	1665	MERLIN	 280.0	 	 0.030	1	  1	1986-12-03	1986-12-03	CHA94 	1994MNRAS.268..475C
359.60363333	+51.38880556	20264	144	25541	R Cas          	23 58 24.872	+51 23 19.70	1667	MERLIN	 280.0	 	 0.030	1	  1	1986-12-01	1986-12-01	CHA94 	1994MNRAS.268..475C
207.25832500	-28.36763611	20265	144	 9622	W Hya          	13 49 01.998	-28 22 03.49	1665	MERLIN	 280.0	 	 0.060	1	  1	1984-07-01	1984-07-01	CHA94 	1994MNRAS.268..475C
207.25832500	-28.36763611	20266	144	 9622	W Hya          	13 49 01.998	-28 22 03.49	1667	MERLIN	 280.0	 	 0.060	1	  1	1984-07-01	1984-07-01	CHA94 	1994MNRAS.268..475C
294.07851250	+29.54713889	20302	150	 1061	M1- 92         	19 36 18.843	+29 32 49.70	1612	VLA   	1410.0	 	 0.021	0	  1	1983-09-19	1983-09-19	SEA91 	1991ApJ...367..200S
155.39125000	-58.09663889	20300	149	18769	Roberts 22     	10 21 33.900	-58 05 47.90	1665	ATCA  	4000.0	 	 0.012	0	  1	1992-06-01	1992-06-01	SAH99A	1999AJ....117.1408S
155.39125000	-58.09663889	20301	149	18769	Roberts 22     	10 21 33.900	-58 05 47.90	1667	ATCA  	4000.0	 	 0.012	0	  1	1992-06-01	1992-06-01	SAH99A	1999AJ....117.1408S
115.57012500	-14.71447222	20279	147	 5418	IRAS 07399-1435	07 42 16.830	-14 42 52.10	1667	VLA   	1000.0	 	 0.007	0	  1	1988-10-31	1988-10-31	ZIJ01 	2001MNRAS.322..280Z
120.66962500	-24.07852778	20280	147	 4631	IRAS 08005-2356	08 02 40.710	-24 04 42.70	1612	MERLIN	 300.0	 	 0.008	0	  1	1988-04-24	1988-04-24	ZIJ01 	2001MNRAS.322..280Z
120.66962500	-24.07852778	20281	147	 4631	IRAS 08005-2356	08 02 40.710	-24 04 42.70	1612	VLA   	1000.0	 	 0.007	0	  1	1990-05-15	1990-05-15	ZIJ01 	2001MNRAS.322..280Z
120.66962500	-24.07852778	20282	147	 4631	IRAS 08005-2356	08 02 40.710	-24 04 42.70	1667	VLA   	1000.0	 	 0.007	0	  1	1990-05-15	1990-05-15	ZIJ01 	2001MNRAS.322..280Z
155.39094167	-58.09673889	20283	147	18769	IRAS 10197-5750	10 21 33.826	-58 05 48.26	1612	PTI   	 100.0	 	 0.005	0	  1	1987-02-02	1987-02-02	ZIJ01 	2001MNRAS.322..280Z
155.39094167	-58.09673889	20284	147	18769	IRAS 10197-5750	10 21 33.826	-58 05 48.26	1665	PTI   	 100.0	 	 0.005	0	  1	1986-12-07	1986-12-07	ZIJ01 	2001MNRAS.322..280Z
155.39094167	-58.09673889	20285	147	18769	IRAS 10197-5750	10 21 33.826	-58 05 48.26	1665	ATCA  	6000.0	 	 0.015	0	  1	1992-06-25	1992-06-25	ZIJ01 	2001MNRAS.322..280Z
155.39094167	-58.09673889	20286	147	18769	IRAS 10197-5750	10 21 33.826	-58 05 48.26	1667	ATCA  	6000.0	 	 0.015	0	  1	1992-06-25	1992-06-25	ZIJ01 	2001MNRAS.322..280Z
175.24502083	-55.57383611	20287	147	 9186	IRAS 11385-5517	11 40 58.805	-55 34 25.81	1667	ATCA  	6000.0	 	 0.005	0	  1	1991-08-26	1991-08-26	ZIJ01 	2001MNRAS.322..280Z
236.04666667	-49.92277778	20288	147	 8334	IRAS 15405-4945	15 44 11.200	-49 55 22.00	1667	ATCA  	6000.0	 	 0.020	0	  1	1991-08-26	1991-08-26	ZIJ01 	2001MNRAS.322..280Z
236.04666667	-49.92277778	20289	147	 8334	IRAS 15405-4945	15 44 11.200	-49 55 22.00	1665	ATCA  	6000.0	 	 0.020	0	  1	1991-08-26	1991-08-26	ZIJ01 	2001MNRAS.322..280Z
249.41629167	-38.33813889	20290	147	 8362	IRAS 16342-3814	16 37 39.910	-38 20 17.30	1612	VLA   	1000.0	 	 0.020	0	  1	1990-05-15	1990-05-15	ZIJ01 	2001MNRAS.322..280Z
262.13875000	-28.55777778	20291	147	18418	IRAS 17253-2831	17 28 33.300	-28 33 28.00	1612	VLA   	1000.0	 	 0.010	0	  1	1988-10-30	1988-10-30	ZIJ01 	2001MNRAS.322..280Z
266.30912500	-17.94636111	20292	147	10328	IRAS 17423-1755	17 45 14.190	-17 56 46.90	1667	VLA   	1000.0	 	 0.020	0	  1	1988-10-30	1988-10-30	ZIJ01 	2001MNRAS.322..280Z
282.94541667	 -2.06916667	20293	147	 8638	IRAS 18491-0207	18 51 46.900	-02 04 09.00	1667	VLA   	1000.0	 	 0.006	0	  1	1988-10-30	1988-10-30	ZIJ01 	2001MNRAS.322..280Z
