#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-08-18T17:07:16 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ611d3bc2368c7a	
#INFO	-out.max=unlimited	
#INFO	queryParameters=40	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-out.add=_RA*-c.eq,_DE*-c.eq
#-sort=_r
#-nav=cat:J/A+A/582/A68&tab:{J/A+A/582/A68/oh_maser}&key:source=J/A+A/582/A68/oh_maser&HTTPPRM:&&-ref=VIZ611d3bc2368c7a&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-out.add=_RA*-c.eq,_DE*-c.eq&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/582/A68/oh_maser
#-order=I
#-out=Obs
#-out=IDobs
#-out=Pap
#-out=ID
#-out=Name
#-out=Freq
#-out=SpType
#-out=RAJ2000
#-out=DEJ2000
#-out=vel-blue
#-out.all=2
#-out=vel-red
#-out=e_vel
#-out=vel-cent
#-out=vel-shell
#-out=Flag
#-out=Sblue
#-out=Sred
#-out=Iblue
#-out=Ired
#-out=Ref
#-out=Monitor
#-out=Maps
#-out=BibCode
#-out=SimbadName
#-out.all=2
#

#RESOURCE=yCat_35820068
#Name: J/A+A/582/A68
#Title: Database of circumstellar OH masers (Engels+, 2015)
#Table	J_A_A_582_A68_oh_maser:
#Name: J/A+A/582/A68/oh_maser
#Title: OH maser observations
#Column	_RAJ2000	(F12.8)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F12.8)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Obs	(I1)	[1/3]? Prioritized observations (1) [NULL integer written as an empty string]	[ucd=meta.code]
#Column	IDobs	(I5)	Observation identification number (1)	[ucd=meta.id;obs]
#Column	Pap	(I3)	Reference identification number (1)	[ucd=meta.bib]
#Column	ID	(I5)	Object identification number (1)	[ucd=meta.id]
#Column	Name	(a16)	Object name	[ucd=meta.id;meta.main]
#Column	Freq	(I4)	Frequency	[ucd=em.freq]
#Column	SpType	(A1)	[DSI] Spectral type of maser profile (2)	[ucd=src.spType]
#Column	RAJ2000	(A12)	Right ascension (J2000.0)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000.0)	[ucd=pos.eq.dec;meta.main]
#Column	vel-blue	(F6.1)	? Velocity of blue-shifted maser peak	[ucd=spect.dopplerVeloc]
#Column	vel-red	(F6.1)	? Velocity of red-shifted maser peak	[ucd=spect.dopplerVeloc]
#Column	e_vel	(F5.2)	? Velocity resolution	[ucd=stat.error]
#Column	vel-cent	(F6.1)	? Radial velocity	[ucd=spect.dopplerVeloc]
#Column	vel-shell	(F5.1)	? Expansion velocity of the maser shell	[ucd=phys.veloc.expansion]
#Column	Flag	(A1)	[><=:.&] Flag for detected maser emission (3)	[ucd=meta.code.error]
#Column	Sblue	(F8.3)	? Flux density of blue-shifted maser peak (4)	[ucd=phot.flux]
#Column	Sred	(F7.3)	? Flux density of red-shifted maser peak	[ucd=phot.flux]
#Column	Iblue	(F8.3)	? Integral flux of blue-shifted maser peak (4)	[ucd=phot.flux.density;stat.max]
#Column	Ired	(F7.3)	? Integral flux of red-shifted maser peak (4)	[ucd=phot.flux.density;stat.max]
#Column	Ref	(A6)	Acronym of the reference (1)	[ucd=meta.ref;pos.frame]
#Column	Monitor	(I1)	[0/1] Presence in monitor.dat file (5)	[ucd=meta.code]
#Column	Maps	(I1)	[0/1] Presence in maps.dat file (6)	[ucd=meta.code]
#Column	BibCode	(A19)	Bibliographic Code	[ucd=meta.bib.bibcode]
#Column	SimbadName	(a16)	Simbad column added by the CDS	[ucd=meta.id]
_RAJ2000	_DEJ2000	Obs	IDobs	Pap	ID	Name	Freq	SpType	RAJ2000	DEJ2000	vel-blue	vel-red	e_vel	vel-cent	vel-shell	Flag	Sblue	Sred	Iblue	Ired	Ref	Monitor	Maps	BibCode	SimbadName
260.06610000	-38.01199444	 	    5	  1	  506	OH349.516-00.524	1612	D	17 20 15.864	-38 00 43.18	 -90.6	 -62.9	 1.50	 -76.8	 13.9	 	   0.551	  0.458	        	       	SEV97A	0	0	1997A&AS..122...79S	OH349.516-00.524
260.20211250	-36.83218889	1	   19	  1	   19	OH350.546+00.061	1612	D	17 20 48.507	-36 49 55.88	 -55.6	 -27.9	 1.50	 -41.7	 13.9	 	   2.959	  1.170	        	       	SEV97A	0	0	1997A&AS..122...79S	OH350.546+00.061
260.27083333	-37.65061944	1	   20	  1	   20	OH349.905-00.451	1612	D	17 21 05.000	-37 39 02.23	  -1.6	  29.1	 1.50	  13.7	 15.3	 	   0.450	  0.388	        	       	SEV97A	0	0	1997A&AS..122...79S	OH349.905-00.451
260.29003333	-36.51429722	1	   21	  1	   21	OH350.848+00.184	1612	D	17 21 09.608	-36 30 51.47	 -97.9	 -74.6	 1.50	 -86.3	 11.7	 	   8.569	  9.289	        	       	SEV97A	0	0	1997A&AS..122...79S	OH350.848+00.184
260.47602500	-36.16613889	1	   22	  1	   22	OH351.219+00.259	1612	D	17 21 54.246	-36 09 58.10	 -43.9	 -17.6	 1.50	 -30.8	 13.1	 	   0.666	  0.525	        	       	SEV97A	0	0	1997A&AS..122...79S	OH351.219+00.259
260.58663333	-37.24153611	1	   23	  1	   23	OH350.384-00.425	1612	D	17 22 20.792	-37 14 29.53	 -71.7	 -46.8	 1.50	 -59.3	 12.4	 	   1.473	  1.335	        	       	SEV97A	0	0	1997A&AS..122...79S	OH350.384-00.425
260.61701667	-36.33769167	1	   24	  1	   24	OH351.142+00.068	1612	D	17 22 28.084	-36 20 15.69	-108.2	 -79.0	 1.50	 -93.6	 14.6	 	   2.016	  1.430	        	       	SEV97A	0	0	1997A&AS..122...79S	OH351.142+00.068
260.67764167	-35.82544444	 	  160	  1	 5199	OH351.592+00.318	1612	D	17 22 42.634	-35 49 31.60	   7.2	  27.6	 1.50	  17.4	 10.2	 	   0.783	  0.596	        	       	SEV97A	0	0	1997A&AS..122...79S	OH351.592+00.318
260.77683333	-35.33282222	1	   26	  1	   26	OH352.044+00.530	1612	D	17 23 06.440	-35 19 58.16	  42.2	  74.3	 1.50	  58.3	 16.1	 	   0.494	  0.282	        	       	SEV97A	0	0	1997A&AS..122...79S	OH352.044+00.530
260.77760833	-31.16130556	1	   27	  1	   27	OH355.488+02.886	1612	D	17 23 06.626	-31 09 40.70	 -47.7	 -37.5	 1.50	 -42.6	  5.1	 	   0.226	  0.168	        	       	SEV97A	0	0	1997A&AS..122...79S	OH355.488+02.886
260.80169583	-37.58016667	1	   28	  1	   28	OH350.202-00.757	1612	D	17 23 12.407	-37 34 48.60	-153.4	-121.3	 1.50	-137.4	 16.1	 	   5.007	  0.393	        	       	SEV97A	0	0	1997A&AS..122...79S	OH350.202-00.757
260.81789167	-36.23930833	1	   29	  1	   29	OH351.315-00.010	1612	D	17 23 16.294	-36 14 21.51	 -89.2	 -58.5	 1.50	 -73.9	 15.3	 	   0.392	  0.323	        	       	SEV97A	0	0	1997A&AS..122...79S	OH351.315-00.010
260.98917917	-35.98064167	 	  161	  1	 5202	OH351.607+00.022	1612	D	17 23 57.403	-35 58 50.31	  52.4	  88.9	 1.50	  70.7	 18.3	 	   0.219	  0.326	        	       	SEV97A	0	0	1997A&AS..122...79S	OH351.607+00.022
261.03032083	-36.59456944	 	  162	  1	 5205	OH351.118-00.352	1612	D	17 24 07.277	-36 35 40.45	-160.7	-127.1	 1.50	-143.9	 16.8	 	   1.363	  0.460	        	       	SEV97A	0	0	1997A&AS..122...79S	OH351.118-00.352
261.06125000	-33.35520556	1	   32	  1	   32	OH353.810+01.452	1612	S	17 24 14.700	-33 21 18.74	 -26.4	      	 1.50	 -26.4	     	 	   0.263	       	        	       	SEV97A	0	0	1997A&AS..122...79S	OH353.810+01.452
261.53060000	-36.43752222	 	  163	  1	 5208	OH351.474-00.596	1612	D	17 26 07.344	-36 26 15.08	 -36.6	 -11.8	 1.50	 -24.2	 12.4	 	   0.934	  0.570	        	       	SEV97A	0	0	1997A&AS..122...79S	OH351.474-00.596
261.57826250	-33.85578056	 	  164	  1	 5211	OH353.637+00.815	1612	D	17 26 18.783	-33 51 20.81	-217.7	-198.7	 1.50	-208.2	  9.5	 	   2.772	  0.658	        	       	SEV97A	0	0	1997A&AS..122...79S	OH353.637+00.815
261.67720000	-36.15503056	1	   35	  1	   35	OH351.774-00.536	1612	D	17 26 42.528	-36 09 18.11	  -3.0	   1.3	 1.50	  -0.9	  2.2	 	   1.423	  1.532	        	       	SEV97A	0	0	1997A&AS..122...79S	OH351.774-00.536
261.72048750	-34.05650833	1	   36	  1	   36	OH353.536+00.605	1612	D	17 26 52.917	-34 03 23.43	 -39.5	 -11.8	 1.50	 -25.7	 13.9	 	   2.176	  1.683	        	       	SEV97A	0	0	1997A&AS..122...79S	OH353.536+00.605
261.75241667	-34.02873333	1	   37	  1	   37	OH353.574+00.598	1612	D	17 27 00.580	-34 01 43.44	 -14.7	  15.9	 1.50	   0.6	 15.3	 	   1.494	  1.177	        	       	SEV97A	0	0	1997A&AS..122...79S	OH353.574+00.598
261.79967917	-30.50524444	1	   38	  1	   38	OH356.524+02.526	1612	S	17 27 11.923	-30 30 18.88	 170.8	      	 1.50	 170.8	     	 	   0.399	       	        	       	SEV97A	0	0	1997A&AS..122...79S	OH356.524+02.526
261.89537917	-34.10905000	1	   39	  1	   39	OH353.573+00.455	1612	D	17 27 34.891	-34 06 32.58	 -71.7	 -41.0	 1.50	 -56.3	 15.3	 	   0.984	  0.545	        	       	SEV97A	0	0	1997A&AS..122...79S	OH353.573+00.455
261.90507917	-35.26625556	1	   40	  1	   40	OH352.616-00.195	1612	D	17 27 37.219	-35 15 58.52	 -29.3	   2.8	 1.50	 -13.3	 16.1	 	   1.493	  2.835	        	       	SEV97A	0	0	1997A&AS..122...79S	OH352.616-00.195
261.94044167	-37.45069444	1	   41	  1	   41	OH350.815-01.433	1612	D	17 27 45.706	-37 27 02.50	 -75.7	 -40.7	 1.50	 -58.2	 17.5	 	   0.567	  0.679	        	       	SEV97A	0	0	1997A&AS..122...79S	OH350.815-01.433
261.94421667	-29.65669167	1	   42	  1	   42	OH357.301+02.893	1612	S	17 27 46.612	-29 39 24.09	  38.5	      	 1.50	  38.5	     	 	   0.565	       	        	       	SEV97A	0	0	1997A&AS..122...79S	OH357.301+02.893
261.97649167	-34.67953611	1	   43	  1	   43	OH353.136+00.082	1612	D	17 27 54.358	-34 40 46.33	 -83.3	 -48.3	 1.50	 -65.8	 17.5	 	   0.504	  1.142	        	       	SEV97A	0	0	1997A&AS..122...79S	OH353.136+00.082
262.23229583	-33.01162778	1	   44	  1	   44	OH354.642+00.830	1612	D	17 28 55.751	-33 00 41.86	 -35.2	  30.5	 1.50	  -2.3	 32.8	 	   0.585	  0.188	        	       	SEV97A	0	0	1997A&AS..122...79S	OH354.642+00.830
262.27014583	-28.70208056	1	   45	  1	   45	OH358.255+03.184	1612	D	17 29 04.835	-28 42 07.49	 -71.0	 -53.5	 1.50	 -62.3	  8.8	 	   0.799	  0.571	        	       	SEV97A	0	0	1997A&AS..122...79S	OH358.255+03.184
262.38561667	-38.81355556	1	   46	  1	   46	OH349.873-02.478	1612	S	17 29 32.548	-38 48 48.80	 -55.3	      	 1.50	 -55.3	     	 	   0.729	       	        	       	SEV97A	0	0	1997A&AS..122...79S	OH349.873-02.478
262.45396667	-35.40355556	1	   47	  1	   47	OH352.749-00.644	1612	D	17 29 48.952	-35 24 12.80	 -38.1	 -13.3	 1.50	 -25.7	 12.4	 	   2.627	  2.605	        	       	SEV97A	0	0	1997A&AS..122...79S	OH352.749-00.644
262.60714583	-38.35729722	1	   48	  1	   48	OH350.350-02.372	1612	S	17 30 25.715	-38 21 26.27	-169.2	      	 1.50	-169.2	     	 	   0.255	       	        	       	SEV97A	0	0	1997A&AS..122...79S	OH350.350-02.372
262.61492917	-34.46244167	1	   49	  1	   49	OH353.607-00.236	1612	D	17 30 27.583	-34 27 44.79	-102.3	 -67.3	 1.50	 -84.8	 17.5	 	   7.184	  3.285	        	       	SEV97A	0	0	1997A&AS..122...79S	OH353.607-00.236
262.70127500	-28.81719722	1	   50	  1	   50	OH358.366+02.805	1612	D	17 30 48.306	-28 49 01.91	 -71.0	 -40.4	 1.50	 -55.7	 15.3	 	   0.712	  0.279	        	       	SEV97A	0	0	1997A&AS..122...79S	OH358.366+02.805
262.78461250	-36.31542500	1	   51	  1	   51	OH352.135-01.369	1612	D	17 31 08.307	-36 18 55.53	 -84.5	 -53.8	 1.50	 -69.2	 15.3	 	   0.254	  0.291	        	       	SEV97A	0	0	1997A&AS..122...79S	OH352.135-01.369
262.79056667	-33.36902500	1	   52	  1	   52	OH354.601+00.244	1612	D	17 31 09.736	-33 22 08.49	-137.4	-108.2	 1.50	-122.8	 14.6	 	   0.301	  0.598	        	       	SEV97A	0	0	1997A&AS..122...79S	OH354.601+00.244
262.79932083	-33.59693056	1	   53	  1	   53	OH354.415+00.112	1612	D	17 31 11.837	-33 35 48.95	 -93.6	 -55.6	 1.50	 -74.6	 19.0	 	   0.443	  0.416	        	       	SEV97A	0	0	1997A&AS..122...79S	OH354.415+00.112
262.91865417	-37.31018333	1	   54	  1	   54	OH351.361-02.004	1612	D	17 31 40.477	-37 18 36.66	 -11.5	  10.4	 1.50	  -0.5	 11.0	 	   2.609	  2.700	        	       	SEV97A	0	0	1997A&AS..122...79S	OH351.361-02.004
262.94660417	-36.57855278	1	   55	  1	   55	OH351.986-01.622	1612	S	17 31 47.185	-36 34 42.79	-179.4	      	 1.50	-179.4	     	 	   0.576	       	        	       	SEV97A	0	0	1997A&AS..122...79S	OH351.986-01.622
262.94920833	-33.54208889	1	   56	  1	   56	OH354.529+00.038	1612	D	17 31 47.810	-33 32 31.52	 -51.2	 -19.1	 1.50	 -35.2	 16.1	 	   0.715	  1.749	        	       	SEV97A	0	0	1997A&AS..122...79S	OH354.529+00.038
262.98259583	-32.47800556	1	   57	  1	   57	OH355.435+00.597	1612	D	17 31 55.823	-32 28 40.82	 -26.4	   1.3	 1.50	 -12.5	 13.9	 	   0.952	  2.138	        	       	SEV97A	0	0	1997A&AS..122...79S	OH355.435+00.597
263.06671250	-37.83923056	1	   58	  1	   58	OH350.982-02.391	1612	D	17 32 16.011	-37 50 21.23	 -30.5	  -1.3	 1.50	 -15.9	 14.6	 	   0.648	  1.383	        	       	SEV97A	0	0	1997A&AS..122...79S	OH350.982-02.391
263.12375833	-29.92681111	1	   59	  1	   59	OH357.638+01.890	1612	S	17 32 29.702	-29 55 36.52	  51.1	      	 1.50	  51.1	     	 	   0.370	       	        	       	SEV97A	0	0	1997A&AS..122...79S	OH357.638+01.890
263.14118333	-29.72051389	1	   60	  1	   60	OH357.819+01.990	1612	D	17 32 33.884	-29 43 13.85	 -45.3	 -16.1	 1.50	 -30.7	 14.6	 	   0.972	  0.703	        	       	SEV97A	0	0	1997A&AS..122...79S	OH357.819+01.990
263.16020833	-34.97938611	1	   61	  1	   61	OH353.421-00.894	1612	S	17 32 38.450	-34 58 45.79	 -43.9	      	 1.50	 -43.9	     	 	   2.452	       	        	       	SEV97A	0	0	1997A&AS..122...79S	OH353.421-00.894
263.16295417	-33.07108056	 	  165	  1	 5220	OH355.021+00.146	1612	S	17 32 39.109	-33 04 15.89	  18.9	      	 1.50	  18.9	     	 	   0.781	       	        	       	SEV97A	0	0	1997A&AS..122...79S	OH355.021+00.146
263.20215417	-33.40090278	1	   63	  1	   63	OH354.762-00.062	1612	D	17 32 48.517	-33 24 03.25	 -13.3	  14.5	 1.50	   0.6	 13.9	 	   3.201	  5.856	        	       	SEV97A	0	0	1997A&AS..122...79S	OH354.762-00.062
263.24750000	-33.56302778	1	   64	  1	   64	OH354.647-00.182	1612	D	17 32 59.400	-33 33 46.90	  37.8	  58.3	 1.50	  48.1	 10.2	 	   0.319	  0.283	        	       	SEV97A	0	0	1997A&AS..122...79S	OH354.647-00.182
263.42785833	-33.50707222	1	   65	  1	   65	OH354.776-00.277	1612	S	17 33 42.686	-33 30 25.46	 270.0	      	 1.50	 270.0	     	 	   0.231	       	        	       	SEV97A	0	0	1997A&AS..122...79S	OH354.776-00.277
263.43020417	-27.88353333	1	   66	  1	   66	OH359.500+02.776	1612	S	17 33 43.249	-27 53 00.72	 121.7	      	 1.50	 121.7	     	 	   0.926	       	        	       	SEV97A	0	0	1997A&AS..122...79S	OH359.500+02.776
263.53963750	-32.87770556	1	   67	  1	   67	OH355.355-00.014	1612	D	17 34 09.513	-32 52 39.74	  84.6	 121.1	 1.50	 102.8	 18.3	 	   0.499	  0.259	        	       	SEV97A	0	0	1997A&AS..122...79S	OH355.355-00.014
263.58661667	-34.58205833	 	  166	  1	 5223	OH353.945-00.972	1612	D	17 34 20.788	-34 34 55.41	-298.0	-274.6	 1.50	-286.3	 11.7	 	   0.677	  1.391	        	       	SEV97A	0	0	1997A&AS..122...79S	OH353.945-00.972
263.66234583	-36.27548889	1	   69	  1	   69	OH352.554-01.941	1612	S	17 34 38.963	-36 16 31.76	-140.0	      	 1.50	-140.0	     	 	   0.427	       	        	       	SEV97A	0	0	1997A&AS..122...79S	OH352.554-01.941
263.72202917	-27.75310556	 	  167	  1	 5226	OH359.750+02.629	1612	D	17 34 53.287	-27 45 11.18	  36.5	  58.4	 1.50	  47.4	 11.0	 	   3.906	  4.601	        	       	SEV97A	0	0	1997A&AS..122...79S	OH359.750+02.629
263.73956667	-35.43108611	1	   71	  1	   71	OH353.298-01.537	1612	D	17 34 57.496	-35 25 51.91	  48.4	  74.7	 1.50	  61.5	 13.1	 	   2.266	  2.365	        	       	SEV97A	0	0	1997A&AS..122...79S	OH353.298-01.537
