#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-08-16T15:29:52 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ611a83dccb671	
#INFO	-out.max=unlimited	
#INFO	queryParameters=46	
#-oc.form=sexa
#-out.max=unlimited
#-out.all=2
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/AJ/123/2772&tab:{J/AJ/123/2772/AGB}&key:source=J/AJ/123/2772/AGB&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/123/2772/AGB
#-order=I
#-out=n_Name
#-out=Name
#-out=Vlsr
#-out=Vexp
#-out=IRAS
#-out=NIRAS
#-out=S12um
#-out=S25um
#-out=S60um
#-out=S100um
#-out.all=2
#-out=S4um
#-out=S8um
#-out=S12umM
#-out=S15um
#-out=S21um
#-out=Jmag
#-out=Hmag
#-out=Kmag
#-out=2MASS
#2MASS=2MASS
#-out=MSX
#MSX=MSX
#-out=GLON
#-out=GLAT
#-out=Vout
#-out=Sblue
#-out=Sred
#-out=vla
#-out=atca
#-out=_RA.icrs
#-out=_DE.icrs
#-out.all=2
#

#RESOURCE=yCat_51232772
#Name: J/AJ/123/2772
#Title: OH-selected AGB and post-AGB objects. I. (Sevenster+, 2002)
#Coosys	G:	galactic
#Table	J_AJ_123_2772_AGB:
#Name: J/AJ/123/2772/AGB
#Title: The catalogue of 766 OH-selected AGB and post-AGB objects (radio and infra-red data)
#Column	_RAJ2000	(A11)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(A11)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	n_Name	(A1)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	Name	(A16)	OH name	[ucd=meta.id;meta.main]
#Column	Vlsr	(F6.1)	LSR velocity	[ucd=phys.veloc;pos.lsr]
#Column	Vexp	(F4.1)	Expansion velocity	[ucd=phys.veloc.expansion]
#Column	IRAS	(A10)	IRAS name	[ucd=meta.id.assoc]
#Column	NIRAS	(F6.2)	Distance between OH pos and IRAS pos in fractions of IRAS error ellipse IN THE DIRECTION of the OH source	[ucd=pos.angDistance]
#Column	S12um	(F7.2)	? Flux density at 12{mu}m if N<1.5 (1)	[ucd=phot.flux.density;em.IR.8-15um]
#Column	S25um	(F7.2)	? Flux density at 25{mu}m if N<1.5 (1)	[ucd=phot.flux.density;em.IR.15-30um]
#Column	S60um	(F8.2)	? Flux density at 60{mu}m if N<1.5 (1)	[ucd=phot.flux.density;em.IR.30-60um]
#Column	S100um	(F8.2)	? Flux density at 100{mu}m if N<1.5 (1)	[ucd=phot.flux.density;em.IR.60-100um]
#Column	S4um	(F6.2)	? MSX flux density at 4{mu}m (B2 band) if within 5" (1)	[ucd=phot.flux.density;em.IR.3-4um]
#Column	S8um	(F6.2)	? MSX flux density at 8{mu}m if within 5" (1)	[ucd=phot.flux.density;em.IR.8-15um]
#Column	S12umM	(F7.2)	? MSX flux density at 12{mu}m if within 5" (1)	[ucd=phot.flux.density;em.IR.8-15um]
#Column	S15um	(F7.2)	? MSX flux density at 15{mu}m if within 5" (1)	[ucd=phot.flux.density;em.IR.8-15um]
#Column	S21um	(F7.2)	? MSX flux density at 21{mu}m if within 5" (1)	[ucd=phot.flux.density;em.IR.15-30um]
#Column	Jmag	(F7.2)	? 2MASS J magnitude if within 3" (1)	[ucd=phot.mag;em.IR.J]
#Column	Hmag	(F7.2)	? 2MASS H magnitude if within 3" (1)	[ucd=phot.mag;em.IR.H]
#Column	Kmag	(F7.2)	? 2MASS Ks magnitude if within 3" (1)	[ucd=phot.mag;em.IR.K]
#Column	2MASS	(a5)	Display the 2MASS (Cat. II/246) sources within a 10-arcsec radius	[ucd=meta.ref.url]
#Column	MSX	(A3)	Display the MSX6C (Cat. V/114) sources within a 15-arcsec radius	[ucd=meta.ref.url]
#Column	GLON	(F7.3)	Galactic longitude in range [0,360]{deg} (the original table contained negative longitudes)	[ucd=pos.galactic.lon]
#Column	GLAT	(F7.3)	Galactic latitude	[ucd=pos.galactic.lat]
#Column	Vout	(F6.3)	Outflow velocity	[ucd=phys.veloc]
#Column	Sblue	(F7.3)	Blue peak flux density	[ucd=phot.flux.density;em.IR]
#Column	Sred	(F7.3)	Red peak flux density	[ucd=phot.flux.density;em.IR]
#Column	vla	(A24)	VLA spectrum name (vla/spectrumname)	[ucd=meta.id;meta.file]
#Column	atca	(A25)	ATCA spectrum name (atca/spectrumname)	[ucd=meta.id;meta.file]
#Column	_RA.icrs	(F8.4)	Right ascension (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F8.4)	Declination (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
_RAJ2000	_DEJ2000	n_Name	Name	Vlsr	Vexp	IRAS	NIRAS	S12um	S25um	S60um	S100um	S4um	S8um	S12umM	S15um	S21um	Jmag	Hmag	Kmag	2MASS	MSX	GLON	GLAT	Vout	Sblue	Sred	vla	atca	_RA.icrs	_DE.icrs
15 02 11.17	-58 49 58.9	 	OH319.162-00.144	 -26.2	12.4	14583-5838	  0.62	   7.34	  10.16	  -10.87	 -137.90	 -8.59	  5.07	   6.84	   6.98	   8.50	       	       	       	2MASS	MSX	319.162	-00.144	12.400	  0.852	  0.784	vla/OH319.162-00.144.dat	                         	225.5466	-58.8330
15 11 59.77	-58 09 39.3	 	OH320.608-00.197	 -74.4	21.2	15081-5758	  0.46	  26.24	  24.04	  -51.23	 -124.20	      	      	       	       	       	       	       	       	2MASS	MSX	320.608	-00.197	21.200	  0.695	  1.218	vla/OH320.608-00.197.dat	                         	227.9990	-58.1609
15 12 29.37	-56 24 26.3	 	OH321.565+01.274	  -8.8	16.1	15086-5613	  0.28	  32.00	  33.97	    7.86	  -70.72	 17.14	 35.60	  46.33	  42.32	  44.32	       	       	       	2MASS	MSX	321.565	+01.274	16.100	  0.969	  1.225	vla/OH321.565+01.274.dat	                         	228.1224	-56.4073
15 13 41.92	-55 20 39.8	 	OH322.259+02.097	 -20.5	20.4	15099-5509	  0.24	 319.60	 250.10	   44.76	 -118.90	      	      	       	       	       	       	       	       	2MASS	MSX	322.259	+02.097	20.400	  0.630	  1.110	vla/OH322.259+02.097.dat	                         	228.4247	-55.3444
15 18 00.15	-55 58 16.2	 	OH322.447+01.245	 -18.3	10.9	15142-5547	  2.82	       	       	        	        	 -9.63	 10.51	  14.82	  14.12	  15.06	       	       	       	2MASS	MSX	322.447	+01.245	10.900	  0.571	  0.639	vla/OH322.447+01.245.dat	                         	229.5006	-55.9712
15 19 24.74	-57 34 35.7	 	OH321.754-00.216	  -8.7	16.8	15155-5723	  0.27	  36.02	  45.12	    6.70	 -180.70	 -8.79	 19.26	  24.17	  12.01	   8.61	       	       	       	2MASS	MSX	321.754	-00.216	16.800	  0.738	  0.552	vla/OH321.754-00.216.dat	                         	229.8531	-57.5766
15 26 23.53	-56 15 55.0	 	OH323.268+00.362	   1.4	 0.0	15225-5605	  0.28	  63.29	  80.60	   33.29	 -101.80	      	      	       	       	       	       	       	       	2MASS	MSX	323.268	+00.362	 0.000	  1.269	  0.000	vla/OH323.268+00.362.dat	                         	231.5981	-56.2653
15 26 44.32	-54 56 15.0	 	OH324.049+01.437	 -22.0	14.6	15229-5445	  0.84	  23.16	  25.14	    5.80	  -82.67	  9.82	 22.85	  29.44	  26.24	  32.77	       	       	       	2MASS	MSX	324.049	+01.437	14.600	  0.794	  1.845	vla/OH324.049+01.437.dat	                         	231.6847	-54.9375
15 27 22.37	-59 46 53.3	 	OH321.411-02.627	 -41.0	13.1	15233-5936	  0.16	   7.76	  11.11	    3.12	  -83.77	 -9.13	  2.38	   3.33	   3.99	   5.67	       	       	       	2MASS	MSX	321.411	-02.627	13.100	  0.355	  0.576	vla/OH321.411-02.627.dat	                         	231.8432	-59.7815
15 27 54.80	-60 01 31.9	 	OH321.330-02.867	 -32.9	12.4	15238-5951	  0.06	  11.48	  10.54	    2.13	  -76.20	 -8.96	 16.01	  17.53	  12.70	  17.20	       	       	       	2MASS	MSX	321.330	-02.867	12.400	  0.774	  0.504	vla/OH321.330-02.867.dat	                         	231.9783	-60.0255
15 28 07.02	-57 08 35.2	 	OH322.973-00.498	  24.0	12.4	15240-5657	 13.20	       	       	        	        	 -8.79	  2.32	   3.29	   5.03	   5.08	       	       	       	2MASS	MSX	322.973	-00.498	12.400	  0.478	  0.555	vla/OH322.973-00.498.dat	                         	232.0293	-57.1431
15 28 54.11	-57 02 37.8	 	OH323.117-00.476	 -70.2	17.5	15249-5652	  0.15	  23.83	  26.48	    5.99	 -183.50	 11.07	 17.24	  21.63	  19.64	  23.58	       	       	       	2MASS	MSX	323.117	-00.476	17.500	  0.717	  0.655	vla/OH323.117-00.476.dat	                         	232.2254	-57.0438
15 29 19.42	-56 31 22.9	 	OH323.459-00.079	 -70.8	 0.0	15254-5621	  0.11	  84.08	 522.40	 3011.00	 4098.00	 -8.59	 35.01	 105.70	 157.74	 424.89	       	       	       	2MASS	MSX	323.459	-00.079	 0.000	  0.959	  0.000	vla/OH323.459-00.079.dat	                         	232.3309	-56.5230
15 31 30.58	-55 30 14.9	 	OH324.290+00.585	 -59.2	 9.5	15276-5520	  0.34	   3.12	   3.90	   -9.10	 -226.90	      	      	       	       	       	       	       	       	2MASS	MSX	324.290	+00.585	 9.500	  0.359	  0.360	vla/OH324.290+00.585.dat	                         	232.8774	-55.5041
15 32 49.52	-58 21 14.2	 	OH322.800-01.851	 -71.6	 0.0	15287-5811	  3.29	       	       	        	        	123.97	181.21	 252.69	 185.42	 198.76	       	       	       	2MASS	MSX	322.800	-01.851	 0.000	  0.631	  0.000	vla/OH322.800-01.851.dat	                         	233.2063	-58.3540
15 34 10.74	-55 06 45.8	 	OH324.826+00.686	 -68.7	23.4	15303-5456	  0.34	  40.35	  59.60	   15.41	 -121.60	      	      	       	       	       	       	       	       	2MASS	MSX	324.826	+00.686	23.400	  1.732	  2.081	vla/OH324.826+00.686.dat	                         	233.5448	-55.1127
15 37 27.03	-52 10 57.7	 	OH326.935+02.778	-115.4	14.6	15337-5201	  0.17	  14.15	  13.62	    4.24	  -11.71	      	      	       	       	       	       	       	       	2MASS	MSX	326.935	+02.778	14.600	  0.500	  0.398	vla/OH326.935+02.778.dat	                         	234.3626	-52.1827
15 37 31.63	-52 12 13.8	 	OH326.932+02.754	-144.6	 7.3	15338-5202	  0.19	  -0.56	  11.71	    4.83	   -9.65	 -8.71	  0.80	   2.02	   3.41	  10.90	       	       	       	2MASS	MSX	326.932	+02.754	 7.300	  0.648	  0.581	vla/OH326.932+02.754.dat	                         	234.3818	-52.2038
15 37 35.39	-52 45 47.5	 	OH326.609+02.297	 -53.4	 5.1	15338-5236	  0.31	   8.13	   8.68	   -1.42	  -15.75	 -8.13	  4.82	   6.41	   5.79	   7.27	       	       	       	2MASS	MSX	326.609	+02.297	 5.100	  0.960	  0.941	vla/OH326.609+02.297.dat	                         	234.3975	-52.7632
15 39 27.50	-54 51 18.9	 	OH325.590+00.449	 -52.6	 1.5	15356-5441	  0.59	   1.38	   4.73	  -13.37	 -156.20	      	      	       	       	       	       	       	       	2MASS	MSX	325.590	+00.449	 1.500	  0.968	  1.014	vla/OH325.590+00.449.dat	                         	234.8646	-54.8553
15 39 29.78	-52 49 08.6	 	OH326.808+02.081	 -57.8	18.2	15357-5239	  0.09	  34.43	  44.55	    9.88	  -19.43	 14.74	 27.51	  35.84	  36.05	  42.85	       	       	       	2MASS	MSX	326.808	+02.081	18.200	  0.892	  0.629	vla/OH326.808+02.081.dat	                         	234.8741	-52.8191
15 40 37.78	-58 20 47.4	 	OH323.633-02.447	 -48.3	13.1	15366-5811	  0.56	   8.51	   8.62	    1.62	  -79.62	 -9.13	  7.86	   9.40	   8.24	  10.27	       	       	       	2MASS	MSX	323.633	-02.447	13.100	  0.651	  0.213	vla/OH323.633-02.447.dat	                         	235.1574	-58.3465
15 40 38.31	-54 30 18.1	 	OH325.936+00.628	-102.3	 0.0	15367-5420	  0.23	   1.85	   6.05	   13.39	 -158.00	      	      	       	       	       	       	       	       	2MASS	MSX	325.936	+00.628	 0.000	  0.646	  0.000	vla/OH325.936+00.628.dat	                         	235.1596	-54.5050
15 41 08.73	-57 01 33.6	 	OH324.481-01.432	-114.0	13.1	15371-5651	  0.18	   9.00	  18.71	  -18.41	 -347.10	 -8.75	  4.64	   6.50	   9.35	  11.23	       	       	       	2MASS	MSX	324.481	-01.432	13.100	  0.645	  0.767	vla/OH324.481-01.432.dat	                         	235.2864	-57.0260
15 44 21.59	-51 43 02.2	 	OH328.067+02.511	 -65.8	13.1	15406-5133	  0.26	   4.60	   6.94	   -8.16	  -71.21	      	      	       	       	       	       	       	       	2MASS	MSX	328.067	+02.511	13.100	  0.293	  0.241	vla/OH328.067+02.511.dat	                         	236.0900	-51.7173
15 46 17.94	-55 04 38.2	 	OH326.237-00.322	 -65.8	13.1	15424-5455	  0.78	  28.44	  64.75	 -158.20	 -544.50	 12.50	 48.34	  74.81	  98.82	 112.43	       	       	       	2MASS	MSX	326.237	-00.322	13.100	 15.628	 12.324	vla/OH326.237-00.322.dat	                         	236.5748	-55.0773
15 47 18.48	-58 38 45.7	 	OH324.143-03.216	-104.5	 9.5	15432-5829	  0.22	   8.23	  11.54	    3.07	  -38.04	      	      	       	       	       	       	       	       	2MASS	MSX	324.143	-03.216	 9.500	  0.352	  0.487	vla/OH324.143-03.216.dat	                         	236.8270	-58.6460
15 47 24.20	-54 38 57.3	 	OH326.626-00.083	 -89.8	 0.0	15435-5429	  1.23	  -6.91	  16.51	  -35.33	 -333.30	 -9.38	 -0.09	  -1.49	   8.94	   8.78	       	       	       	2MASS	MSX	326.626	-00.083	 0.000	  0.732	  0.000	vla/OH326.626-00.083.dat	                         	236.8508	-54.6492
15 47 25.04	-51 05 32.4	 	OH328.828+02.711	 -39.5	13.1	15437-5056	  0.33	  10.33	  17.97	    8.98	   19.83	 -8.71	  2.96	   5.15	   8.07	   9.54	       	       	       	2MASS	MSX	328.828	+02.711	13.100	  1.198	  0.978	vla/OH328.828+02.711.dat	                         	236.8543	-51.0923
15 48 19.49	-54 58 21.0	 	OH326.530-00.419	-140.2	 0.0	15445-5449	  2.00	       	       	        	        	 -8.79	  0.57	   5.08	  13.65	  52.81	       	       	       	2MASS	MSX	326.530	-00.419	 0.000	  0.688	  0.000	vla/OH326.530-00.419.dat	                         	237.0812	-54.9725
15 49 11.33	-55 08 51.1	 	OH326.518-00.633	 -57.8	 9.5	15452-5459	  0.23	  87.05	 242.70	  273.60	 -401.10	      	      	       	       	       	       	       	       	2MASS	MSX	326.518	-00.633	 9.500	  6.708	  9.275	vla/OH326.518-00.633.dat	                         	237.2972	-55.1475
15 50 44.80	-54 29 37.1	 	OH327.102-00.263	 -71.5	16.8	15468-5420	  0.51	  54.01	 167.10	 -504.90	 -967.30	 -9.38	 32.79	  47.53	  79.72	 108.04	       	       	       	2MASS	MSX	327.102	-00.263	16.800	  6.766	 13.748	vla/OH327.102-00.263.dat	                         	237.6867	-54.4936
15 51 16.67	-52 32 16.8	 	OH328.392+01.209	  38.6	10.9	15474-5223	  0.12	  83.29	 110.20	   34.50	 -192.70	 19.65	 54.54	  87.06	  92.52	 106.39	       	       	       	2MASS	MSX	328.392	+01.209	10.900	  1.404	  8.186	vla/OH328.392+01.209.dat	                         	237.8194	-52.5380
15 51 31.99	-54 09 00.9	 	OH327.407-00.068	 -83.9	21.9	15476-5400	  0.20	  38.64	  56.64	  -19.77	 -572.10	 14.48	 18.58	  40.05	  42.74	  45.84	       	       	       	2MASS	MSX	327.407	-00.068	21.900	  2.370	  1.648	vla/OH327.407-00.068.dat	                         	237.8833	-54.1503
15 51 42.30	-55 03 20.7	 	OH326.856-00.787	 -57.8	15.3	15477-5454	  0.40	   4.70	   9.03	  -36.27	 -501.60	      	      	       	       	       	       	       	       	2MASS	MSX	326.856	-00.787	15.300	  0.800	  0.926	vla/OH326.856-00.787.dat	                         	237.9262	-55.0558
