#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-06-22T18:37:51 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ60d2272c34a6fe	
#INFO	-out.max=unlimited	
#INFO	queryParameters=33	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-out.src=J/A+AS/92/43/table2
#-nav=cat:J/AJ/123/2772&cat:J/A+A/538/A136&cat:J/ApJS/89/189&cat:J/ApJS/109/489&cat:J/A+AS/92/43&tab:{J/A+AS/92/43/table2}&cat:J/A+AS/127/185&cat:J/A+A/391/967&cat:J/A+A/446/773&cat:J/A+A/299/453&cat:J/AJ/127/501&cat:J/A+AS/128/35&cat:J/A+A/431/779&cat:J/A+A/368/1006&key:source=OH/IR+stars&HTTPPRM:&&-ref=VIZ60d2272c34a6fe&-out.max=unlimited&-out.form=HTML Table&-out.all=2&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=LWHM&-out=Source&-out=RA1950&-out=e_RA1950&-out=DE1950&-out=e_DE1950&-out=VH&-out=SH&-out=IH&-out=VL&-out.all=2&-out=SL&-out=IL&-out=C&-out=Vexp&-out=Vc&-out=Date&-out=Remarks&-out=_RA.icrs&-out=_DE.icrs&-out.all=2&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+AS/92/43/table2
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+AS/92/43/table2
#-out=LWHM
#-out=Source
#-out=RA1950
#-out=e_RA1950
#-out=DE1950
#-out=e_DE1950
#-out=VH
#-out=SH
#-out=IH
#-out=VL
#-out=SL
#-out=IL
#-out=C
#-out=Vexp
#-out=Vc
#-out=Date
#-out=Remarks
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_40920043
#Name: J/A+AS/92/43
#Title: Radio Obs. of OH/IR stars close to Gal.Center (Lindqvist+ 1992)
#Coosys	B1950:	eq_FK4 B1950
#Table	J_A_AS_92_43_table2:
#Name: J/A+AS/92/43/table2
#Title: OH/IR stars close to Galactic centre
#Column	_RAJ2000	(F12.8)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F12.8)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	LWHM	(A5)	Source Designation	[ucd=meta.id;meta.main]
#Column	Source	(A15)	OH name (galactic longitude & latitude)	[ucd=meta.id]
#Column	RA1950	(A12)	Right ascension for 1950	[ucd=pos.eq.ra;meta.main]
#Column	e_RA1950	(F6.3)	rms error of RA1950	[ucd=stat.error;pos.eq.ra]
#Column	DE1950	(A12)	Declination 1950	[ucd=pos.eq.dec;meta.main]
#Column	e_DE1950	(F5.2)	rms error of DE1950	[ucd=stat.error;pos.eq.dec]
#Column	VH	(F6.1)	? Radial velocity (LSR) of the high-velocity component	[ucd=spect.dopplerVeloc]
#Column	SH	(F5.2)	? Peak flux density of the high-velocity component	[ucd=phot.flux.density]
#Column	IH	(F5.2)	? Integrated 1612 MHz flux density of the high-velocity component	[ucd=phot.flux.density;em.radio.1500-3000MHz]
#Column	VL	(F6.1)	Radial velocity (LSR) of the low-velocity component	[ucd=phys.veloc]
#Column	SL	(F5.2)	? Peak flux density of the low-velocity component	[ucd=phot.flux.density]
#Column	IL	(F5.2)	? Integrated 1612 MHz flux density of the low-velocity component	[ucd=phot.flux.density;em.radio.1500-3000MHz]
#Column	C	(F5.2)	Correction factor due to the primary beam attenuation	[ucd=arith.factor]
#Column	Vexp	(F4.1)	? Expansion velocity of the shell =(VH-VL)/2	[ucd=phys.veloc.expansion]
#Column	Vc	(F6.1)	? Radial velocity (LSR) of the star = (VH+VL)/2	[ucd=spect.dopplerVeloc]
#Column	Date	(A10)	Date of observation	[ucd=time.epoch]
#Column	Remarks	(A4)	Comments on individual spectra	[ucd=meta.note]
#Column	_RA.icrs	(A12)	Right ascension (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A12)	Declination (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
_RAJ2000	_DEJ2000	LWHM	Source	RA1950	e_RA1950	DE1950	e_DE1950	VH	SH	IH	VL	SL	IL	C	Vexp	Vc	Date	Remarks	_RA.icrs	_DE.icrs
266.27197396	-29.28698724	 18  	OH359.640-0.084	17 41 54.125	 0.024	-29 16 01.02	 0.27	-127.4	 0.24	 0.48	-154.6	 0.15	 0.29	 1.00	13.6	-141.0	1985-06-20	    	17 45 05.274	-29 17 13.15
266.32531641	-29.30104003	 19  	OH359.652-0.131	17 42 06.903	 0.016	-29 16 52.54	 0.20	-168.3	 0.26	 0.89	-209.1	 0.16	 0.61	 1.07	20.4	-188.7	1985-06-20	    	17 45 18.076	-29 18 03.74
266.22609447	-29.22891146	 20  	OH359.669-0.019	17 41 43.205	 0.038	-29 12 31.15	 0.47	 -66.4	 0.09	 0.22	-101.3	 0.06	 0.26	 1.01	17.5	 -83.8	1985-06-25	    	17 44 54.263	-29 13 44.08
266.14373866	-29.17705697	 21  	OH359.675+0.069	17 41 23.523	 0.021	-29 09 23.04	 0.26	  -6.2	 0.92	 3.62	 -43.7	 0.61	 3.72	 1.22	18.8	 -24.9	1985-06-25	W   	17 44 34.497	-29 10 37.40
266.23680561	-29.22375391	 22.1	OH359.678-0.024	17 41 45.783	 0.028	-29 12 12.77	 0.32	-128.6	 0.52	 1.50	-171.7	 0.43	 1.51	 2.66	21.6	-150.1	1984-03-03	W   	17 44 56.833	-29 13 25.51
266.23675494	-29.22365137	 22.2	OH359.678-0.024	17 41 45.771	 0.021	-29 12 12.40	 0.27	-128.6	 0.32	 0.95	-171.7	 0.26	 0.78	 1.03	21.6	-150.1	1985-06-20	W   	17 44 56.821	-29 13 25.14
266.30820736	-29.25766393	 23.1	OH359.681-0.095	17 42 02.864	 0.034	-29 14 16.09	 0.45	 -78.6	 0.31	 0.83	-120.6	 0.23	 0.91	 2.67	21.0	 -99.6	1984-03-03	    	17 45 13.970	-29 15 27.59
266.30776668	-29.25783274	 23.2	OH359.681-0.095	17 42 02.758	 0.021	-29 14 16.69	 0.27	 -79.7	 0.42	 1.38	-118.3	 0.20	 0.98	 1.04	19.3	 -99.0	1985-06-20	    	17 45 13.864	-29 15 28.20
266.31823120	-29.26042372	 24  	OH359.684-0.104	17 42 05.265	 0.031	-29 14 26.20	 0.36	 -43.7	 0.10	 0.39	 -76.3	 0.13	 0.49	 1.06	16.3	 -60.0	1985-06-25	    	17 45 16.375	-29 15 37.52
266.33052984	-29.23493315	 25  	OH359.711-0.100	17 42 08.255	 0.024	-29 12 54.65	 0.30	 -13.1	 0.37	 1.40	 -51.6	 0.25	 0.87	 1.11	19.3	 -32.3	1985-06-25	    	17 45 19.327	-29 14 05.76
266.30350353	-29.21531661	 26.1	OH359.716-0.070	17 42 01.800	 0.041	-29 11 43.56	 0.46	  51.6	 0.19	 0.36	   7.4	 0.17	 1.00	 2.08	22.1	  29.5	1984-03-04	    	17 45 12.841	-29 12 55.14
266.30394839	-29.21514779	 26.2	OH359.716-0.070	17 42 01.907	 0.022	-29 11 42.96	 0.27	  51.6	 0.46	 2.09	   6.2	 0.28	 1.98	 1.08	22.7	  28.9	1985-06-25	    	17 45 12.948	-29 12 54.53
266.21354106	-29.16261291	 27  	OH359.719+0.025	17 41 40.294	 0.032	-29 08 32.26	 0.37	 -79.7	 0.06	 0.20	-125.1	 0.19	 0.90	 1.18	22.7	-102.4	1985-06-20	    	17 44 51.250	-29 09 45.41
266.64863983	-29.36437077	 28  	OH359.745-0.404	17 43 24.388	 0.023	-29 20 46.17	 0.30	 203.5	 0.45	 1.99	 169.4	 0.26	 1.31	 1.75	17.1	 186.5	1985-07-07	H   	17 46 35.674	-29 21 51.73
266.12241216	-29.08305605	 29.1	OH359.746+0.134	17 41 18.549	 0.029	-29 03 44.27	 0.40	-128.6	 0.41	 1.04	-144.4	 0.25	 0.58	 2.65	 7.9	-136.5	1984-03-03	W   	17 44 29.379	-29 04 59.00
266.12255236	-29.08281925	 29.2	OH359.746+0.134	17 41 18.583	 0.014	-29 03 43.42	 0.23	-128.6	 0.34	 0.69	-145.6	 0.18	 0.74	 2.20	 8.5	-137.1	1985-04-18	W   	17 44 29.413	-29 04 58.15
266.12266574	-29.08295482	 29.3	OH359.746+0.134	17 41 18.610	 0.023	-29 03 43.91	 0.32	-128.6	 0.38	 0.90	-145.6	 0.24	 0.69	 1.90	 8.5	-137.1	1985-06-20	W   	17 44 29.440	-29 04 58.64
265.98778105	-29.00788220	 30  	OH359.748+0.274	17 40 46.359	 0.027	-28 59 11.30	 0.37	-142.2	 0.16	 0.48	-168.3	 0.09	 0.34	 1.71	13.1	-155.2	1985-04-18	    	17 43 57.067	-29 00 28.38
266.19993049	-29.11351420	 31  	OH359.755+0.061	17 41 37.103	 0.043	-29 05 35.27	 0.31	  56.2	 0.07	 0.40	  18.7	 0.18	 0.61	 1.43	18.8	  37.5	1985-06-25	    	17 44 47.983	-29 06 48.65
266.19147196	-29.10392171	 32.1	OH359.760+0.072	17 41 35.088	 0.028	-29 05 00.59	 0.35	 -35.8	 0.18	 0.72	 -74.1	 0.17	 0.67	 1.93	19.2	 -54.9	1984-03-04	    	17 44 45.953	-29 06 14.12
266.19154208	-29.10380748	 32.2	OH359.760+0.072	17 41 35.105	 0.027	-29 05 00.18	 0.29	 -34.6	 0.28	 1.17	 -76.3	 0.22	 1.27	 1.53	20.9	 -55.4	1985-06-25	    	17 44 45.970	-29 06 13.71
266.14566372	-29.07659605	 33.1	OH359.762+0.120	17 41 24.138	 0.021	-29 03 21.42	 0.25	   9.6	 5.06	17.05	 -21.0	 2.49	 5.50	 2.29	15.3	  -5.7	1984-03-04	H,W 	17 44 34.959	-29 04 35.75
266.14563787	-29.07646284	 33.2	OH359.762+0.120	17 41 24.132	 0.010	-29 03 20.94	 0.18	   9.6	 3.41	10.65	 -21.0	 1.25	 3.17	 2.14	15.3	  -5.7	1985-04-19	H,W 	17 44 34.953	-29 04 35.27
266.14568396	-29.07650150	 33.3	OH359.762+0.120	17 41 24.143	 0.019	-29 03 21.08	 0.24	   8.5	 3.81	11.94	 -21.0	 1.38	 3.33	 1.87	14.8	  -6.2	1985-06-25	H,W 	17 44 34.964	-29 04 35.40
266.30452400	-29.16017746	 34.1	OH359.763-0.042	17 42 02.129	 0.037	-29 08 25.08	 0.48	 134.2	 0.20	 0.40	 105.8	 0.17	 0.61	 1.58	14.2	 120.0	1984-03-05	    	17 45 13.086	-29 09 36.64
266.30443540	-29.16000844	 34.2	OH359.763-0.042	17 42 02.108	 0.022	-29 08 24.47	 0.28	 134.2	 0.21	 0.81	 105.8	 0.20	 0.59	 1.25	14.2	 120.0	1985-06-27	    	17 45 13.064	-29 09 36.03
266.18518017	-29.09361037	 35  	OH359.765+0.082	17 41 33.594	 0.040	-29 04 23.36	 0.78	 127.4	 0.20	 1.07	  95.6	 0.11	 0.37	 1.95	15.9	 111.5	1984-03-05	    	17 44 44.443	-29 05 37.00
266.46921481	-29.24184153	 36  	OH359.768-0.207	17 42 41.522	 0.050	-29 13 21.94	 0.73	-135.4	 0.19	 0.70	-173.9	 0.14	 0.76	 1.80	19.3	-154.6	1985-06-20	    	17 45 52.612	-29 14 30.63
266.38874014	-29.18946416	 37.1	OH359.776-0.120	17 42 22.292	 0.028	-29 10 11.98	 0.34	  85.4	 0.15	 0.49	  58.4	 0.43	 1.18	 1.65	13.4	  72.0	1984-03-04	W   	17 45 33.298	-29 11 22.07
266.38873359	-29.18974475	 37.2	OH359.776-0.120	17 42 22.290	 0.025	-29 10 12.99	 0.30	  84.3	 0.23	 0.45	  58.4	 0.54	 1.20	 1.41	13.0	  71.4	1985-06-25	W   	17 45 33.296	-29 11 23.08
266.26318608	-29.12015496	 38.1	OH359.778+0.010	17 41 52.271	 0.040	-29 06 00.28	 0.48	  -7.4	 0.17	 0.53	 -49.4	 0.10	 0.15	 1.53	21.0	 -28.4	1984-03-04	    	17 45 03.165	-29 07 12.56
266.26354453	-29.12016156	 38.2	OH359.778+0.010	17 41 52.357	 0.028	-29 06 00.31	 0.34	  -7.4	 0.18	 0.87	 -49.4	 0.21	 0.71	 1.40	21.0	 -28.4	1985-06-25	    	17 45 03.251	-29 07 12.58
266.65893389	-29.32525078	 39  	OH359.783-0.392	17 43 26.918	 0.020	-29 18 25.52	 0.25	 221.0	     	     	 194.4	 1.10	 2.14	 1.43	13.3	 207.7	1985-07-07	H,V 	17 46 38.144	-29 19 30.90
266.37289023	-29.15459599	 40.1	OH359.799-0.090	17 42 18.542	 0.021	-29 08 06.18	 0.26	  14.2	 1.61	 4.03	 -22.1	 0.41	 2.15	 1.37	18.2	  -3.9	1984-03-04	W   	17 45 29.494	-29 09 16.55
266.37290610	-29.15447091	 40.2	OH359.799-0.090	17 42 18.546	 0.021	-29 08 05.73	 0.25	  14.2	 1.43	 3.44	 -23.3	 0.34	 1.69	 1.50	18.8	  -4.5	1985-06-25	W   	17 45 29.497	-29 09 16.09
266.12540348	-29.02046278	 41  	OH359.800+0.165	17 41 19.362	 0.019	-28 59 58.99	 0.36	-108.1	 0.15	 0.17	-136.5	 0.14	 0.22	 1.56	14.2	-122.3	1985-04-18	    	17 44 30.097	-29 01 13.67
266.30741879	-29.11531272	 42  	OH359.803-0.021	17 42 02.892	 0.035	-29 05 43.62	 0.50	   8.5	 0.10	 0.47	 -35.7	 0.22	 1.07	 1.51	22.1	 -13.6	1985-06-25	    	17 45 13.781	-29 06 55.13
266.53031370	-29.23319518	 43  	OH359.803-0.248	17 42 56.196	 0.035	-29 12 51.88	 0.46	  46.6	 0.05	 0.18	   9.6	 0.21	 0.42	 1.60	18.5	  28.1	1985-07-03	R   	17 46 07.275	-29 13 59.50
266.35982218	-29.13447290	 44.1	OH359.810-0.070	17 42 15.437	 0.026	-29 06 53.51	 0.35	 -16.5	 0.15	 0.61	 -59.6	 0.22	 0.78	 1.28	21.6	 -38.0	1984-03-04	W   	17 45 26.357	-29 08 04.10
266.35975100	-29.13442047	 44.2	OH359.810-0.070	17 42 15.420	 0.035	-29 06 53.32	 0.41	 -15.3	 0.18	 0.49	 -59.6	 0.26	 0.94	 1.53	22.2	 -37.4	1985-06-25	W   	17 45 26.340	-29 08 03.91
266.45214552	-29.17910107	 45  	OH359.814-0.162	17 42 37.522	 0.036	-29 09 35.78	 0.49	 -11.9	 0.11	 0.33	 -52.8	 0.21	 1.28	 1.52	20.5	 -32.3	1984-03-04	    	17 45 48.515	-29 10 44.76
266.15189744	-29.00545360	 46.1	OH359.825+0.153	17 41 25.742	 0.031	-28 59 05.42	 0.37	 -11.9	 0.23	 1.18	 -44.8	 0.39	 1.72	 2.04	16.5	 -28.3	1984-03-04	W   	17 44 36.455	-29 00 19.63
266.15189261	-29.00534807	 46.2	OH359.825+0.153	17 41 25.741	 0.015	-28 59 05.04	 0.24	 -11.9	 0.14	 0.35	 -44.8	 0.24	 0.76	 1.46	16.5	 -28.3	1985-04-19	W   	17 44 36.454	-29 00 19.25
266.15167374	-29.00566580	 46.3	OH359.825+0.153	17 41 25.688	 0.037	-28 59 06.18	 0.47	 -10.8	 0.18	 0.57	 -44.8	 0.38	 1.88	 2.95	17.0	 -27.8	1985-06-25	W   	17 44 36.402	-29 00 20.40
266.32427188	-29.09818076	 47.1	OH359.825-0.024	17 42 06.962	 0.023	-29 04 42.24	 0.30	 -32.4	 0.44	 2.16	 -75.2	 0.41	 0.93	 1.21	21.4	 -53.8	1984-03-04	W   	17 45 17.825	-29 05 53.45
266.32439649	-29.09811627	 47.2	OH359.825-0.024	17 42 06.992	 0.023	-29 04 42.01	 0.30	 -32.4	 0.37	 2.07	 -75.2	 0.41	 1.30	 1.68	21.4	 -53.8	1985-06-25	W   	17 45 17.855	-29 05 53.22
266.27877814	-29.05929232	 48.1	OH359.837+0.030	17 41 56.105	 0.022	-29 02 21.45	 0.27	 -68.7	 0.27	 0.75	 -83.2	 0.36	 0.96	 1.25	 7.3	 -75.9	1984-03-04	    	17 45 06.907	-29 03 33.45
266.27867262	-29.05908171	 48.2	OH359.837+0.030	17 41 56.080	 0.014	-29 02 20.69	 0.22	 -68.7	 0.16	 0.55	 -83.2	 0.22	 0.87	 2.52	 7.3	 -75.9	1985-04-19	    	17 45 06.881	-29 03 32.69
266.27888651	-29.05929457	 48.3	OH359.837+0.030	17 41 56.131	 0.024	-29 02 21.46	 0.30	 -67.5	 0.25	 0.68	 -83.2	 0.47	 1.24	 1.97	 7.9	 -75.3	1985-06-25	    	17 45 06.933	-29 03 33.46
266.83851399	-29.34030514	 49  	OH359.851-0.533	17 44 09.986	 0.032	-29 19 22.85	 0.42	  10.8	 0.14	 0.60	 -19.9	 0.23	 0.50	 1.59	15.4	  -4.5	1985-07-03	    	17 47 21.243	-29 20 25.10
266.39500176	-29.10059073	 50.1	OH359.855-0.078	17 42 23.930	 0.029	-29 04 52.15	 0.33	  25.5	 0.16	 0.70	 -17.6	 0.13	 0.68	 1.10	21.6	   4.0	1984-03-04	    	17 45 34.800	-29 06 02.13
266.39501068	-29.10068235	 50.2	OH359.855-0.078	17 42 23.932	 0.044	-29 04 52.48	 0.48	  25.5	 0.18	 0.77	 -18.7	 0.14	 0.63	 2.03	22.1	   3.4	1985-06-25	    	17 45 34.803	-29 06 02.46
