#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-06-22T19:05:10 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ60d2272c34a6fe	
#INFO	-out.max=unlimited	
#INFO	queryParameters=45	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-out.src=J/A+A/446/773/hasIR,J/A+A/446/773/table4
#-nav=cat:J/AJ/123/2772&cat:J/A+A/538/A136&cat:J/ApJS/89/189&cat:J/ApJS/109/489&cat:J/A+AS/92/43&cat:J/A+AS/127/185&cat:J/A+A/391/967&cat:J/A+A/446/773&tab:{J/A+A/446/773/hasIR}&tab:{J/A+A/446/773/table4}&cat:J/A+A/299/453&cat:J/AJ/127/501&cat:J/A+AS/128/35&cat:J/A+A/431/779&cat:J/A+A/368/1006&key:source=OH/IR+stars&HTTPPRM:&&-ref=VIZ60d2272c34a6fe&-out.max=unlimited&-out.form=HTML Table&-out.all=2&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-x.rs=10&-order=I&-out=GLMP&-out=IRAS&-out=2M&-out=RAJ2000&-out=DEJ2000&-out=oRA.2M&-out=oDE.2M&-out=oRA.MSX&-out=oDE.MSX&-out=MSX6CG&-out.all=2&-out=Opt&-out=GLMPdata&-ignore=GLMPdata=*&GLMPdata=GLMPdata&-out=2MASS&2MASS=2MASS&-out=Simbad&Simbad=Simbad&-out=n_Jmag&-out=f_Jmag&-out=l_Jmag&-out=Jmag&-out=e_Jmag&-out=n_Hmag&-out=f_Hmag&-out=l_Hmag&-out=Hmag&-out.all=2&-out=e_Hmag&-out=n_Kmag&-out=f_Kmag&-out=l_Kmag&-out=Kmag&-out=e_Kmag&-out=f_IRAS&-out.all=2&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+A/446/773/hasIR,J/A+A/446/773/table4
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-x.rs=10
#-source=J/A+A/446/773/hasIR J/A+A/446/773/table4
#-out=GLMP
#-out=IRAS
#-out=2M
#-out=RAJ2000
#-out=DEJ2000
#-out=oRA.2M
#-out=oDE.2M
#-out=oRA.MSX
#-out=oDE.MSX
#-out=MSX6CG
#-out=Opt
#-out=GLMPdata
#-out=2MASS
#-out=Simbad
#-out=n_Jmag
#-out=f_Jmag
#-out=l_Jmag
#-out=Jmag
#-out=e_Jmag
#-out=n_Hmag
#-out=f_Hmag
#-out=l_Hmag
#-out=Hmag
#-out=e_Hmag
#-out=n_Kmag
#-out=f_Kmag
#-out=l_Kmag
#-out=Kmag
#-out=e_Kmag
#-out=f_IRAS
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_34460773
#Name: J/A+A/446/773
#Title: GLMP sample of galactic OH/IR stars (Jimenez-Esteban+ 2006)
#Table	J_A_A_446_773_hasIR:
#Name: J/A+A/446/773/hasIR
#Title: Astrometry and near-IR photometry of GLMP  sources for which a near infrared counterpart was found
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	GLMP	(I3)	GLMP number (Cat. J/A+AS/126/479)	[ucd=meta.id;meta.main]
#Column	IRAS	(a10)	IRAS name	[ucd=meta.id]
#Column	2M	(A1)	[*] Tentative 2MASS identification	[ucd=meta.code]
#Column	RAJ2000	(A11)	2MASS right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	2MASS declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	oRA.2M	(I3)	Relative distance between 2MASS and IRAS (RA)	[ucd=pos.eq.ra;arith.diff]
#Column	oDE.2M	(I3)	Relative distance between 2MASS and IRAS (Dec)	[ucd=pos.eq.dec;arith.diff]
#Column	oRA.MSX	(I3)	? Relative distance between MSX and IRAS (RA) [NULL integer written as an empty string]	[ucd=pos.eq.ra;arith.diff]
#Column	oDE.MSX	(I3)	? Relative distance between MSX and IRAS (Dec) [NULL integer written as an empty string]	[ucd=pos.eq.dec;arith.diff]
#Column	MSX6CG	(a16)	MSX name (MSX6C GLLL.llll+BB.bbbb)	[ucd=meta.id]
#Column	Opt	(A2)	[**] Shows optical counterpart	[ucd=meta.note]
#Column	GLMPdata	(a8)	Data from the Garcia-Lario et al. catalog (J/A+AS/126/479)	[ucd=meta.ref.url]
#Column	2MASS	(a5)	2MASS closest sources (from Catalog II/246)	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=]
#Column	n_Jmag	(A1)	[* ] Accuracy of the J photometry is affected by blending according to 2MASS catalogue	[ucd=meta.note]
#Column	f_Jmag	(A2)	[* ] J photometry obtained from the 2MASS images	[ucd=meta.code]
#Column	l_Jmag	(A1)	Upper or lower limit indicator	[ucd=meta.code.error;phot.mag;em.IR.J]
#Column	Jmag	(F5.2)	J magnitude	[ucd=phot.mag;em.IR.J]
#Column	e_Jmag	(F5.2)	? J magnitude uncertainty	[ucd=stat.error;phot.mag;em.IR.J]
#Column	n_Hmag	(A1)	[* ] Accuracy of the H photometry is affected by blending according to 2MASS catalogue	[ucd=meta.note]
#Column	f_Hmag	(A2)	[* ] H photometry obtained from the 2MASS images	[ucd=meta.code]
#Column	l_Hmag	(A1)	Upper or lower limit indicator	[ucd=meta.code.error;phot.mag;em.IR.H]
#Column	Hmag	(F5.2)	H magnitude	[ucd=phot.mag;em.IR.H]
#Column	e_Hmag	(F5.2)	? H magnitude uncertainty	[ucd=stat.error;phot.mag;em.IR.H]
#Column	n_Kmag	(A1)	[* ] Accuracy of the K photometry is affected by blending according to 2MASS catalogue	[ucd=meta.note]
#Column	f_Kmag	(A2)	[* ] K photometry obtained from 2MASS images	[ucd=meta.code]
#Column	l_Kmag	(A1)	Upper or lower limit indicator	[ucd=meta.code.error;phot.mag;em.IR.K]
#Column	Kmag	(F5.2)	K magnitude	[ucd=phot.mag;em.IR.K]
#Column	e_Kmag	(F5.2)	? K magnitude uncertainty	[ucd=stat.error;phot.mag;em.IR.K]
_RAJ2000	_DEJ2000	GLMP	IRAS	2M	RAJ2000	DEJ2000	oRA.2M	oDE.2M	oRA.MSX	oDE.MSX	MSX6CG	Opt	GLMPdata	2MASS	Simbad	n_Jmag	f_Jmag	l_Jmag	Jmag	e_Jmag	n_Hmag	f_Hmag	l_Hmag	Hmag	e_Hmag	n_Kmag	f_Kmag	l_Kmag	Kmag	e_Kmag
267.5854167	-42.9551389	649	17467-4256	 	17 50 20.50	-42 57 18.5	 -3	 -1	   	   	                	  	GLMPdata	2MASS	Simbad	 	  	>	17.00	     	 	  	 	15.07	 0.08	 	  	 	11.35	 0.02
268.1649583	-25.5776389	656	17495-2534	*	17 52 39.59	-25 34 39.5	  0	  0	  0	 -2	003.6848+00.3883	  	GLMPdata	2MASS	Simbad	 	  	>	13.00	     	 	  	>	12.00	     	 	  	>	11.00	
268.4593333	-33.2239722	659	17504-3312	 	17 53 50.24	-33 13 26.3	-41	  2	-41	  0	357.2197-03.7085	  	GLMPdata	2MASS	Simbad	 	  	>	15.00	     	 	  	 	12.91	 0.02	 	  	 	11.26	 0.02
269.4550000	-33.2965556	672	17545-3317	 	17 57 49.20	-33 17 47.6	  1	 -1	  0	 -2	357.5737-04.4663	  	GLMPdata	2MASS	Simbad	 	  	>	15.00	     	 	  	>	14.00	     	 	  	 	12.92	 0.07
270.1505000	-15.3290556	685	17577-1519	 	18 00 36.12	-15 19 44.6	-13	 -2	-15	 -2	013.4930+03.9153	  	GLMPdata	2MASS	Simbad	 	  	 	14.41	 0.05	 	  	 	12.43	 0.03	 	  	 	10.38	 0.02
270.4136250	-33.7668056	691	17583-3346	 	18 01 39.27	-33 46 00.5	 -5	 -1	   	   	                	**	GLMPdata	2MASS	Simbad	 	  	>	15.00	     	 	  	 	13.55	 0.05	 	  	 	10.27	 0.02
270.9035833	-17.5667778	704	18006-1734	*	18 03 36.86	-17 34 00.4	 -4	 -1	 -4	 -1	011.8974+02.1862	  	GLMPdata	2MASS	Simbad	 	  	 	13.30	 0.04	 	  	 	11.79	 0.03	 	  	 	10.48	 0.03
271.1178333	-16.1311944	709	18015-1608	 	18 04 28.28	-16 07 52.3	 -8	  0	-10	  0	013.2508+02.7102	  	GLMPdata	2MASS	Simbad	 	  	>	14.00	     	 	  	 	12.38	 0.04	 	  	 	 9.39	 0.02
272.7061667	 -3.6372778	727	18081-0338	*	18 10 49.48	-03 38 14.2	 -6	  0	   	   	                	  	GLMPdata	2MASS	Simbad	 	  	 	12.41	 0.03	 	  	 	10.55	 0.03	 	  	 	 9.32	 0.02
272.9856250	 -8.9128056	731	18091-0855	*	18 11 56.55	-08 54 46.1	 -4	 -3	 -3	 -3	020.4676+04.5958	**	GLMPdata	2MASS	Simbad	 	  	 	14.37	 0.04	 	  	 	13.50	 0.04	 	  	 	12.48	 0.03
273.0672083	-24.6119167	730	18091-2437	*	18 12 16.13	-24 36 42.9	 -6	 -2	 -5	 -1	006.7152-02.9972	  	GLMPdata	2MASS	Simbad	 	  	>	15.00	     	 	  	>	15.00	     	 	**	 	14.36	 0.08
273.3750417	 -7.1633889	743	18107-0710	 	18 13 30.01	-07 09 48.2	 -3	 -1	 -4	 -2	022.1975+05.0855	  	GLMPdata	2MASS	Simbad	 	  	 	15.60	 0.08	 	  	 	11.07	 0.03	 	  	 	 7.87	 0.02
274.4940417	 -9.3087500	755	18152-0919	*	18 17 58.57	-09 18 31.5	-20	 -1	-21	 -1	020.8254+03.0967	  	GLMPdata	2MASS	Simbad	 	  	>	16.00	     	 	  	>	15.00	     	 	  	 	14.00	 0.08
275.2784583	-15.0555556	756	18182-1504	*	18 21 06.83	-15 03 20.0	-12	 -4	-13	 -2	016.1169-00.2903	  	GLMPdata	2MASS	Simbad	 	  	>	15.00	     	 	**	 	13.70	 0.07	 	**	 	12.38	 0.04
275.3281667	 -2.1169722	760	18187-0208	*	18 21 18.76	-02 07 01.1	 -4	 -2	 -3	 -4	027.5923+05.7240	  	GLMPdata	2MASS	Simbad	 	  	 	13.61	 0.03	 	  	 	12.00	 0.02	 	  	 	10.78	 0.02
275.8011667	-25.7996389	767	18201-2549	 	18 23 12.28	-25 47 58.7	 -1	  2	   	   	                	  	GLMPdata	2MASS	Simbad	 	  	 	15.39	 0.06	 	  	 	11.25	 0.03	 	  	 	 8.28	 0.02
276.0230833	-17.1866389	768	18211-1712	 	18 24 05.54	-17 11 11.9	 -6	 -1	 -7	 -1	014.5704-01.9215	  	GLMPdata	2MASS	Simbad	 	  	>	12.00	     	 	  	 	11.94	 0.11	 	  	 	 8.80	 0.09
277.1290417	-10.8468056	784	18257-1052	 	18 28 30.97	-10 50 48.5	  3	 -6	  4	 -2	021.4566+00.4911	  	GLMPdata	2MASS	Simbad	 	  	 	11.70	 0.03	 	  	 	 8.82	 0.04	 	  	 	 7.47	 0.03
277.2494167	 -7.5563889	786	18262-0735	 	18 28 59.86	-07 33 23.0	 -5	 -2	 -6	 -3	023.6510+01.5062	  	GLMPdata	2MASS	Simbad	 	  	>	16.00	     	 	  	 	12.34	 0.03	 	  	 	 8.70	 0.02
277.3697500	-12.6314167	787	18266-1239	 	18 29 28.74	-12 37 53.1	  8	  1	  9	  3	019.2086-00.9527	**	GLMPdata	2MASS	Simbad	 	  	 	14.05	 0.02	 	  	 	12.74	 0.03	 	  	 	11.07	 0.02
277.6288333	-10.9592778	791	18277-1059	 	18 30 30.92	-10 57 33.4	 28	  1	 29	  1	020.8085-00.4024	  	GLMPdata	2MASS	Simbad	 	  	>	16.00	     	 	  	>	14.00	     	 	  	 	 9.76	 0.03
278.2023333	-21.1604444	793	18298-2111	 	18 32 48.56	-21 09 37.6	 28	  1	   	   	                	  	GLMPdata	2MASS	Simbad	 	  	>	16.00	     	 	  	 	15.28	 0.09	 	  	 	10.59	 0.02
278.2114583	-17.0468056	794	18299-1705	 	18 32 50.75	-17 02 48.5	 -4	  0	 -4	 -1	015.6638-03.7108	**	GLMPdata	2MASS	Simbad	 	  	 	 8.23	 0.02	 	  	 	 6.56	 0.03	 	  	 	 5.31	 0.02
278.5574167	-28.5393333	799	18310-2834	 	18 34 13.78	-28 32 21.6	 -2	 -2	   	   	                	  	GLMPdata	2MASS	Simbad	 	  	>	16.00	     	 	  	>	15.00	     	 	  	 	11.77	 0.03
279.7105833	 -6.7471111	810	18361-0647	 	18 38 50.54	-06 44 49.6	-32	 14	-34	 14	025.4948-00.2879	  	GLMPdata	2MASS	Simbad	 	  	>	16.00	     	 	  	>	15.00	     	 	  	 	11.36	 0.03
281.4683333	 -1.7784722	826	18432-0149	*	18 45 52.40	-01 46 42.5	  6	  0	  6	  0	030.7147+00.4264	  	GLMPdata	2MASS	Simbad	 	  	>	16.00	     	 	  	>	15.00	     	 	  	 	13.60	 0.05
282.1748750	 -2.8403889	831	18460-0254	 	18 48 41.97	-02 50 25.4	-23	-10	-24	 -6	030.0908-00.6866	  	GLMPdata	2MASS	Simbad	 	  	>	17.00	     	 	  	>	15.00	     	 	  	 	14.26	 0.09
282.5954167	-14.4085278	835	18475-1428	 	18 50 22.90	-14 24 30.7	 -6	 -3	   	   	                	  	GLMPdata	2MASS	Simbad	 	  	 	11.52	 0.02	 	  	 	 8.55	 0.04	 	  	 	 6.52	 0.02
282.8584167	 -1.0655556	839	18488-0107	*	18 51 26.02	-01 03 56.0	 -3	  2	 -6	 -2	031.9844-00.4849	  	GLMPdata	2MASS	Simbad	 	  	>	16.00	     	 	  	>	13.00	     	 	  	 	13.05	 0.06
287.3192083	+13.6744167	878	19069+1335	 	19 09 16.61	+13 40 27.9	 -6	 -3	 -6	 -3	047.1168+02.3242	  	GLMPdata	2MASS	Simbad	 	  	>	17.00	     	 	  	>	16.00	     	 	  	 	14.18	 0.08
287.7916667	+10.1954722	884	19087+1006	*	19 11 10.00	+10 11 43.7	-30	-14	-28	 -8	044.2404+00.3090	  	GLMPdata	2MASS	Simbad	 	  	>	17.00	     	 	  	>	15.00	     	 	  	 	14.10	 0.08
288.7285000	 -2.4246667	892	19122-0230	 	19 14 54.84	-02 25 28.8	 -7	 -2	   	   	                	  	GLMPdata	2MASS	Simbad	 	  	 	12.94	 0.03	 	  	 	10.11	 0.03	 	  	 	 8.12	 0.03

#Table	J_A_A_446_773_table4:
#Name: J/A+A/446/773/table4
#Title: Astrometric information for the sources for which a near infrared counterpart was not found
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	GLMP	(I3)	GLMP number	[ucd=meta.id;meta.main]
#Column	IRAS	(a10)	IRAS name	[ucd=meta.id]
#Column	f_IRAS	(A1)	[*] IRAS coordinates	[ucd=meta.code]
#Column	RAJ2000	(A10)	MSX right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	MSX declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	oRA.MSX	(I3)	? Relative distance between MSX and IRAS (RA) [NULL integer written as an empty string]	[ucd=pos.eq.ra;arith.diff]
#Column	oDE.MSX	(I3)	? Relative distance between MSX and IRAS (Dec) [NULL integer written as an empty string]	[ucd=pos.eq.dec;arith.diff]
#Column	MSX6CG	(a16)	MSX name (MSX6C GLLL.llll+BB.bbbb)	[ucd=meta.id]
#Column	GLMPdata	(a8)	Data from the Garcia-Lario et al. catalog (J/A+AS/126/479)	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=]
_RAJ2000	_DEJ2000	GLMP	IRAS	f_IRAS	RAJ2000	DEJ2000	oRA.MSX	oDE.MSX	MSX6CG	GLMPdata	Simbad
deg	deg	 	 	 	"h:m:s"	"d:m:s"	arcsec	arcsec	 	 	
----------	----------	---	----------	-	----------	---------	---	---	----------------	--------	------
136.013750	-50.525556	239	09024-5019	 	09 04 03.3	-50 31 32	  0	  4	270.7424-02.4384	GLMPdata	Simbad
230.927917	-56.602222	410	15198-5625	 	15 23 42.7	-56 36 08	  1	  1	322.7729+00.2860	GLMPdata	Simbad
234.149583	-54.174722	418	15327-5400	 	15 36 35.9	-54 10 29	 -5	  1	325.6578+01.2432	GLMPdata	Simbad
246.913750	-53.651111	465	16236-5332	 	16 27 39.3	-53 39 04	-13	  2	331.6587-03.3024	GLMPdata	Simbad
257.238750	-37.947222	519	17055-3753	 	17 08 57.3	-37 56 50	  6	  0	348.2670+01.3225	GLMPdata	Simbad
259.053750	-35.536667	536	17128-3528	 	17 16 12.9	-35 32 12	 -1	  0	351.0725+01.5639	GLMPdata	Simbad
261.030833	-36.594167	555	17207-3632	 	17 24 07.4	-36 35 39	  5	 -3	351.1189-00.3517	GLMPdata	Simbad
262.077083	-28.399167	566	17251-2821	 	17 28 18.5	-28 23 57	  3	 -4	358.4140+03.4923	GLMPdata	Simbad
263.097500	-27.499444	577	17292-2727	 	17 32 23.4	-27 29 58	  4	 -3	359.6629+03.2315	GLMPdata	Simbad
263.858333	-24.442222	585	17323-2424	 	17 35 26.0	-24 26 32	 -6	  2	002.6111+04.3084	GLMPdata	Simbad
264.812500	-23.998611	602	17361-2358	 	17 39 15.0	-23 59 55	  3	 -3	003.4525+03.8089	GLMPdata	Simbad
264.968333	-27.392222	603	17367-2722	 	17 39 52.4	-27 23 32	 -4	 -4	000.6467+01.8893	GLMPdata	Simbad
265.053750	-35.278056	605	17368-3515	 	17 40 12.9	-35 16 41	  2	 -3	354.0019-02.3600	GLMPdata	Simbad
266.100000	-31.927778	624	17411-3154	 	17 44 24.0	-31 55 40	-17	  1	357.3108-01.3371	GLMPdata	Simbad
266.245000	-27.245278	629	17418-2713	 	17 44 58.8	-27 14 43	 -1	 -2	001.3690+01.0025	GLMPdata	Simbad
268.840833	-29.653611	664	17521-2938	 	17 55 21.8	-29 39 13	  0	  1	000.4720-02.1918	GLMPdata	Simbad
269.451667	-30.940278	673	17545-3056	 	17 57 48.4	-30 56 25	  0	 -2	359.6212-03.2926	GLMPdata	Simbad
270.424167	-31.798889	692	17584-3147	 	18 01 41.8	-31 47 56	 -4	 -2	359.2842-04.4385	GLMPdata	Simbad
270.804167	-28.595278	699	18000-2835	 	18 03 13.0	-28 35 43	-29	  2	002.2442-03.1547	GLMPdata	Simbad
270.912500	-18.686111	705	18007-1841	 	18 03 39.0	-18 41 10	 21	  4	010.9257+01.6294	GLMPdata	Simbad
271.300417	-31.362500	712	18019-3121	 	18 05 12.1	-31 21 45	 -1	  2	000.0313-04.8783	GLMPdata	Simbad
271.787500	-27.431111	717	18040-2726	 	18 07 09.0	-27 25 52	 -5	 -4	003.6860-03.3459	GLMPdata	Simbad
271.826250	-29.886111	718	18040-2953	 	18 07 18.3	-29 53 10	 -9	 -3	001.5478-04.5617	GLMPdata	Simbad
273.085417	-23.782500	732	18092-2347	 	18 12 20.5	-23 46 57	-17	 -3	007.4526-02.6149	GLMPdata	Simbad
273.091250	-25.122500	733	18092-2508	 	18 12 21.9	-25 07 21	 -4	 -1	006.2765-03.2604	GLMPdata	Simbad
273.263333	-19.238611	740	18100-1915	 	18 13 03.2	-19 14 19	 -6	 -1	011.5218-00.5826	GLMPdata	Simbad
275.667500	-28.052222	763	18195-2804	*	18 22 40.2	-28 03 08	   	   	                	GLMPdata	Simbad
275.679583	-12.795000	765	18198-1249	 	18 22 43.1	-12 47 42	-12	 -2	018.2955+00.4291	GLMPdata	Simbad
277.129167	 -9.970833	783	18257-1000	 	18 28 31.0	-09 58 15	-35	 -3	020.6796+00.0841	GLMPdata	Simbad
277.398333	-11.265000	788	18268-1117	 	18 29 35.6	-11 15 54	  3	  0	020.4328-00.3439	GLMPdata	Simbad
279.687917	 -0.556111	811	18361-0036	 	18 38 45.1	-00 33 22	  2	  1	030.9892+02.5686	GLMPdata	Simbad
282.753750	-25.185000	837	18479-2514	*	18 51 00.9	-25 11 06	   	   	                	GLMPdata	Simbad
283.572500	 +6.042778	843	18518+0558	 	18 54 17.4	+06 02 34	 -1	 -2	038.6366+02.1198	GLMPdata	Simbad
288.405833	+12.427222	888	19112+1220	 	19 13 37.4	+12 25 38	-16	 -8	046.4992+00.8092	GLMPdata	Simbad
291.921250	+17.510000	916	19254+1724	 	19 27 41.1	+17 30 36	  1	 -1	052.5814+00.2014	GLMPdata	Simbad

