#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-06-22T21:32:17 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ60d2272c34a6fe	
#INFO	-out.max=unlimited	
#INFO	queryParameters=39	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-out.src=J/A+AS/128/35/stars
#-nav=cat:J/AJ/123/2772&cat:J/A+A/538/A136&cat:J/ApJS/89/189&cat:J/ApJS/109/489&cat:J/A+AS/92/43&cat:J/A+AS/127/185&cat:J/A+A/391/967&cat:J/A+A/446/773&cat:J/A+A/299/453&cat:J/AJ/127/501&cat:J/A+AS/128/35&tab:{J/A+AS/128/35/stars}&cat:J/A+A/431/779&cat:J/A+A/368/1006&key:source=OH/IR+stars&HTTPPRM:&&-ref=VIZ60d2272c34a6fe&-out.max=unlimited&-out.form=HTML Table&-out.all=2&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=s2&-out=Name&-out=RAJ2000&-out=DEJ2000&-out=ePos&-out=Vblue&-out=Vred&-out=Vstar&-out=oLon&-out=oLat&-out.all=2&-out=Ref&-out=s3&-out=PBF&-out=Sblue&-out=Iblue&-out=e_Sblue&-out=Sred&-out=Ired&-out=e_Sred&-out=Vexp&-out=log(LOH)&-out=majAxis&-out=minAxis&-out=PA&-out=Note&-out.all=2&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+AS/128/35/stars
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+AS/128/35/stars
#-out=s2
#-out=Name
#-out=RAJ2000
#-out=DEJ2000
#-out=ePos
#-out=Vblue
#-out=Vred
#-out=Vstar
#-out=oLon
#-out=oLat
#-out=Ref
#-out=s3
#-out=PBF
#-out=Sblue
#-out=Iblue
#-out=e_Sblue
#-out=Sred
#-out=Ired
#-out=e_Sred
#-out=Vexp
#-out=log(LOH)
#-out=majAxis
#-out=minAxis
#-out=PA
#-out=Note
#

#RESOURCE=yCat_41280035
#Name: J/A+AS/128/35
#Title: New Sample of OH/IR stars (Sjouwerman+ 1998)
#Table	J_A_AS_128_35_stars:
#Name: J/A+AS/128/35/stars
#Title: OH/IR stars in the Galactic center: positional,  kinematic and physical data
#Column	_RAJ2000	(F12.8)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F12.8)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	s2	(A1)	[abc] Image cube/data set code (2)	[ucd=meta.id;instr]
#Column	Name	(A13)	OH name according to its Galactic coordinates	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A12)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	ePos	(F6.3)	Maximum error in RA or Dec	[ucd=stat.error;pos.eq.ra;stat.max]
#Column	Vblue	(F6.1)	Velocity blue-shifted peak	[ucd=phys.veloc;stat.max]
#Column	Vred	(F6.1)	Velocity red-shifted peak	[ucd=phys.veloc;stat.max]
#Column	Vstar	(F6.1)	Stellar velocity (mean of OH peaks)	[ucd=phys.veloc]
#Column	oLon	(F7.3)	Galactic longitude offset from Sgr A*	[ucd=pos;arith.diff]
#Column	oLat	(F7.3)	Galactic latitude offset from Sgr A*	[ucd=pos;arith.diff]
#Column	Ref	(a10)	References, see Note (1)	[ucd=meta.ref;pos.frame]
#Column	s3	(A1)	Image cube/data set code (see Table 1)	[ucd=meta.id;instr]
#Column	PBF	(F5.2)	Primary beam attenuation factor	[ucd=instr.param]
#Column	Sblue	(F6.1)	Peak flux density blue-shifted peak	[ucd=phot.flux.density;em.IR]
#Column	Iblue	(F5.2)	Integrated line flux blue-shifted peak	[ucd=phot.flux.density;stat.max]
#Column	e_Sblue	(F4.1)	Relative error blue-shifted measurements	[ucd=stat.error]
#Column	Sred	(F6.1)	Peak flux density red-shifted peak	[ucd=phot.flux.density;em.radio.1500-3000MHz]
#Column	Ired	(F5.2)	Integrated line flux red-shifted peak	[ucd=phot.flux.density;stat.max]
#Column	e_Sred	(F4.1)	Relative error red-shifted measurements	[ucd=stat.error]
#Column	Vexp	(F5.2)	Expansion velocity of OH shell	[ucd=phys.veloc.expansion]
#Column	log(LOH)	(F4.1)	OH luminosity (distance assumed Ro=8kpc)	[ucd=phys.luminosity]
#Column	majAxis	(F4.1)	Deconvolution major axis	[ucd=phys.angSize]
#Column	minAxis	(F4.1)	Deconvolution minor axis	[ucd=phys.angSize.sminAxis]
#Column	PA	(I3)	Deconvolution position angle	[ucd=pos.posAng]
#Column	Note	(A4)	Notes, see Note (1)	[ucd=meta.note]
_RAJ2000	_DEJ2000	s2	Name	RAJ2000	DEJ2000	ePos	Vblue	Vred	Vstar	oLon	oLat	Ref	s3	PBF	Sblue	Iblue	e_Sblue	Sred	Ired	e_Sred	Vexp	log(LOH)	majAxis	minAxis	PA	Note
266.19924583	-29.11242500	a	359.755+0.061	17 44 47.819	-29 06 44.73	 0.645	  19.6	  57.0	  38.3	-11.290	  6.471	1 (31)    	a	 1.71	 130.8	 0.66	 1.4	  78.6	 0.61	 4.9	18.73	43.7	 8.5	 1.1	179	
266.19980417	-29.11334167	c	359.755+0.061	17 44 47.953	-29 06 48.03	 0.354	  19.7	  57.5	  38.6	-11.249	  6.472	1 (31)    	c	 1.68	 123.1	 0.33	 1.6	  86.0	 0.38	 4.2	18.89	43.4	 0.0	 0.0	  0	
266.39320000	-29.21470833	c	359.757-0.136	17 45 34.368	-29 12 52.95	 1.015	 -31.1	   9.5	 -10.8	-11.143	 -5.343	          	c	 1.61	  39.1	 0.10	 8.0	  52.4	 0.11	22.0	20.34	42.9	 0.0	 0.0	  0	
266.19066250	-29.10273056	a	359.759+0.072	17 44 45.759	-29 06 09.83	 0.515	 -74.6	 -33.8	 -54.2	-11.029	  7.159	1 (32)    	a	 1.69	  96.9	 0.92	 0.9	 123.1	 0.76	 3.2	20.43	43.8	 3.4	 2.0	 12	
266.19152917	-29.10370000	c	359.760+0.072	17 44 45.967	-29 06 13.32	 0.475	 -74.7	 -34.0	 -54.4	-10.982	  7.144	1 (32)    	c	 1.70	 149.2	 0.67	 1.3	 137.2	 0.59	 4.6	20.34	43.7	 0.0	 0.0	  0	
266.14498750	-29.07546389	a	359.761+0.120	17 44 34.797	-29 04 31.67	 0.138	 -20.2	   9.4	  -5.4	-10.887	 10.055	1 (33)    	a	 1.82	1372.4	 3.66	 1.9	3250.3	 9.58	 2.3	14.76	44.7	 0.0	 0.0	  0	
266.14562083	-29.07649722	c	359.762+0.120	17 44 34.949	-29 04 35.39	 0.042	 -19.5	   9.5	  -5.0	-10.846	 10.051	1 (33)    	c	 1.96	2305.5	 7.50	 0.5	7013.8	20.98	 0.6	14.53	45.0	 0.0	 0.0	  0	
266.30382083	-29.15876389	a	359.763-0.041	17 45 12.917	-29 09 31.55	 0.345	 107.0	 134.2	 120.6	-10.798	  0.346	1 (34)    	a	 1.74	 117.5	 0.26	 3.0	 170.1	 0.40	 5.8	13.62	43.4	 0.0	 0.0	  0	
266.30430000	-29.15998611	c	359.763-0.042	17 45 13.032	-29 09 35.95	 0.327	 106.9	 134.5	 120.7	-10.782	  0.338	1 (34)    	c	 1.43	 125.6	 0.45	 1.3	 150.5	 0.49	 3.7	13.80	43.6	 0.0	 0.0	  0	
266.18451250	-29.09267500	a	359.765+0.082	17 44 44.283	-29 05 33.63	 0.738	  91.1	 129.7	 110.4	-10.684	  7.748	1 (35)    	a	 1.66	  71.8	 0.46	 1.6	 100.0	 0.93	 2.6	19.30	43.7	 0.0	 0.0	  0	
266.18494167	-29.09411389	c	359.765+0.082	17 44 44.386	-29 05 38.81	 0.765	  95.3	 128.7	 112.0	-10.670	  7.740	1 (35)    	c	 1.71	  28.1	 0.21	 3.8	  92.6	 0.58	 4.1	16.71	43.5	 0.0	 0.0	  0	
266.46914167	-29.24237500	c	359.767-0.208	17 45 52.594	-29 14 32.55	 0.639	-174.9	-135.7	-155.3	-10.530	 -9.619	1 (36)    	c	 1.88	  74.0	 0.33	 2.5	 104.4	 0.27	 9.2	19.61	43.4	 0.0	 0.0	  0	
266.38817500	-29.18834167	a	359.776-0.120	17 45 33.162	-29 11 18.03	 0.282	  59.3	  85.4	  72.3	-10.004	 -4.349	1 (37)    	a	 2.06	 453.2	 1.07	 1.6	 193.3	 0.51	10.1	13.05	43.8	 1.9	 1.2	 67	
266.38867917	-29.18984167	c	359.776-0.120	17 45 33.283	-29 11 23.43	 0.117	  58.9	  85.1	  72.0	-10.017	 -4.371	1 (37)    	c	 1.44	 615.3	 1.19	 0.7	 231.1	 0.48	 5.7	13.07	43.8	 0.0	 0.0	  0	
266.26277083	-29.11955000	b	359.778+0.010	17 45 03.065	-29 07 10.38	 0.235	 -48.5	  -6.5	 -27.5	 -9.901	  3.416	1 (38)    	a	 1.51	 116.0	 0.44	 1.4	 128.4	 0.59	 3.0	21.00	43.6	 0.0	 0.0	  0	
266.26339167	-29.12017500	c	359.779+0.010	17 45 03.214	-29 07 12.63	 0.163	 -48.6	  -6.4	 -27.5	 -9.860	  3.414	1 (38)    	c	 1.39	 195.1	 0.46	 0.9	 181.2	 0.61	 1.9	21.06	43.6	 0.0	 0.0	  0	
266.35957083	-29.15684167	c	359.791-0.081	17 45 26.297	-29 09 24.63	 0.487	-116.8	-116.8	-116.8	 -9.097	 -2.029	6         	c	 1.30	  84.5	 0.23	 2.0	  84.5	 0.23	 2.0	 0.00	43.0	 0.0	 0.0	  0	
266.30888333	-29.12172222	b	359.797-0.025	17 45 14.132	-29 07 18.20	 0.300	 -90.5	 -51.9	 -71.2	 -8.750	  1.286	*         	a	 1.44	  55.1	 0.16	 5.5	  70.0	 0.24	12.1	19.30	43.2	 0.0	 0.0	  0	
266.37227917	-29.15332500	a	359.799-0.090	17 45 29.347	-29 09 11.97	 0.157	 -22.4	  15.0	  -3.7	 -8.646	 -2.543	1 (40)    	a	 1.67	 302.6	 1.81	 1.2	1013.0	 2.71	 2.5	18.73	44.2	 0.0	 0.0	  0	
266.37282083	-29.15460000	c	359.799-0.090	17 45 29.477	-29 09 16.56	 0.110	 -22.4	  13.9	  -4.3	 -8.643	 -2.560	1 (40)    	c	 1.27	 416.2	 2.65	 0.5	1041.7	 3.87	 1.1	18.16	44.4	 0.0	 0.0	  0	
266.12534167	-29.02058056	c	359.801+0.165	17 44 30.082	-29 01 14.09	 0.208	-135.7	-106.7	-121.2	 -8.541	 12.712	1 (41)    	c	 2.06	 169.4	 0.33	 1.6	 223.8	 0.70	 2.4	14.53	43.6	 0.0	 0.0	  0	
266.30737083	-29.11470278	b	359.802-0.021	17 45 13.769	-29 06 52.93	 0.178	 -36.0	   9.4	 -13.3	 -8.432	  1.574	1 (42)    	a	 1.39	 109.5	 0.51	 1.0	  61.5	 0.22	 6.8	22.70	43.5	 0.0	 0.0	  0	
266.30796250	-29.11550000	c	359.803-0.021	17 45 13.911	-29 06 55.80	 0.407	 -35.5	   9.5	 -13.0	 -8.407	  1.566	1 (42)    	c	 1.24	  76.3	 0.38	 1.1	  47.4	 0.08	15.0	22.52	43.3	 0.0	 0.0	  0	
266.53044167	-29.23277778	c	359.803-0.248	17 46 07.306	-29 13 58.00	 0.279	   9.5	  45.9	  27.7	 -8.373	-12.064	1 (43)    	c	 1.95	 132.2	 2.59	 0.8	   9.2	 0.00	99.0	18.16	44.0	 0.0	 0.0	  0	LWHM
266.09213333	-28.99683889	a	359.804+0.201	17 44 22.112	-28 59 48.62	 0.555	 -72.4	 -34.9	 -53.6	 -8.318	 14.886	1a (5)    	a	 1.97	 119.1	 0.60	 1.2	  97.6	 0.63	 3.4	18.73	43.7	10.8	 3.2	  2	
266.09300000	-28.99853056	c	359.805+0.200	17 44 22.320	-28 59 54.71	 0.633	 -71.8	 -34.0	 -52.9	 -8.300	 14.852	1a (5)    	c	 2.44	  77.3	 0.12	 7.2	 108.4	 0.28	 9.3	18.89	43.2	 0.0	 0.0	  0	
266.35924583	-29.13370833	b	359.810-0.069	17 45 26.219	-29 08 01.35	 0.069	 -58.7	 -15.6	 -37.2	 -7.986	 -1.340	1 (44)    	a	 1.50	 250.2	 0.98	 0.8	 134.1	 0.70	 3.6	21.56	43.8	 0.0	 0.0	  0	
266.35979167	-29.13448889	c	359.810-0.070	17 45 26.350	-29 08 04.16	 0.147	 -58.7	 -15.2	 -36.9	 -7.968	 -1.347	1 (44)    	c	 1.21	 394.2	 1.09	 0.7	 243.1	 0.78	 2.9	21.79	43.9	 0.0	 0.0	  0	
266.45178333	-29.17792222	a	359.814-0.162	17 45 48.428	-29 10 40.52	 0.651	 -51.9	 -12.2	 -32.1	 -7.731	 -6.866	1 (45)    	a	 2.12	 151.8	 0.82	 1.1	  69.3	 0.84	 3.3	19.86	43.8	 9.0	 3.9	  1	
266.45203750	-29.17939167	c	359.814-0.162	17 45 48.489	-29 10 45.81	 0.168	 -51.5	 -10.8	 -31.1	 -7.766	 -6.884	1 (45)    	c	 1.39	 181.9	 0.64	 0.6	  82.2	 0.39	 2.8	20.34	43.6	 0.0	 0.0	  0	
266.32377083	-29.09760278	b	359.825-0.024	17 45 17.705	-29 05 51.37	 0.082	 -74.6	 -32.6	 -53.6	 -7.108	  1.376	1 (47)    	a	 1.28	 536.2	 2.07	 0.6	 525.6	 2.42	 1.6	21.00	44.2	 0.0	 0.0	  0	
266.32425833	-29.09820278	c	359.825-0.024	17 45 17.822	-29 05 53.53	 0.072	 -74.7	 -32.6	 -53.6	 -7.078	  1.378	1 (47)    	c	 1.16	 349.6	 1.58	 0.2	 442.2	 2.00	 0.6	21.06	44.1	 0.0	 0.0	  0	
266.15142083	-29.00455833	a	359.825+0.153	17 44 36.341	-29 00 16.41	 0.262	 -45.1	 -11.1	 -28.1	 -7.084	 11.992	1 (46)    	a	 1.51	 220.9	 1.07	 0.6	 136.8	 0.70	 2.8	17.02	43.8	 5.7	 2.1	  0	
266.15194167	-29.00531389	c	359.826+0.153	17 44 36.466	-29 00 19.13	 0.178	 -44.2	 -10.8	 -27.5	 -7.032	 12.001	1 (46)    	c	 1.81	 264.2	 0.96	 0.6	 120.6	 0.49	 3.4	16.71	43.7	 1.7	 1.2	 35	
266.37137083	-29.11714444	b	359.829-0.070	17 45 29.129	-29 07 01.72	 0.195	-100.9	 -64.4	 -82.7	 -6.806	 -1.365	          	a	 1.39	   0.0	 0.00	99.0	  80.4	 0.47	 4.5	18.24	43.3	 4.0	 2.9	 45	ATCA
266.37189583	-29.11810278	c	359.830-0.070	17 45 29.255	-29 07 05.17	 0.451	-100.9	 -64.5	 -82.7	 -6.799	 -1.377	          	c	 1.15	  57.2	 0.30	 1.1	  42.9	 0.17	 5.9	18.16	43.3	 0.0	 0.0	  0	
266.19124167	-29.01417500	c	359.836+0.119	17 44 45.898	-29 00 51.03	 0.218	-374.0	-336.2	-355.1	 -6.409	  9.964	3         	c	 1.53	 153.2	 0.46	 1.0	 166.4	 0.37	 4.0	18.89	43.5	 0.0	 0.0	  0	
266.27834583	-29.05881944	b	359.837+0.030	17 45 06.803	-29 03 31.75	 0.117	 -82.6	 -67.8	 -75.2	 -6.366	  4.621	1 (48)    	a	 1.17	 503.8	 1.49	 0.6	 234.2	 0.73	 3.4	 7.38	43.9	 0.0	 0.0	  0	
266.27878750	-29.05929444	c	359.838+0.030	17 45 06.909	-29 03 33.46	 0.099	 -83.4	 -67.4	 -75.4	 -6.325	  4.632	1 (48)    	c	 1.19	 520.2	 1.80	 0.3	 228.4	 0.70	 2.8	 7.99	44.0	 0.0	 0.0	  0	
266.25658333	-29.04672500	b	359.837+0.052	17 45 01.580	-29 02 48.21	 0.177	 -81.4	 -56.5	 -69.0	 -6.344	  5.973	1a (6), 6 	a	 1.18	  68.6	 0.17	 6.7	 276.1	 0.51	 6.8	12.49	43.4	 0.0	 0.0	  0	
266.25697500	-29.04713056	c	359.838+0.053	17 45 01.674	-29 02 49.67	 0.273	 -80.5	 -55.8	 -68.2	 -6.297	  5.990	1a (6), 6 	c	 1.25	  24.9	 0.09	 4.6	 130.8	 0.38	 3.3	12.35	43.3	 0.0	 0.0	  0	
