#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-08-16T15:49:53 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ611a88eed8b82	
#INFO	-out.max=unlimited	
#INFO	queryParameters=75	
#-oc.form=sexa
#-out.max=unlimited
#-out.all=2
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/MNRAS/505/6051&tab:{J/MNRAS/505/6051/table1}&tab:{J/MNRAS/505/6051/table3}&tab:{J/MNRAS/505/6051/table5}&tab:{J/MNRAS/505/6051/table6}&key:source=J/MNRAS/505/6051&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/505/6051/table1,J/MNRAS/505/6051/table3,J/MNRAS/505/6051/table5,J/MNRAS/505/6051/table6
#-order=I
#-out=IRAS
#-out=OName
#-out=RAICRS
#-out=DEICRS
#-out=CRef
#-out=Group
#-out=Simbad
#Simbad=Simbad
#-out=JD
#-out=Filter
#-out=mag
#-out.all=2
#-out=e_mag
#-out=Origin
#-out=o_Jmag
#-out=AmpJ
#-out=JmagMean
#-out=o_Hmag
#-out=AmpH
#-out=HmagMean
#-out=o_Kmag
#-out=AmpK
#-out=KmagMean
#-out=o_Omag
#-out=AmpO
#-out.all=2
#-out=OmagMean
#-out=Survey
#-out=Bands
#-out=P
#-out=e_P
#-out=FitLCO
#-out=FitPerO
#-out=e_FitPerO
#-out=FitAmpO
#-out=FitOmagMean
#-out=FitAsyFactO
#-out=Fitt0O
#-out=FitLCJ
#-out.all=2
#-out=FitPerJ
#-out=e_FitPerJ
#-out=FitAmpJ
#-out=FitJmagMean
#-out=FitAsymFactJ
#-out=Fitt0J
#-out=FitLCH
#-out=FitPerH
#-out=e_FitPerH
#-out=FitAmpH
#-out=FitHmagMean
#-out=FitAsymFactH
#-out=Fitt0H
#-out.all=2
#-out=FitLCK
#-out=FitPerK
#-out=e_FitPerK
#-out=FitAmpK
#-out=FitKmagMean
#-out=FitAsymFactK
#-out=Fitt0K
#-out.all=2
#
#INFO	CatalogsExamined=4	
#  4 catalogues with potential matches were examined.
#

#RESOURCE=yCat_75056051
#Name: J/MNRAS/505/6051
#Title: Arecibo sample variability properties (Jimenez-Esteban+, 2021)
#Coosys	H:	ICRS
#Table	J_MNRAS_505_6051_table1:
#Name: J/MNRAS/505/6051/table1
#Title: Arecibo sources positions and classifications
#Column	_RAJ2000	(A14)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(A14)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	IRAS	(A10)	IRAS name (HHMMm+DDMM)	[ucd=meta.id;meta.main]
#Column	OName	(a18)	Other name	[ucd=meta.id]
#Column	RAICRS	(F10.6)	ICRS (Hipparcos) Right Ascension (J2000.0)	[ucd=pos.eq.ra;meta.main]
#Column	DEICRS	(F10.6)	ICRS (Hipparcos) Declination (J2000.0 )	[ucd=pos.eq.dec;meta.main]
#Column	CRef	(A7)	Coordinates Source (AllWISE or 2MASS)	[ucd=meta.bib]
#Column	Group	(I1)	[1/4] Flag for groups (1)	[ucd=meta.code.error]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
_RAJ2000	_DEJ2000	IRAS	OName	RAICRS	DEICRS	CRef	Group	Simbad
18 29 34.43800	+03 28 12.4930	18270+0326	                  	277.393492	 +3.470137	AllWISE	1	Simbad
18 30 03.55700	+08 41 25.4600	18276+0839	V603 Oph          	277.514821	 +8.690406	AllWISE	1	Simbad
18 30 12.10600	+09 33 42.5100	18278+0931	                  	277.550442	 +9.561808	AllWISE	1	Simbad
18 33 15.28400	+01 04 39.0300	18307+0102	                  	278.313683	 +1.077508	AllWISE	1	Simbad
18 34 20.54000	+01 53 13.8200	18318+0150	                  	278.585583	 +1.887172	AllWISE	1	Simbad
18 35 42.41100	+09 05 38.5000	18333+0903	                  	278.926712	 +9.094028	AllWISE	1	Simbad
18 36 40.67700	+00 08 01.4500	18341+0005	                  	279.169487	 +0.133736	AllWISE	1	Simbad
18 37 08.59900	+11 16 15.7500	18347+1113	V640 Oph          	279.285829	+11.271042	AllWISE	1	Simbad
18 37 19.26100	+10 25 42.3000	18349+1023	IRC +10365        	279.330254	+10.428417	AllWISE	1	Simbad
18 37 55.78500	+00 23 31.5600	18353+0020	                  	279.482437	 +0.392100	AllWISE	1	Simbad
18 38 06.63400	+02 29 59.1700	18355+0227	                  	279.527642	 +2.499769	AllWISE	1	Simbad
18 38 42.40500	+05 41 29.8100	18362+0538	                  	279.676687	 +5.691614	AllWISE	1	Simbad
18 39 59.65800	+05 13 14.1800	18375+0510	                  	279.998575	 +5.220606	AllWISE	1	Simbad
18 40 44.13300	+00 23 41.2700	18381+0020	                  	280.183887	 +0.394797	AllWISE	1	Simbad
18 42 03.08700	+01 33 15.0800	18395+0130	                  	280.512862	 +1.554189	AllWISE	1	Simbad
18 42 09.16700	+08 01 18.0500	18397+0758	                  	280.538196	 +8.021681	AllWISE	1	Simbad
18 42 15.81700	+07 31 31.3800	18398+0728	                  	280.565904	 +7.525383	AllWISE	1	Simbad
18 42 09.98100	+10 38 54.6600	18398+1035	V665 Oph          	280.541587	+10.648517	AllWISE	1	Simbad
18 42 36.66900	+01 26 04.4200	18400+0123	                  	280.652787	 +1.434561	AllWISE	1	Simbad
18 43 15.46100	+03 53 08.8100	18407+0350	                  	280.814421	 +3.885781	AllWISE	1	Simbad
18 43 09.83300	+06 04 48.8700	18407+0601	                  	280.790971	 +6.080242	AllWISE	1	Simbad
18 43 19.04300	+07 33 13.5400	18408+0730	                  	280.829346	 +7.553761	AllWISE	1	Simbad
18 43 28.21800	+04 34 16.6400	18409+0431	                  	280.867575	 +4.571289	AllWISE	1	Simbad
18 44 04.92800	+04 07 19.6200	18415+0404	                  	281.020533	 +4.122117	AllWISE	1	Simbad
18 44 24.66300	+11 40 12.6100	18420+1137	                  	281.102762	+11.670169	AllWISE	1	Simbad
18 45 38.25500	+00 42 44.5600	18430+0039	                  	281.409396	 +0.712378	AllWISE	1	Simbad
18 45 54.85700	+00 42 20.7300	18433+0039	                  	281.478571	 +0.705758	AllWISE	1	Simbad
18 46 00.35200	+07 48 26.5400	18435+0745	                  	281.501467	 +7.807372	AllWISE	1	Simbad
18 46 37.58800	+03 14 55.9500	18441+0311	                  	281.656617	 +3.248875	AllWISE	1	Simbad
18 46 13.34700	+22 20 10.9200	18441+2216	                  	281.555612	+22.336367	AllWISE	1	Simbad
18 46 49.41800	+07 38 13.6500	18444+0734	                  	281.705908	 +7.637125	AllWISE	1	Simbad
18 48 02.30500	+04 51 30.5700	18455+0448	                  	282.009604	 +4.858492	AllWISE	2	Simbad
18 50 00.51300	+03 56 33.2400	18475+0353	                  	282.502137	 +3.942567	AllWISE	3	Simbad
18 50 04.75600	+05 59 28.9400	18476+0555	                  	282.519817	 +5.991372	AllWISE	1	Simbad
18 50 13.38500	+02 47 12.3400	18477+0243	                  	282.555771	 +2.786761	AllWISE	1	Simbad
18 50 37.67100	+04 09 08.7700	18481+0405	                  	282.656962	 +4.152436	AllWISE	1	Simbad
18 51 15.93300	+01 56 19.3900	18487+0152	                  	282.816387	 +1.938719	AllWISE	1	Simbad
18 51 13.90200	+06 21 35.2900	18487+0617	                  	282.807925	 +6.359803	AllWISE	1	Simbad
18 51 35.64700	+03 05 55.6900	18490+0302	                  	282.898529	 +3.098803	AllWISE	1	Simbad
18 51 25.18300	+12 02 08.5600	18490+1158	                  	282.854929	+12.035711	AllWISE	1	Simbad
18 52 15.38500	+02 03 48.9100	18497+0200	                  	283.064104	 +2.063586	AllWISE	1	Simbad
18 52 22.26600	-00 14 12.1700	18498-0017	OH 32.8-0.3       	283.092775	 -0.236714	AllWISE	1	Simbad
18 52 18.48453	+12 28 35.7320	18499+1224	                  	283.077019	+12.476592	AllWISE	1	Simbad
18 52 40.02200	+00 16 46.9900	18501+0013	                  	283.166758	 +0.279719	AllWISE	3	Simbad
18 52 32.75800	+10 23 31.6500	18501+1019	                  	283.136492	+10.392125	AllWISE	1	Simbad
18 53 02.74700	+09 16 37.0700	18506+0912	                  	283.261446	 +9.276964	AllWISE	1	Simbad
18 53 32.12300	+11 45 01.6200	18511+1141	                  	283.383846	+11.750450	AllWISE	1	Simbad
18 53 26.19200	+20 33 27.9500	18512+2029	                  	283.359133	+20.557764	AllWISE	1	Simbad
18 54 20.86400	+00 41 03.7800	18517+0037	                  	283.586933	 +0.684383	AllWISE	3	Simbad
18 54 16.13200	+04 02 31.3000	18518+0358	                  	283.567217	 +4.042028	AllWISE	1	Simbad
18 54 31.69100	+05 37 11.6400	18520+0533	                  	283.632046	 +5.619900	AllWISE	2	Simbad
18 54 26.09500	+10 18 02.8900	18520+1014	                  	283.608729	+10.300803	AllWISE	1	Simbad
18 55 05.15500	+02 14 42.2700	18525+0210	                  	283.771479	 +2.245075	AllWISE	1	Simbad
18 55 30.21200	+05 11 40.9000	18530+0507	                  	283.875883	 +5.194694	AllWISE	1	Simbad
18 55 57.04260	+07 30 30.2840	18535+0726	OH 40.1+2.4       	283.987677	 +7.508412	AllWISE	1	Simbad
18 56 36.46500	+03 06 51.2600	18540+0302	                  	284.151937	 +3.114239	AllWISE	1	Simbad
18 56 35.62500	+09 44 00.8600	18542+0940	                  	284.148437	 +9.733572	AllWISE	1	Simbad
18 57 13.03100	+08 27 45.2700	18548+0823	                  	284.304296	 +8.462575	AllWISE	1	Simbad
18 57 27.49500	+02 12 16.8300	18549+0208	OH 35.6-0.3       	284.364562	 +2.204675	AllWISE	1	Simbad
18 57 20.84500	+09 09 41.0000	18549+0905	                  	284.336854	 +9.161389	AllWISE	1	Simbad
18 57 37.64600	+02 03 40.4700	18551+0159	GPSR 035.472-0.436	284.406858	 +2.061242	AllWISE	4	Simbad
18 57 37.30500	+03 27 24.8900	18551+0323	                  	284.405437	 +3.456914	AllWISE	1	Simbad
18 57 56.75800	+02 35 17.0700	18554+0231	                  	284.486492	 +2.588075	AllWISE	1	Simbad
18 57 43.69500	+13 37 16.9500	18554+1333	V1020 Her         	284.432062	+13.621375	AllWISE	1	Simbad
18 58 04.24400	+08 15 30.6900	18556+0811	                  	284.517683	 +8.258525	AllWISE	1	Simbad
18 57 59.16400	+14 13 19.6200	18556+1409	                  	284.496517	+14.222117	AllWISE	1	Simbad
18 58 30.07100	+06 42 57.4800	18560+0638	RAFGL 2290        	284.625296	 +6.715967	AllWISE	1	Simbad
18 58 43.85200	+08 20 10.4100	18563+0816	                  	284.682717	 +8.336225	AllWISE	1	Simbad
18 59 21.17900	+00 07 26.3800	18567+0003	                  	284.838246	 +0.123994	AllWISE	1	Simbad
18 59 08.09200	+10 51 00.4700	18567+1046	                  	284.783717	+10.850131	AllWISE	1	Simbad
18 59 20.73500	+05 54 41.1500	18568+0550	                  	284.836396	 +5.911431	AllWISE	1	Simbad
18 58 50.39600	+25 58 50.6000	18568+2554	                  	284.709983	+25.980722	AllWISE	1	Simbad
18 59 22.00100	+05 57 15.3900	18569+0553	                  	284.841671	 +5.954275	AllWISE	1	Simbad
18 59 10.94400	+17 27 03.9700	18569+1722	                  	284.795600	+17.451103	AllWISE	1	Simbad
18 59 35.92627	+06 15 35.0420	18571+0611	                  	284.899693	 +6.259734	AllWISE	1	Simbad
18 59 40.42300	+06 23 03.2200	18572+0618	                  	284.918429	 +6.384228	AllWISE	1	Simbad
19 00 08.76600	+10 52 15.6400	18577+1047	                  	285.036525	+10.871011	AllWISE	2	Simbad
19 00 17.36700	+08 35 31.2000	18578+0831	                  	285.072362	 +8.592000	AllWISE	1	Simbad
19 00 28.13800	+14 09 53.4500	18581+1405	                  	285.117242	+14.164847	AllWISE	1	Simbad
19 00 53.82900	+09 05 02.5400	18585+0900	                  	285.224287	 +9.084039	AllWISE	1	Simbad
19 01 07.12900	+14 05 13.5500	18588+1400	                  	285.279704	+14.087097	AllWISE	1	Simbad
19 01 32.25800	+15 00 21.7700	18592+1455	                  	285.384408	+15.006047	AllWISE	1	Simbad
19 01 43.98900	+10 14 00.7200	18593+1009	                  	285.433287	+10.233533	AllWISE	1	Simbad
19 02 06.28600	+03 20 15.7500	18596+0315	OH 37.1-0.8       	285.526192	 +3.337708	AllWISE	2	Simbad
19 03 03.53500	+06 28 54.8800	19006+0624	                  	285.764729	 +6.481911	AllWISE	3	Simbad
19 03 01.50500	+16 56 31.0000	19007+1652	                  	285.756271	+16.941944	AllWISE	1	Simbad
19 03 16.75800	+09 12 11.9800	19008+0907	                  	285.819825	 +9.203328	AllWISE	1	Simbad
19 03 33.54200	+05 31 30.1100	19010+0526	                  	285.889758	 +5.525031	AllWISE	1	Simbad
19 03 21.51000	+13 12 01.1700	19010+1307	                  	285.839625	+13.200325	AllWISE	1	Simbad
19 03 36.71500	+11 33 03.3100	19012+1128	                  	285.902979	+11.550919	AllWISE	1	Simbad
19 04 14.43800	+04 16 59.2300	19017+0412	                  	286.060158	 +4.283119	AllWISE	1	Simbad
19 04 09.75500	+06 13 16.1800	19017+0608	OH 39.9-0.0       	286.040646	 +6.221161	AllWISE	1	Simbad
19 04 43.21567	+07 50 19.8650	19023+0745	                  	286.180065	 +7.838851	AllWISE	1	Simbad
19 04 36.34300	+19 28 29.2300	19024+1923	                  	286.151429	+19.474786	AllWISE	1	Simbad
19 05 09.74400	+03 40 58.9800	19026+0336	                  	286.290600	 +3.683050	AllWISE	1	Simbad
19 04 55.99700	+13 05 06.6100	19026+1300	                  	286.233321	+13.085169	AllWISE	1	Simbad
19 05 04.26200	+13 45 43.2700	19027+1341	                  	286.267758	+13.762019	AllWISE	1	Simbad
19 05 03.92200	+16 18 10.4300	19028+1613	                  	286.266342	+16.302897	AllWISE	1	Simbad
19 05 22.12300	+09 38 24.1200	19029+0933	                  	286.342179	 +9.640033	AllWISE	3	Simbad
19 05 58.88000	+04 55 45.3900	19035+0451	                  	286.495333	 +4.929275	AllWISE	1	Simbad
19 05 58.18200	+08 05 53.2500	19035+0801	PN G041.7+00.4    	286.492425	 +8.098125	AllWISE	2	Simbad
19 05 55.52200	+10 14 43.8700	19035+1010	                  	286.481342	+10.245519	AllWISE	1	Simbad
19 06 22.25700	+08 13 47.2900	19039+0809	R Aql             	286.592737	 +8.229803	AllWISE	1	Simbad
19 06 31.16700	+09 57 17.0300	19041+0952	                  	286.629862	 +9.954731	AllWISE	1	Simbad
19 06 24.15000	+17 39 31.4400	19041+1734	                  	286.600625	+17.658733	AllWISE	1	Simbad
19 06 42.89100	+10 14 32.1800	19043+1009	OH 43.9+1.2       	286.678712	+10.242272	AllWISE	1	Simbad
19 07 07.39400	+09 29 29.9000	19047+0924	                  	286.780808	 +9.491639	AllWISE	1	Simbad
19 07 39.07400	+09 27 15.7500	19052+0922	                  	286.912808	 +9.454375	AllWISE	1	Simbad
19 07 33.94900	+14 36 47.3900	19052+1431	                  	286.891454	+14.613164	AllWISE	1	Simbad
19 07 55.85600	+04 23 51.5200	19054+0419	                  	286.982733	 +4.397644	AllWISE	1	Simbad
19 08 03.16900	+02 30 30.2100	19055+0225	                  	287.013204	 +2.508392	AllWISE	1	Simbad
19 08 18.39200	+01 46 27.5000	19057+0141	V1612 Aql         	287.076633	 +1.774306	AllWISE	1	Simbad
19 08 15.93900	+16 17 21.3600	19060+1612	                  	287.066412	+16.289267	AllWISE	3	Simbad
19 08 31.20200	+10 46 47.3100	19061+1041	                  	287.130008	+10.779808	AllWISE	1	Simbad
19 08 58.63220	+08 37 47.1660	19065+0832	OH 42.6+0.0       	287.244301	 +8.629768	AllWISE	2	Simbad
19 09 08.31100	+08 16 34.0200	19067+0811	                  	287.284629	 +8.276117	AllWISE	1	Simbad
19 09 22.42400	+00 21 17.1600	19068+0016	                  	287.343433	 +0.354767	AllWISE	1	Simbad
19 09 11.68600	+11 32 48.1200	19068+1127	                  	287.298692	+11.546700	AllWISE	1	Simbad
19 09 19.26600	+09 21 11.5700	19069+0916	                  	287.330275	 +9.353214	AllWISE	1	Simbad
19 09 31.84500	+09 51 48.4000	19071+0946	OH 43.8+0.5       	287.382687	 +9.863444	AllWISE	1	Simbad
19 09 54.93600	+03 41 27.3000	19074+0336	                  	287.478900	 +3.690917	AllWISE	1	Simbad
19 09 54.06700	+11 52 47.8000	19075+1147	                  	287.475279	+11.879944	AllWISE	1	Simbad
19 09 56.83100	+12 52 56.4100	19076+1247	                  	287.486796	+12.882336	AllWISE	1	Simbad
19 10 19.56100	+11 48 58.6300	19079+1143	                  	287.581504	+11.816286	AllWISE	1	Simbad
19 10 36.70400	+03 27 02.4100	19081+0322	                  	287.652933	 +3.450669	AllWISE	1	Simbad
19 10 47.33000	+08 56 22.6400	19083+0851	                  	287.697208	 +8.939622	AllWISE	4	Simbad
19 10 59.57600	+08 00 26.5600	19085+0755	                  	287.748233	 +8.007378	AllWISE	1	Simbad
19 11 16.98300	+03 28 24.2800	19087+0323	                  	287.820762	 +3.473411	AllWISE	1	Simbad
19 11 11.32300	+11 34 39.8500	19088+1129	                  	287.797179	+11.577736	AllWISE	1	Simbad
19 12 13.21600	+04 16 54.8900	19097+0411	                  	288.055067	 +4.281914	AllWISE	1	Simbad
19 13 37.32500	+08 24 53.0400	19112+0819	                  	288.405521	 +8.414733	AllWISE	1	Simbad
19 13 59.72400	+07 57 20.5000	19115+0752	                  	288.498850	 +7.955694	AllWISE	1	Simbad
19 13 58.47800	+15 16 56.4200	19116+1511	                  	288.493658	+15.282339	AllWISE	1	Simbad
19 14 01.23600	+16 03 36.7200	19117+1558	                  	288.505150	+16.060200	AllWISE	1	Simbad
19 15 16.35800	+09 15 45.8500	19128+0910	                  	288.818158	 +9.262736	AllWISE	1	Simbad
