#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-08-15T01:34:06 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ61186eff15356	
#INFO	-out.max=unlimited	
#INFO	queryParameters=29	
#-oc.form=sexa
#-out.max=unlimited
#-out.all=2
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/AJ/127/501&tab:{J/AJ/127/501/t}&key:source=J/AJ/127/501&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/127/501/t
#-order=I
#-out=IRAS
#-out=f_IRAS
#-out=2MASS
#-out=MSX5C
#-out=Jmag
#-out=f_Jmag
#-out=Hmag
#-out=f_Hmag
#-out=Ksmag
#-out=f_Ksmag
#-out=J-Ks
#-out=rho
#-out=Obj
#-out=_RA
#-out=_DE
#-out.all=2
#

#RESOURCE=yCat_51270501
#Name: J/AJ/127/501
#Title: 2MASS counterparts for OH/IR stars (Lewis+, 2004)
#Table	J_AJ_127_501_t:
#Name: J/AJ/127/501/t
#Title: 2MASS Counterparts to Arecibo OH/IR Stars + YSOs
#Column	_RAJ2000	(A13)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(A13)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	IRAS	(a10)	IRAS (<II/125>) identification	[ucd=]
#Column	f_IRAS	(A1)	[*] Indicates a lower probability alternate in field at similar Sep	[ucd=]
#Column	2MASS	(a16)	2MASS (<II/246>) identification	[ucd=]
#Column	MSX5C	(a16)	MSX5 (<V/107>) catalog identification (not in table2.dat)	[ucd=]
#Column	Jmag	(F6.3)	2MASS J band magnitude	[ucd=]
#Column	f_Jmag	(A1)	[e] Indicates no flux error available in Jmag	[ucd=]
#Column	Hmag	(F6.3)	2MASS H band magnitude	[ucd=]
#Column	f_Hmag	(A1)	[e] Indicates no flux error available in Hmag	[ucd=]
#Column	Ksmag	(F6.3)	2MASS K_s_ band magnitude	[ucd=]
#Column	f_Ksmag	(A1)	[e] Indicates no flux error available in Ksmag	[ucd=]
#Column	J-Ks	(F6.3)	2MASS (J-Ks) color	[ucd=]
#Column	rho	(F5.2)	Angular separation	[ucd=]
#Column	Obj	(I1)	[1,2] 1=OH/IR star (table1 of paper), 2=Young Stellar Object (table2 of paper)	[ucd=]
#Column	_RA	(F9.5)	Position derived from 2MASS Name (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Position derived from 2MASS Name (declination part)	[ucd=pos.eq.dec;meta.main]
_RAJ2000	_DEJ2000	IRAS	f_IRAS	2MASS	MSX5C	Jmag	f_Jmag	Hmag	f_Hmag	Ksmag	f_Ksmag	J-Ks	rho	Obj	_RA	_DE
18 46 32.1300	+21 46 37.600	18444+2143	 	18463213+2146376	                	 4.928	 	 4.347	 	 3.795	 	 1.133	 5.76	1	281.63387	+21.77711
18 57 43.6700	+13 37 16.700	18554+1333	 	18574367+1337167	                	 7.936	 	 6.737	 	 5.964	 	 1.972	 6.44	1	284.43196	+13.62131
18 57 59.1700	+14 13 19.600	18556+1409	 	18575917+1413196	                	11.565	 	 9.226	 	 7.449	 	 4.116	 2.05	1	284.49654	+14.22211
18 58 50.4000	+25 58 50.700	18568+2554	 	18585040+2558507	                	 8.238	 	 7.256	 	 6.571	 	 1.667	 3.34	1	284.71000	+25.98075
18 59 10.9600	+17 27 03.600	18569+1722	 	18591096+1727036	                	 6.489	 	 5.510	 	 4.852	e	 1.637	 2.42	1	284.79567	+17.45100
19 00 28.1200	+14 09 53.400	18581+1405	 	19002812+1409534	046.5779+04.4497	 7.384	 	 6.082	 	 5.276	 	 2.108	 1.50	1	285.11717	+14.16483
19 01 07.1300	+14 05 13.300	18588+1400	 	19010713+1405133	046.5799+04.2741	10.546	 	 8.779	 	 7.137	 	 3.409	 1.34	1	285.27971	+14.08703
19 01 32.2500	+15 00 21.800	18592+1455	 	19013225+1500218	047.4481+04.5999	 6.351	 	 4.924	 	 4.011	 	 2.340	 1.92	1	285.38437	+15.00606
19 03 01.5100	+16 56 31.200	19007+1652	 	19030151+1656312	                	 9.120	 	 7.746	 	 6.797	 	 2.323	 6.11	1	285.75629	+16.94200
19 03 21.5000	+13 12 01.200	19010+1307	 	19032150+1312012	046.0352+03.3863	11.200	 	 8.302	 	 6.286	 	 4.914	 2.60	1	285.83958	+13.20033
19 04 55.9900	+13 05 06.400	19026+1300	 	19045599+1305064	046.1069+02.9932	14.331	 	11.096	 	 9.002	 	 5.329	 2.88	1	286.23329	+13.08511
19 05 04.2500	+13 45 43.500	19027+1341	 	19050425+1345435	                	11.526	 	 9.370	 	 7.724	 	 3.802	 2.37	1	286.26771	+13.76208
19 05 03.9200	+16 18 10.400	19028+1613	 	19050392+1618104	048.9932+04.4305	12.001	 	 9.840	 	 8.284	e	 3.717	 1.74	1	286.26633	+16.30289
19 05 28.6600	+17 20 12.200	19032+1715	 	19052866+1720122	                	 6.388	 	 5.128	 	 4.266	 	 2.122	 3.85	1	286.36942	+17.33672
19 06 24.1600	+17 39 31.300	19041+1734	 	19062416+1739313	                	 8.138	 	 6.749	 	 5.891	 	 2.247	 2.88	1	286.60067	+17.65869
19 07 33.9400	+14 36 47.400	19052+1431	 	19073394+1436474	047.7612+03.1236	 8.850	 	 7.245	 	 6.242	 	 2.608	 0.24	1	286.89142	+14.61317
19 08 15.9200	+16 17 21.100	19060+1612	 	19081592+1617211	049.3321+03.7400	 5.636	 	 4.647	 	 4.009	 	 1.627	 1.89	1	287.06633	+16.28919
19 09 56.8300	+12 52 56.500	19076+1247	 	19095683+1252565	046.4868+01.8145	11.816	 	10.042	 	 8.750	 	 3.066	 5.03	1	287.48679	+12.88236
19 18 14.6700	+23 49 27.900	19161+2343	*	19181467+2349279	                	13.439	 	 9.646	 	 6.883	e	 6.556	 2.03	1	289.56112	+23.82442
19 20 50.2000	+22 27 23.000	19187+2221	 	19205020+2227230	056.1864+03.9536	 9.795	 	 7.840	 	 6.659	 	 3.136	 3.40	1	290.20917	+22.45639
19 21 08.2800	+18 03 54.300	19189+1758	 	19210828+1803543	052.3327+01.8368	 6.232	 	 4.958	 	 4.223	 	 2.009	 0.98	1	290.28450	+18.06508
19 20 59.2300	+30 41 28.600	19190+3035	 	19205923+3041286	                	11.655	 	 9.387	 	 7.677	 	 3.978	 2.55	1	290.24679	+30.69128
19 21 44.1100	+17 53 09.700	19195+1747	 	19214411+1753097	052.2411+01.6276	 7.214	 	 5.535	 	 4.548	 	 2.666	 0.67	1	290.43379	+17.88603
19 22 17.7600	+15 41 48.900	19200+1536	*	19221776+1541489	050.3719+00.4788	16.505	e	15.366	e	11.618	 	 4.887	 3.44	1	290.57400	+15.69692
19 22 48.3900	+21 26 56.100	19206+2121	 	19224839+2126561	055.5062+03.0790	11.262	 	 9.023	 	 7.438	 	 3.824	 4.97	1	290.70162	+21.44892
19 22 44.8000	+22 22 05.900	19206+2216	 	19224480+2222059	056.3137+03.5234	10.989	 	 8.964	 	 7.378	 	 3.611	 3.49	1	290.68667	+22.36831
19 22 43.8400	+25 22 55.900	19206+2517	 	19224384+2522559	                	 7.307	 	 6.263	 	 5.555	 	 1.752	 1.94	1	290.68267	+25.38219
19 24 59.6100	+17 06 53.700	19227+1700	 	19245961+1706537	051.9279+00.5785	 7.732	 	 5.443	 	 4.244	 	 3.488	 1.24	1	291.24837	+17.11492
19 25 12.5000	+17 14 49.500	19229+1708	 	19251250+1714495	052.0685+00.5962	 6.311	 	 4.648	 	 3.589	 	 2.722	 1.52	1	291.30208	+17.24708
19 24 59.0600	+36 01 42.000	19231+3555	 	19245906+3601420	                	 6.030	 	 4.633	 	 3.649	 	 2.381	 1.58	1	291.24608	+36.02833
19 26 02.2400	+14 36 39.200	19237+1430	 	19260224+1436392	049.8429-00.8308	 7.558	 	 5.715	 	 4.496	 	 3.062	 1.48	1	291.50933	+14.61089
19 26 01.9300	+35 03 08.300	19241+3457	 	19260193+3503083	                	 5.408	 	 4.617	 	 4.195	 	 1.213	 2.59	1	291.50804	+35.05231
19 27 07.3400	+14 47 21.700	19248+1441	 	19270734+1447217	050.1241-00.9760	 6.962	 	 5.297	 	 4.345	 	 2.617	 3.96	1	291.78058	+14.78936
19 27 17.9200	+24 26 58.000	19252+2420	 	19271792+2426580	058.6472+03.5821	 8.025	 	 6.593	 	 5.708	 	 2.317	 2.27	1	291.82467	+24.44944
19 27 42.0300	+16 37 23.900	19254+1631	*	19274203+1637239	                	17.839	e	15.797	e	14.799	 	 3.040	 5.30	1	291.92512	+16.62331
19 28 28.4800	+14 41 52.100	19261+1435	 	19282848+1441521	050.1999-01.3072	11.578	 	 8.710	 	 6.853	 	 4.725	 2.55	1	292.11867	+14.69781
19 28 23.7900	+18 55 18.600	19261+1849	 	19282379+1855186	053.9022+00.7273	14.109	 	10.054	 	 7.461	 	 6.648	 1.64	1	292.09912	+18.92183
19 28 31.1900	+31 22 24.800	19265+3116	 	19283119+3122248	                	 5.843	 	 4.992	 	 4.352	e	 1.491	 2.79	1	292.12996	+31.37356
19 29 11.5600	+15 45 52.100	19268+1539	 	19291156+1545521	051.2198-00.9494	14.895	 	10.883	 	 8.299	 	 6.596	 2.84	1	292.29817	+15.76447
19 30 29.4700	+19 50 41.000	19283+1944	 	19302947+1950410	054.9488+00.7358	17.083	e	16.183	e	12.158	 	 4.925	 2.70	1	292.62279	+19.84472
19 30 50.3200	+29 29 57.300	19288+2923	 	19305032+2929573	                	15.201	 	12.476	 	 9.069	 	 6.132	 0.45	1	292.70967	+29.49925
19 31 38.9700	+22 35 17.200	19295+2228	*	19313897+2235172	057.4866+01.8164	15.185	e	12.558	 	 9.474	 	 5.711	 4.70	1	292.91237	+22.58811
19 31 45.5800	+22 33 42.800	19296+2227	 	19314558+2233428	057.4759+01.7822	 7.433	 	 5.643	 	 4.617	 	 2.816	 4.04	1	292.93992	+22.56189
19 33 11.7800	+20 51 30.200	19310+2044	 	19331178+2051302	056.1431+00.6684	11.656	 	 9.245	 	 7.340	 	 4.316	 0.67	1	293.29908	+20.85839
19 33 34.6800	+21 06 13.300	19314+2059	 	19333468+2106133	056.4010+00.7092	15.043	 	11.164	 	 8.667	 	 6.376	 1.22	1	293.39450	+21.10369
19 34 03.5800	+22 21 15.900	19319+2214	 	19340358+2221159	057.5505+01.2171	13.668	 	12.003	 	10.747	 	 2.921	 3.49	1	293.51492	+22.35442
19 34 36.9300	+19 59 44.000	19323+1952	 	19343693+1959440	055.5491-00.0408	17.195	e	14.147	 	10.271	 	 6.924	 1.72	1	293.65387	+19.99556
19 35 20.0200	+12 52 13.700	19330+1245	 	19352002+1252137	049.3984-03.6462	 6.614	 	 5.370	 	 4.638	 	 1.976	 4.06	1	293.83342	+12.87047
19 35 30.7700	+19 25 06.400	19333+1918	 	19353077+1925064	055.1473-00.5053	10.517	 	 8.021	 	 6.319	 	 4.198	 2.43	1	293.87821	+19.41844
19 37 26.1700	+19 20 54.200	19352+1914	 	19372617+1920542	055.3074-00.9350	11.540	 	 8.812	 	 6.954	 	 4.586	 3.56	1	294.35904	+19.34839
19 37 23.9900	+20 36 57.800	19352+2030	 	19372399+2036578	056.4097-00.3080	13.087	 	10.636	 	 8.445	 	 4.642	 1.40	1	294.34996	+20.61606
19 38 12.4600	+19 43 08.800	19359+1936	 	19381246+1943088	055.7199-00.9123	14.580	 	12.018	 	 9.776	 	 4.804	 2.25	1	294.55192	+19.71911
19 37 57.7600	+34 49 36.200	19360+3442	*	19375776+3449362	                	11.177	 	 8.457	 	 6.585	 	 4.592	16.04	1	294.49067	+34.82672
19 39 01.7400	+11 56 46.300	19366+1149	 	19390174+1156463	049.0258-04.8832	 6.432	 	 5.611	 	 5.117	 	 1.315	 3.12	1	294.75725	+11.94619
19 39 07.7600	+29 02 38.500	19371+2855	 	19390776+2902385	063.9548+03.4761	 6.045	 	 4.605	 	 3.933	 	 2.112	 1.38	1	294.78233	+29.04403
19 40 07.9300	+34 07 18.800	19382+3400	 	19400793+3407188	                	 7.814	 	 6.610	 	 5.797	 	 2.017	 4.60	1	295.03304	+34.12189
19 40 55.2400	+15 20 15.700	19386+1513	 	19405524+1520157	052.2159-03.6268	 5.776	 	 4.198	 	 3.650	 	 2.126	 6.03	1	295.23017	+15.33769
19 41 03.1400	+15 34 19.200	19387+1527	 	19410314+1534192	052.4358-03.5392	 8.710	 	 6.852	 	 5.691	 	 3.019	 6.77	1	295.26308	+15.57200
19 41 44.5500	+18 34 25.800	19395+1827	 	19414455+1834258	055.1332-02.2030	 8.049	 	 6.314	 	 5.243	 	 2.806	 3.39	1	295.43562	+18.57383
19 41 43.4200	+19 56 31.600	19395+1949	 	19414342+1956316	056.3216-01.5223	 9.413	 	 7.233	 	 5.846	 	 3.567	 1.15	1	295.43092	+19.94211
19 41 47.1700	+23 45 53.200	19396+2338	 	19414717+2345532	059.6505+00.3586	16.502	 	12.183	 	 9.352	 	 7.150	 2.57	1	295.44654	+23.76478
19 43 34.0000	+22 44 58.900	19414+2237	 	19433400+2244589	                	 4.288	 	 3.347	 	 2.670	 	 1.618	10.03	1	295.89167	+22.74969
19 44 06.9900	+35 14 08.100	19422+3506	 	19440699+3514081	                	 9.182	 	 6.924	 	 5.301	 	 3.881	 1.51	1	296.02912	+35.23558
19 44 29.9600	+33 30 38.400	19425+3323	 	19442996+3330384	068.4197+04.6728	 6.900	 	 5.545	 	 4.596	 	 2.304	 2.02	1	296.12483	+33.51067
19 47 36.2300	+19 24 53.900	19453+1917	 	19473623+1924539	056.5542-02.9838	11.605	 	10.637	 	 8.565	 	 3.040	 6.47	1	296.90096	+19.41497
19 47 49.6700	+19 35 22.900	19456+1927	 	19474967+1935229	056.7325-02.9429	12.905	 	10.375	 	 8.616	 	 4.289	 2.20	1	296.95696	+19.58969
19 48 26.2300	+22 39 56.800	19462+2232	 	19482623+2239568	059.4624-01.5148	 9.090	 	 6.825	 	 5.489	 	 3.601	 3.17	1	297.10929	+22.66578
19 48 15.9500	+35 22 06.000	19464+3514	 	19481595+3522060	                	14.634	 	10.884	 	 8.149	 	 6.485	 3.09	1	297.06646	+35.36833
19 48 52.4700	+22 21 19.200	19467+2213	 	19485247+2221192	059.2462-01.7589	16.433	e	14.338	 	11.392	 	 5.041	 0.98	1	297.21862	+22.35533
19 49 10.4900	+29 52 32.900	19471+2944	 	19491049+2952329	065.7659+01.9925	 7.312	 	 5.896	 	 5.023	 	 2.289	 0.67	1	297.29371	+29.87581
19 50 07.3000	+21 19 04.200	19479+2111	 	19500730+2119042	058.4995-02.5341	 7.150	 	 5.785	 	 4.864	 	 2.286	 5.24	1	297.53042	+21.31783
19 51 21.1900	+29 13 01.300	19493+2905	 	19512119+2913013	065.4388+01.2495	10.205	 	 7.504	 	 5.576	 	 4.629	 1.93	1	297.83829	+29.21703
19 51 29.4100	+27 08 59.000	19494+2701	 	19512941+2708590	063.6773+00.1676	 6.745	 	 4.928	 	 3.779	 	 2.966	 1.85	1	297.87254	+27.14972
19 52 07.4200	+21 49 28.300	19499+2141	 	19520742+2149283	                	 7.789	 	 6.210	 	 5.133	 	 2.656	 6.43	1	298.03092	+21.82453
19 52 12.0500	+22 47 33.300	19500+2239	 	19521205+2247333	060.0139-02.1983	 9.990	 	 8.245	 	 7.021	 	 2.969	 2.19	1	298.05021	+22.79258
19 53 02.8800	+20 22 17.200	19508+2014	 	19530288+2022172	058.0307-03.6049	10.933	 	 9.269	 	 7.936	 	 2.997	 2.55	1	298.26200	+20.37144
19 52 57.8600	+27 07 44.700	19508+2659	 	19525786+2707447	063.8276-00.1241	 9.586	 	 6.947	 	 5.312	 	 4.274	 0.84	1	298.24108	+27.12908
19 53 49.4300	+22 25 38.700	19516+2217	 	19534943+2225387	059.8924-02.7067	 7.924	 	 6.770	 	 6.100	 	 1.824	 1.45	1	298.45596	+22.42742
19 54 08.6400	+27 37 01.700	19520+2729	 	19540864+2737017	064.3807-00.0977	15.193	e	12.001	 	 8.669	 	 6.524	 0.61	1	298.53600	+27.61714
19 54 05.8600	+28 07 40.600	19520+2759	 	19540586+2807406	064.8134+00.1744	 9.347	 	 7.294	 	 5.687	 	 3.660	 1.20	1	298.52442	+28.12794
19 54 17.0400	+27 01 40.900	19522+2653	 	19541704+2701409	063.8918-00.4279	11.396	 	 8.846	 	 7.522	e	 3.874	 0.47	1	298.57100	+27.02803
19 54 44.2900	+36 42 15.700	19529+3634	 	19544429+3642157	072.2444+04.4710	 7.528	 	 6.392	 	 5.724	 	 1.804	 1.13	1	298.68454	+36.70436
19 58 30.2900	+31 48 16.000	19565+3140	 	19583029+3148160	068.4511+01.2676	13.628	 	10.906	 	 8.713	 	 4.915	 0.31	1	299.62621	+31.80444
19 58 32.2700	+34 31 33.700	19566+3423	 	19583227+3431337	070.7763+02.6837	17.009	e	16.412	e	14.321	 	 2.688	 1.48	1	299.63446	+34.52603
19 59 56.3900	+11 51 45.000	19575+1143	 	19595639+1151450	                	 7.088	 	 5.933	 	 5.159	 	 1.929	 1.95	1	299.98496	+11.86250
19 59 39.1400	+28 23 07.200	19576+2814	 	19593914+2823072	065.6693-00.7365	15.701	e	14.806	e	13.772	 	 1.929	 1.32	1	299.91308	+28.38533
19 59 55.8400	+29 34 32.300	19579+2926	 	19595584+2934323	066.7140-00.1623	 7.756	 	 6.250	 	 5.321	 	 2.435	 0.20	1	299.98267	+29.57564
19 59 51.3200	+32 32 09.800	19579+3223	 	19595132+3232098	                	 5.218	 	 4.122	 	 3.369	 	 1.849	 4.99	1	299.96383	+32.53606
20 00 54.3100	+25 49 54.300	19588+2541	 	20005431+2549543	063.6439-02.3166	14.156	 	11.424	 	 9.342	 	 4.814	 1.56	1	300.22629	+25.83175
20 03 38.4900	+30 28 09.400	20015+3019	 	20033849+3028094	067.8975-00.3709	 4.070	 	 2.714	 	 1.998	 	 2.072	 1.07	1	300.91037	+30.46928
20 04 20.7300	+29 04 06.500	20023+2855	 	20042073+2904065	066.7946-01.2472	16.179	e	16.076	e	13.682	 	 2.497	 2.69	1	301.08637	+29.06847
20 07 05.3900	+12 57 06.300	20047+1248	 	20070539+1257063	                	 4.463	 	 3.573	 	 2.739	 	 1.724	 4.11	1	301.77246	+12.95175
20 15 54.0700	+36 30 04.800	20140+3620	 	20155407+3630048	074.3469+00.7741	 6.382	 	 5.071	 	 4.294	 	 2.088	 0.69	1	303.97529	+36.50133
20 16 50.5400	+34 49 26.800	20149+3440	*	20165054+3449268	073.0638-00.3223	10.432	 	 9.932	 	 9.541	 	 0.891	 7.03	1	304.21058	+34.82411
20 18 05.8800	+27 44 03.500	20160+2734	 	20180588+2744035	                	 7.183	 	 6.600	 	 6.236	 	 0.947	 3.65	1	304.52450	+27.73431
20 18 32.7700	+34 23 20.500	20165+3413	 	20183277+3423205	072.8988-00.8552	 3.717	 	 2.646	 	 1.873	 	 1.844	 0.46	1	304.63654	+34.38903
20 19 11.0700	+27 42 11.900	20171+2732	 	20191107+2742119	067.4382-04.7252	 8.798	 	 6.691	 	 5.179	 	 3.619	 1.63	1	304.79612	+27.70331
20 21 42.6200	+17 17 17.700	20194+1707	*	20214262+1717177	                	 5.305	 	 4.442	 	 3.759	 	 1.546	28.63	1	305.42758	+17.28825
20 23 08.5600	+31 10 06.600	20211+3100	 	20230856+3110066	070.7928-03.4766	10.867	 	 8.509	 	 6.749	 	 4.118	 3.38	1	305.78567	+31.16850
20 23 36.1700	+32 15 10.800	20215+3205	 	20233617+3215108	071.7388-02.9382	 6.665	 	 5.036	 	 4.080	 	 2.585	 3.10	1	305.90071	+32.25300
20 26 56.6900	+15 06 01.900	20246+1456	 	20265669+1506019	                	 5.758	 	 4.953	 	 4.265	 	 1.493	 1.33	1	306.73621	+15.10053
20 28 57.1000	+21 15 37.000	20267+2105	 	20285710+2115370	                	 8.792	 	 6.310	 	 4.340	 	 4.452	 2.15	1	307.23792	+21.26028
20 30 08.5400	+26 41 37.600	20280+2631	 	20300854+2641376	                	 8.461	 	 6.582	 	 5.127	 	 3.334	11.11	1	307.53558	+26.69378
20 34 22.6000	+15 44 44.000	20320+1534	 	20342260+1544440	                	 6.019	 	 4.875	 	 4.233	 	 1.786	 1.36	1	308.59417	+15.74556
20 37 07.9500	+35 01 10.700	20351+3450	 	20370795+3501107	075.6381-03.5939	 6.469	 	 5.183	 	 4.327	 	 2.142	 2.16	1	309.28312	+35.01964
20 38 19.8100	+34 12 20.600	20363+3401	 	20381981+3412206	075.1352-04.2803	 7.242	 	 6.007	 	 5.121	 	 2.121	 2.91	1	309.58254	+34.20572
