#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-06-22T21:35:07 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ60d2272c34a6fe	
#INFO	-out.max=unlimited	
#INFO	queryParameters=36	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/AJ/123/2772&cat:J/A+A/538/A136&cat:J/ApJS/89/189&cat:J/ApJS/109/489&cat:J/A+AS/92/43&cat:J/A+AS/127/185&cat:J/A+A/391/967&cat:J/A+A/446/773&cat:J/A+A/299/453&cat:J/AJ/127/501&cat:J/A+AS/128/35&cat:J/A+A/431/779&tab:{J/A+A/431/779/tablea1}&tab:{J/A+A/431/779/tablea2}&cat:J/A+A/368/1006&key:source=OH/IR+stars&HTTPPRM:&&-ref=VIZ60d2272c34a6fe&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/431/779/tablea1,J/A+A/431/779/tablea2
#-order=I
#-out=IRAS
#-out=IRAS_data
#IRAS_data=IRAS_data
#-out=RAJ2000
#-out=DEJ2000
#-out=oRA(CA-IRAS)
#-out=oDE(CA-IRAS)
#-out=oRA(MSX-IRAS)
#-out=oDE(MSX-IRAS)
#-out=oRA(VLA-IRAS)
#-out=oDE(VLA-IRAS)
#-out=MSX6C_G
#-out=HJD
#-out=l_Jmag
#-out=Jmag
#-out=e_Jmag
#-out=l_Hmag
#-out=Hmag
#-out=e_Hmag
#-out=n_Hmag
#-out=l_Kmag
#-out=Kmag
#-out=e_Kmag
#-out=n_Kmag
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_34310779
#Name: J/A+A/431/779
#Title: Optical/near-IR atlas of OH/IR stars (Jimenez-Esteban+ 2005)
#Table	J_A_A_431_779_tablea1:
#Name: J/A+A/431/779/tablea1
#Title: Astrometric information derived for the sources for which an optical/NIR counterpart was found.
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	IRAS	(a10)	IRAS name	[ucd=]
#Column	RAJ2000	(A10)	Improved right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Improved declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	oRA(CA-IRAS)	(I3)	? Distance Calar Alto/IRAS (RA) [NULL integer written as an empty string]	[ucd=]
#Column	oDE(CA-IRAS)	(I3)	? Distance Calar Alto/IRAS (DE) [NULL integer written as an empty string]	[ucd=]
#Column	oRA(MSX-IRAS)	(I3)	? Distance MSX/IRAS (RA) [NULL integer written as an empty string]	[ucd=]
#Column	oDE(MSX-IRAS)	(I3)	? Distance MSX/IRAS (DE) [NULL integer written as an empty string]	[ucd=]
#Column	oRA(VLA-IRAS)	(I3)	? Distance VLA/IRAS (RA) [NULL integer written as an empty string]	[ucd=]
#Column	oDE(VLA-IRAS)	(I3)	? Distance VLA/IRAS (DE) [NULL integer written as an empty string]	[ucd=]
#Column	MSX6C_G	(a16)	MSX6C_G name (MSX6C GLLL.llll+BB.bbbb), Cat. <V/114>	[ucd=]
_RAJ2000	_DEJ2000	IRAS	RAJ2000	DEJ2000	oRA(CA-IRAS)	oDE(CA-IRAS)	oRA(MSX-IRAS)	oDE(MSX-IRAS)	oRA(VLA-IRAS)	oDE(VLA-IRAS)	MSX6C_G
280.830000	 +7.553611	18408+0730	18 43 19.2	+07 33 13	  3	 -1	   	   	   	   	
280.867500	 +4.571111	18409+0431	18 43 28.2	+04 34 16	  2	 -1	  5	  4	   	   	036.1008+03.8519
281.020833	 +4.121944	18415+0404	18 44 05.0	+04 07 19	  3	 -1	  3	  4	   	   	035.7688+03.5128
281.102500	+11.670000	18420+1137	18 44 24.6	+11 40 12	  0	  2	   	   	   	   	
281.409583	 +0.712222	18430+0039	18 45 38.3	+00 42 44	 10	  0	  9	  1	   	   	032.9047+01.6156
281.479167	 +0.706389	18433+0039	18 45 55.0	+00 42 23	 -2	  3	 -4	  1	   	   	032.9303+01.5511
281.501667	 +7.807222	18435+0745	18 46 00.4	+07 48 26	  1	  0	 -2	  1	   	   	039.2799+04.7523
281.656667	 +3.248889	18441+0311	18 46 37.6	+03 14 56	  0	  2	  3	  9	   	   	035.2792+02.5502
281.556250	+22.335833	18441+2216	18 46 13.5	+22 20 09	  8	  1	   	   	   	   	
281.705833	 +7.637222	18444+0734	18 46 49.4	+07 38 14	  4	  3	  3	  3	   	   	039.2193+04.4947
282.010000	 +4.858611	18455+0448	18 48 02.4	+04 51 31	  3	  2	  3	  4	   	   	036.8738+02.9676
282.520000	 +5.992222	18476+0555	18 50 04.8	+05 59 32	 -4	  4	 -6	  1	 -5	  1	038.1146+03.0292
282.556250	 +2.786667	18477+0243	18 50 13.5	+02 47 12	  1	  0	 -1	  1	   	   	035.2742+01.5406
282.657500	 +4.152500	18481+0405	18 50 37.8	+04 09 09	  6	  3	  4	  5	  5	  3	036.5373+02.0723
282.815417	 +1.938889	18487+0152	18 51 15.7	+01 56 20	  3	  2	  6	  1	   	   	034.6378+00.9222
282.808750	 +6.359722	18487+0617	18 51 14.1	+06 21 35	  1	  2	 -1	  2	   	   	038.5735+02.9411
282.899167	 +3.098611	18490+0302	18 51 35.8	+03 05 55	 -1	 -1	 -4	 -1	   	   	035.7079+01.3778
282.855000	+12.035556	18490+1158	18 51 25.2	+12 02 08	  9	  4	   	   	   	   	
283.063333	 +2.062222	18497+0200	18 52 15.2	+02 03 44	 -1	 -6	  0	 -2	   	   	034.8615+00.7590
283.076667	+12.477222	18499+1224	18 52 18.4	+12 28 38	 -1	  3	   	   	   	   	
283.136667	+10.392222	18501+1019	18 52 32.8	+10 23 32	  2	  4	 -1	  4	  1	  3	042.3245+04.4752
283.261250	 +9.277222	18506+0912	18 53 02.7	+09 16 38	 -5	  4	 -5	  2	 -3	  4	041.3824+03.8617
283.384167	+11.750278	18511+1141	18 53 32.2	+11 45 01	  3	  2	  1	  6	   	   	043.6522+04.8700
283.359167	+20.557500	18512+2029	18 53 26.2	+20 33 27	 -6	 -2	   	   	   	   	
283.567083	 +4.042222	18518+0358	18 54 16.1	+04 02 32	-24	 -3	-26	 -3	   	   	036.8520+01.2139
283.632500	 +5.619722	18520+0533	18 54 31.8	+05 37 11	  7	  2	  6	  2	  6	  4	038.2863+01.8746
283.609167	+10.300556	18520+1014	18 54 26.2	+10 18 02	  9	  2	  6	  3	   	   	042.4531+04.0195
283.771667	 +2.245000	18525+0210	18 55 05.2	+02 14 42	  4	  1	  4	  2	   	   	035.3458+00.2124
283.876250	 +5.194444	18530+0507	18 55 30.3	+05 11 40	  9	  2	  8	  1	   	   	038.0183+01.4646
283.987500	 +7.508889	18535+0726	18 55 57.0	+07 30 32	  3	  4	  2	  0	   	   	040.1297+02.4195
284.151667	 +3.113889	18540+0302	18 56 36.4	+03 06 50	 25	  4	 25	  7	   	   	036.2927+00.2711
284.148750	 +9.733333	18542+0940	18 56 35.7	+09 44 00	 -6	 -1	 -4	  0	   	   	042.1880+03.2879
284.304583	 +8.462222	18548+0823	18 57 13.1	+08 27 44	 -4	  1	 -4	  2	   	   	041.1238+02.5738
284.364583	 +2.204444	18549+0208	18 57 27.5	+02 12 16	 13	  5	 13	  7	   	   	035.5804-00.3330
284.337083	 +9.161111	18549+0905	18 57 20.9	+09 09 40	  0	  0	  0	 -1	   	   	041.7611+02.8626
284.407917	 +2.062500	18551+0159	18 57 37.9	+02 03 45	  0	  7	 -3	  3	   	   	035.4720-00.4364
284.405833	 +3.456944	18551+0323	18 57 37.4	+03 27 25	 13	  1	 12	  2	   	   	036.7131+00.2022
284.486250	 +2.588056	18554+0231	18 57 56.7	+02 35 17	  2	  2	  2	  3	  3	  9	035.9769-00.2664
284.432083	+13.621389	18554+1333	18 57 43.7	+13 37 17	 -6	  1	 -7	  4	 -7	  1	045.7906+04.7991
284.517917	 +8.258333	18556+0811	18 58 04.3	+08 15 30	  4	  2	  4	  2	   	   	041.0380+02.2929
284.496667	+14.222222	18556+1409	18 57 59.2	+14 13 20	 -1	  1	 -4	  4	   	   	046.3572+05.0141
284.625000	 +6.716111	18560+0638	18 58 30.0	+06 42 58	  0	  2	  1	 -1	   	   	039.7125+01.4946
284.682917	 +8.336111	18563+0816	18 58 43.9	+08 20 10	  4	  1	  4	  1	   	   	041.1817+02.1830
284.838333	 +0.124167	18567+0003	18 59 21.2	+00 07 27	  4	  2	  3	  1	   	   	033.9447-01.7042
284.784167	+10.849722	18567+1046	18 59 08.2	+10 50 59	 10	  2	  9	  3	   	   	043.4681+03.2379
284.836667	 +5.911667	18568+0550	18 59 20.8	+05 54 42	 12	  3	 12	  1	   	   	039.0925+00.9408
284.710417	+25.980556	18568+2554	18 58 50.5	+25 58 50	 -1	  1	   	   	   	   	
284.842500	 +5.953611	18569+0553	18 59 22.2	+05 57 13	  9	 -3	  6	 -2	   	   	039.1331+00.9557
284.795417	+17.450833	18569+1722	18 59 10.9	+17 27 03	  0	  2	   	   	   	   	
284.900417	 +6.260278	18571+0611	18 59 36.1	+06 15 37	  6	  1	  4	  1	   	   	039.4320+01.0442
284.918333	 +6.384444	18572+0618	18 59 40.4	+06 23 04	  2	  2	  2	  1	   	   	039.5505+01.0846
285.037083	+10.870833	18577+1047	19 00 08.9	+10 52 15	  3	  1	  0	  1	  0	  2	043.5997+03.0266
285.072917	 +8.591389	18578+0831	19 00 17.5	+08 35 29	 -1	 -2	 -3	  1	   	   	041.5856+01.9568
285.117083	+14.165000	18581+1405	19 00 28.1	+14 09 54	  3	  3	  0	  3	   	   	046.5775+04.4508
285.224583	 +9.083889	18585+0900	19 00 53.9	+09 05 02	  3	  1	  1	  2	   	   	042.0920+02.0478
285.280000	+14.086944	18588+1400	19 01 07.2	+14 05 13	 10	  3	  9	  4	   	   	046.5795+04.2746
285.384583	+15.006111	18592+1455	19 01 32.3	+15 00 22	  6	  3	  6	  3	   	   	047.4476+04.5997
285.434167	+10.233333	18593+1009	19 01 44.2	+10 14 00	  5	  2	  2	  1	   	   	043.2094+02.3885
285.756250	+16.941944	19007+1652	19 03 01.5	+16 56 31	  6	  2	  4	  1	   	   	049.3428+05.1551
285.820833	 +9.202778	19008+0907	19 03 17.0	+09 12 10	  4	  0	  1	  3	   	   	042.4673+01.5794
285.890000	 +5.525278	19010+0526	19 03 33.6	+05 31 31	  1	  2	 -2	  1	   	   	039.2285-00.1670
285.839583	+13.200556	19010+1307	19 03 21.5	+13 12 02	  6	  3	  6	  1	   	   	046.0351+03.3867
285.903333	+11.550833	19012+1128	19 03 36.8	+11 33 03	  4	  1	  3	  1	   	   	044.5936+02.5796
286.060000	 +4.283611	19017+0412	19 04 14.4	+04 17 01	 -5	  2	 -3	 -1	   	   	038.2026-00.8881
286.041250	 +6.220833	19017+0608	19 04 09.9	+06 13 15	 10	  4	  6	  5	   	   	039.9159+00.0185
286.181250	 +7.838611	19023+0745	19 04 43.5	+07 50 19	  7	  2	  4	  2	   	   	041.4170+00.6369
286.151667	+19.474444	19024+1923	19 04 36.4	+19 28 28	  3	  3	   	   	   	   	
286.290833	 +3.683333	19026+0336	19 05 09.8	+03 41 00	  0	  2	  0	  0	   	   	037.7748-01.3674
286.233333	+13.085278	19026+1300	19 04 56.0	+13 05 07	  3	  1	  3	 -1	   	   	046.1075+02.9931
286.267500	+13.761944	19027+1341	19 05 04.2	+13 45 43	  2	 -1	  2	  0	   	   	046.7264+03.2726
286.266667	+16.303056	19028+1613	19 05 04.0	+16 18 11	  0	  2	 -3	  2	   	   	048.9932+04.4304
286.342083	 +9.639722	19029+0933	19 05 22.1	+09 38 23	  3	  0	  4	  1	  3	  1	043.0914+01.3211
286.495833	 +4.929444	19035+0451	19 05 59.0	+04 55 46	  4	  3	  4	  2	   	   	038.9764-00.9774
286.485417	 +8.099167	19035+0801	19 05 56.5	+08 05 57	  3	  1	  2	  2	   	   	041.7873+00.4886
286.481250	+10.244722	19035+1010	19 05 55.5	+10 14 41	  4	  2	  4	  5	   	   	043.6925+01.4772
286.630000	 +9.954722	19041+0952	19 06 31.2	+09 57 17	 -3	  0	 -5	  0	   	   	043.5012+01.2140
286.600833	+17.658889	19041+1734	19 06 24.2	+17 39 32	  0	  3	 -4	  4	   	   	050.3508+04.7613
286.679167	+10.242222	19043+1009	19 06 43.0	+10 14 32	 -4	 -2	 -7	 -1	   	   	043.7789+01.3037
286.781250	 +9.491389	19047+0924	19 07 07.5	+09 29 29	 -7	 -5	 -9	 -4	   	   	043.1584+00.8690
286.913333	 +9.454167	19052+0922	19 07 39.2	+09 27 15	  1	  0	 -1	  2	   	   	043.1852+00.7364
286.891667	+14.613056	19052+1431	19 07 34.0	+14 36 47	  2	  2	  0	  4	   	   	047.7616+03.1238
286.982917	 +4.397500	19054+0419	19 07 55.9	+04 23 51	 10	  4	 10	  4	   	   	038.7272-01.6528
287.013333	 +2.508333	19055+0225	19 08 03.2	+02 30 30	  5	  2	  5	  2	  3	  2	037.0617-02.5474
287.076667	 +1.774444	19057+0141	19 08 18.4	+01 46 28	  1	  2	  0	  1	   	   	036.4375-02.9402
287.066250	+16.289167	19060+1612	19 08 15.9	+16 17 21	 -4	  3	 -4	  3	   	   	049.3316+03.7402
287.130417	+10.779722	19061+1041	19 08 31.3	+10 46 47	 15	  4	 15	  6	   	   	044.4608+01.1564
287.245000	 +8.629167	19065+0832	19 08 58.8	+08 37 45	  6	 -2	  2	  2	   	   	042.6040+00.0666
287.284583	 +8.275556	19067+0811	19 09 08.3	+08 16 32	 15	  1	 13	  3	   	   	042.3083-00.1324
287.343750	 +0.354722	19068+0016	19 09 22.5	+00 21 17	  3	  2	  3	  2	   	   	035.2962-03.8278
287.298750	+11.545278	19068+1127	19 09 11.7	+11 32 43	 10	 -2	 10	  3	   	   	045.2175+01.3627
287.330833	 +9.353611	19069+0916	19 09 19.4	+09 21 13	  4	  3	  1	  2	   	   	043.2849+00.3241
287.383333	 +9.863611	19071+0946	19 09 32.0	+09 51 49	  7	  2	  4	  3	   	   	043.7619+00.5138
287.478750	 +3.691111	19074+0336	19 09 54.9	+03 41 28	 16	  3	 18	  2	   	   	038.3267-02.4172
287.475417	+11.880000	19075+1147	19 09 54.1	+11 52 48	  4	  3	  4	  3	   	   	045.5930+01.3627
287.486667	+12.883056	19076+1247	19 09 56.8	+12 52 59	  4	  6	  7	  3	   	   	046.4881+01.8144
287.581250	+11.817778	19079+1143	19 10 19.5	+11 49 04	  0	  8	  0	  3	   	   	045.5843+01.2414
287.653333	 +3.450278	19081+0322	19 10 36.8	+03 27 01	  3	 -2	  1	 -1	   	   	038.1933-02.6817
287.697500	 +8.939444	19083+0851	19 10 47.4	+08 56 22	  9	  2	  6	  3	   	   	043.0853-00.1878
287.748750	 +8.006389	19085+0755	19 10 59.7	+08 00 23	 61	 11	 59	 14	   	   	042.2819-00.6638
287.820833	 +3.473889	19087+0323	19 11 17.0	+03 28 26	  0	  3	  0	  1	  1	  3	038.2907-02.8202
287.797500	+11.577222	19088+1129	19 11 11.4	+11 34 38	  4	  2	  4	  4	   	   	045.4704+00.9437
288.055000	 +4.281667	19097+0411	19 12 13.2	+04 16 54	  3	  1	  3	  1	   	   	039.1169-02.6552
288.405417	 +8.414722	19112+0819	19 13 37.3	+08 24 53	-22	 -3	-24	 -5	   	   	042.9437-01.0519
288.498750	 +7.955833	19115+0752	19 13 59.7	+07 57 21	 -3	  2	 -2	 -1	   	   	042.5799-01.3470
288.493750	+15.282500	19116+1511	19 13 58.5	+15 16 57	  3	  2	  3	  1	   	   	049.0691+02.0573
288.505000	+16.060000	19117+1558	19 14 01.2	+16 03 36	 -1	  1	  0	  4	   	   	049.7649+02.4077
288.817500	 +9.262778	19128+0910	19 15 16.2	+09 15 46	 -3	  2	  0	  1	   	   	043.8846-01.0195
288.783333	+13.266667	19128+1310	19 15 08.0	+13 16 00	  3	  3	  3	  3	  3	  3	047.4137+00.8732
288.746250	+28.154167	19129+2803	19 14 59.1	+28 09 15	 -8	  0	   	   	   	   	
288.871667	+12.044167	19131+1157	19 15 29.2	+12 02 39	  0	  2	  0	  2	   	   	046.3713+00.2284
289.122917	 +6.958333	19140+0652	19 16 29.5	+06 57 30	  6	  3	  4	  1	   	   	041.9834-02.3578
289.252500	+13.922778	19147+1349	19 17 00.6	+13 55 22	-12	  0	-10	 -2	   	   	048.2064+00.7747
289.298333	+16.731944	19149+1638	19 17 11.6	+16 43 55	  4	  4	  3	  5	   	   	050.7133+02.0461
289.611667	 +8.010556	19160+0755	19 18 26.8	+08 00 38	 -1	  3	  1	  2	   	   	043.1418-02.2973
289.561250	+23.824444	19161+2343	19 18 14.7	+23 49 28	  1	  2	 -4	  3	  0	  2	
