#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-08-16T15:55:27 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ611a898eda2f9	
#INFO	-out.max=unlimited	
#INFO	queryParameters=22	
#-oc.form=sexa
#-out.max=unlimited
#-out.all=2
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/ApJS/93/549&tab:{J/ApJS/93/549/table2}&key:source=Arecibo+1612&HTTPPRM:&&-ref=VIZ611a898eda2f9&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/93/549/table2
#-order=I
#-out=n_IRAS
#-out=IRAS
#-out=GLON
#-out=GLAT
#-out=(12-25)
#-out=(60-25)
#-out=_RA
#-out=_DE
#-out.all=2
#

#RESOURCE=yCat_20930549
#Name: J/ApJS/93/549
#Title: Arecibo 1612 MHz survey supplement (Lewis 1994)
#Table	J_ApJS_93_549_table2:
#Name: J/ApJS/93/549/table2
#Title: IRAS sources without 1612 MHz emission
#Column	_RAJ2000	(A12)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(A12)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	n_IRAS	(A1)	[*] * : part of flux-limited Arecibo sample	[ucd=meta.note]
#Column	IRAS	(A10)	IRAS name	[ucd=meta.id;meta.main]
#Column	GLON	(F5.1)	Galactic longitude	[ucd=pos.galactic.lon]
#Column	GLAT	(F5.1)	Galactic latitude	[ucd=pos.galactic.lat]
#Column	(12-25)	(F7.4)	(12-25){mu}m infrared color	[ucd=phot.color;em.IR.8-15um;em.IR.15-30um]
#Column	(60-25)	(F7.4)	(60-25){mu}m infrared color	[ucd=phot.color;em.IR.15-30um;em.IR.30-60um]
#Column	_RA	(F8.4)	Simbad column added by the CDS	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F8.4)	Simbad column added by the CDS	[ucd=pos.eq.dec;meta.main]
_RAJ2000	_DEJ2000	n_IRAS	IRAS	GLON	GLAT	(12-25)	(60-25)	_RA	_DE
03 08 11.599	+26 59 13.46	 	03052+2647	157.0	-26.7	-0.7689	-1.1584	047.0483	+26.9871
03 11 02.861	+14 47 58.08	 	03082+1436	166.1	-36.1	-0.8378	-1.1474	047.7619	+14.7995
03 15 25.342	+01 40 58.62	 	03128+0129	179.0	-44.9	-0.7317	-1.2453	048.8556	+01.6829
03 18 04.746	+32 55 18.59	 	03149+3244	155.3	-20.6	-0.7531	-1.0400	049.5198	+32.9218
03 19 56.051	+33 08 33.44	 	03168+3257	155.5	-20.2	-0.7141	-1.0050	049.9835	+33.1426
03 28 12.247	+20 40 47.17	 	03253+2030	165.4	-29.0	-0.7098	-1.0234	052.0510	+20.6798
03 30 02.875	+35 40 14.28	 	03268+3529	155.7	-16.9	-0.8757	-0.9950	052.5120	+35.6706
03 36 52.399	+12 34 07.80	 	03341+1224	173.6	-33.6	-0.3968	-0.2868	054.2183	+12.5688
03 42 22.231	+36 30 36.97	 	03391+3621	157.3	-14.7	-0.8523	-1.1100	055.5926	+36.5103
03 43 18.169	+12 47 37.87	 	03405+1238	174.8	-32.3	-0.8972	-0.9597	055.8257	+12.7939
03 44 59.270	+09 56 33.72	 	03422+0947	177.6	-33.9	-0.8193	-1.0805	056.2470	+09.9427
03 47 28.683	+24 06 18.07	 	03445+2357	166.7	-23.5	-0.7274	-0.8878	056.8695	+24.1050
03 50 28.008	+27 40 06.25	 	03474+2731	164.6	-20.4	-0.7103	-1.1451	057.6167	+27.6684
03 51 15.747	+33 02 04.52	 	03480+3253	161.0	-16.2	-0.7452	-1.0689	057.8156	+33.0346
03 54 12.104	+18 10 23.15	 	03513+1801	172.5	-26.6	-0.5413	-0.8996	058.5504	+18.1731
03 54 23.778	+16 01 04.37	 	03515+1552	174.2	-28.1	-0.7119	-1.0315	058.5991	+16.0179
04 04 04.251	+18 19 07.02	 	04011+1810	174.1	-24.9	-0.7437	-1.2115	061.0177	+18.3186
04 04 00.960	+02 32 15.77	 	04014+0224	188.2	-35.0	-0.7416	-1.1185	061.0040	+02.5377
04 04 18.703	+12 30 27.93	 	04015+1222	179.0	-28.7	-1.0303	-1.0240	061.0779	+12.5078
04 27 56.917	+16 02 34.48	 	04250+1555	180.1	-22.0	-0.7386	-1.1495	066.9872	+16.0429
04 29 12.066	+09 56 43.24	 	04264+0950	185.6	-25.5	-0.8137	-1.2114	067.3003	+09.9453
04 32 56.643	+34 36 11.12	 	04296+3429	166.2	 -9.0	 0.1488	-0.8980	068.2360	+34.6031
04 32 54.304	+29 48 07.05	 	04297+2941	169.9	-12.3	-0.7001	-1.0521	068.2263	+29.8020
04 32 47.912	+22 39 52.18	 	04298+2233	175.4	-16.9	-0.7151	-0.9792	068.1996	+22.6645
04 35 57.265	+28 30 51.62	 	04328+2824	171.3	-12.6	-0.7965	-1.2232	068.9886	+28.5143
04 37 39.293	+32 37 25.88	 	04344+3231	168.4	 -9.6	-0.7712	-1.1705	069.4137	+32.6239
04 44 00.921	+25 20 11.46	 	04409+2514	175.0	-13.3	-0.9646	-1.1164	071.0038	+25.3365
04 47 07.508	+26 10 41.65	 	04440+2605	174.8	-12.2	-0.5024	-0.8667	071.7813	+26.1782
04 49 02.055	+28 42 38.84	 	04458+2837	173.0	-10.3	-0.9089	-1.0874	072.2586	+28.7108
04 52 01.624	+29 00 04.40	 	04488+2855	173.2	 -9.6	-0.8183	-1.1943	073.0068	+29.0012
05 15 47.113	+26 45 14.77	 	05126+2641	178.2	 -6.7	-0.7121	-1.2558	078.9463	+26.7541
05 16 22.413	+30 42 40.46	 	05131+3039	175.0	 -4.3	-0.7918	-1.2277	079.0934	+30.7112
05 20 56.093	+35 05 22.11	 	05176+3502	172.0	 -1.0	-0.6651	-0.7623	080.2337	+35.0895
05 40 00.655	+28 42 49.17	 	05368+2841	179.5	 -1.2	-0.7297	-1.0751	085.0027	+28.7137
05 42 08.879	+32 02 22.05	 	05388+3200	177.0	  1.0	-0.7304	-1.1075	085.5370	+32.0395
05 56 34.902	+30 23 15.96	 	05533+3022	180.0	  2.8	-0.5220	-0.8420	089.1454	+30.3878
07 16 10.347	+09 59 46.76	 	07134+1005	206.7	  9.9	 0.2708	-0.7826	109.0431	+09.9963
12 34 41.181	-00 14 09.46	 	12321+0002	293.9	 62.3	-0.7233	-1.0703	188.6716	-00.2360
12 36 52.845	+27 04 00.17	 	12344+2720	213.2	 86.8	-0.7034	-1.2884	189.2202	+27.0667
12 38 30.214	+06 59 17.16	 	12359+0715	293.7	 69.6	-0.8592	-1.1893	189.6259	+06.9881
12 38 51.456	+13 48 14.46	 	12363+1404	289.9	 76.4	-0.7381	-1.2854	189.7144	+13.8040
13 02 38.221	+05 11 07.66	 	13001+0527	310.4	 67.9	-0.7183	-1.1790	195.6593	+05.1855
13 03 55.687	+07 04 07.19	 	13014+0720	311.9	 69.7	-0.7138	-1.1490	195.9820	+07.0687
13 03 59.748	+19 42 20.38	 	13015+1958	324.8	 82.0	-0.7457	-1.1825	195.9989	+19.7057
13 07 53.332	+23 37 30.17	 	13054+2353	350.5	 84.9	-0.8433	-1.1076	196.9722	+23.6250
14 06 29.369	+13 29 10.02	 	14040+1343	358.8	 67.8	-0.7792	-1.1332	211.6224	+13.4861
14 41 13.156	+31 34 19.97	 	14390+3147	 50.1	 65.7	-0.7177	-1.1518	220.3048	+31.5722
15 11 01.859	+03 11 05.30	 	15085+0322	  3.4	 49.0	-0.7454	-1.1949	227.7577	+03.1848
15 21 40.013	+14 18 50.61	 	15193+1429	 20.5	 52.8	-0.7778	-0.9343	230.4167	+14.3141
15 36 27.946	+15 06 03.61	 	15341+1515	 24.1	 49.9	-0.7218	-1.1682	234.1164	+15.1010
15 39 09.744	+10 34 45.02	 	15367+1044	 18.4	 47.3	-0.7003	-1.2352	234.7906	+10.5792
15 56 08.009	+29 14 19.71	 	15541+2922	 47.1	 49.5	-0.7156	-1.1638	239.0334	+29.2388
16 29 22.903	+10 31 02.30	 	16270+1037	 26.0	 36.3	-0.7495	-1.0702	247.3454	+10.5173
16 45 34.141	+12 08 12.47	 	16432+1213	 29.8	 33.4	-0.8368	-1.2381	251.3923	+12.1368
17 13 45.797	+18 00 24.54	 	17115+1803	 39.2	 29.4	-0.7111	-1.1025	258.4408	+18.0068
17 16 25.843	+04 43 16.37	 	17139+0446	 26.1	 23.3	-0.8040	-1.2924	259.1077	+04.7212
17 30 22.762	+17 54 48.12	 	17281+1757	 40.8	 25.7	-0.7478	-1.1982	262.5948	+17.9134
17 36 10.482	+35 23 23.23	 	17343+3525	 60.1	 29.9	-0.7304	-1.2351	264.0437	+35.3898
17 38 45.773	+04 48 46.93	 	17362+0450	 28.9	 18.3	-0.3561	-0.7824	264.6907	+04.8130
17 40 31.259	+11 53 36.90	 	17381+1155	 35.8	 21.1	-0.7054	-1.1617	265.1302	+11.8936
17 56 20.862	+11 21 45.96	 	17540+1122	 37.1	 17.3	-0.7218	-1.2395	269.0869	+11.3628
17 56 32.496	+11 10 10.80	 	17541+1110	 36.9	 17.2	-0.7463	-1.2029	269.1354	+11.1697
18 08 37.714	+05 17 13.38	 	18061+0516	 32.8	 12.0	-0.7237	-1.2025	272.1571	+05.2870
18 14 26.497	+30 11 40.97	 	18125+3010	 57.1	 20.8	-0.7001	-1.1911	273.6104	+30.1947
18 22 38.173	+06 37 43.55	 	18202+0636	 35.6	  9.4	-0.7102	-1.1820	275.6591	+06.6288
18 26 52.964	+03 54 48.90	 	18243+0352	 33.6	  7.3	-0.7104	-1.3629	276.7207	+03.9136
18 29 31.290	+01 18 40.25	 	18269+0116	 31.5	  5.7	-0.1249	-0.2503	277.3804	+01.3112
18 36 24.271	+08 54 11.38	 	18340+0851	 39.2	  7.4	-0.4187	-0.8736	279.1011	+08.9032
18 40 12.850	+00 29 31.46	*	18376+0026	 32.0	  2.9	 0.1707	-0.4739	280.0535	+00.4921
18 44 24.939	+02 20 13.62	*	18418+0217	 34.1	  2.8	-0.6654	-1.2261	281.1039	+02.3371
18 45 51.898	+00 48 15.78	*	18433+0045	 33.0	  1.7	-0.6627	-1.0254	281.4662	+00.8044
18 48 00.402	+02 54 13.04	 	18454+0250	 35.1	  2.2	 0.3601	-0.2517	282.0017	+02.9036
18 50 49.965	+00 24 04.02	 	18482+0020	 33.2	  0.4	-0.4574	-0.0473	282.7082	+00.4011
18 51 14.568	+02 09 18.85	 	18487+0205	 34.8	  1.1	-0.4793	-0.2247	282.8107	+02.1552
18 53 57.981	+00 23 25.39	 	18514+0019	 33.5	 -0.3	 0.2674	-0.5476	283.4916	+00.3904
18 53 38.102	+36 30 33.66	*	18518+3626	 66.4	 15.5	-0.6699	-1.0748	283.4088	+36.5093
18 54 45.144	+00 35 58.74	 	18522+0032	 33.8	 -0.4	-0.4398	-0.8700	283.6881	+00.5996
18 55 12.558	+10 41 43.09	 	18528+1037	 42.8	  4.2	-0.7361	-1.1483	283.8023	+10.6953
18 55 56.646	+30 09 05.10	*	18540+3005	 60.7	 12.4	-0.6896	-1.2974	283.9860	+30.1514
18 59 26.841	+05 22 37.85	 	18569+0518	 38.5	  0.9	-0.7300	-0.1163	284.8618	+05.3772
19 00 45.240	+01 13 53.21	*	18582+0109	 35.1	 -1.5	 0.0344	-0.0178	285.1885	+01.2314
19 01 23.190	+08 19 25.16	*	18589+0815	 41.4	  1.8	-0.6603	-0.9981	285.3466	+08.3237
19 01 39.042	+05 23 30.16	*	18591+0519	 38.9	  0.2	 0.0332	-0.1045	285.4127	+05.3917
19 02 20.929	+01 30 40.96	*	18598+0126	 35.4	 -1.6	-0.6543	-0.9953	285.5872	+01.5114
19 03 33.762	+06 42 29.28	 	19011+0638	 40.3	  0.4	-0.3384	-0.4815	285.8907	+06.7081
19 04 03.876	+10 47 23.55	*	19017+1042	 43.9	  2.3	-0.6788	-0.9476	286.0162	+10.7899
19 04 53.225	+02 08 38.67	*	19023+0204	 36.3	 -1.9	-0.6505	-1.3251	286.2218	+02.1441
19 05 57.228	+02 56 50.18	*	19034+0252	 37.2	 -1.9	-0.6895	-1.0148	286.4884	+02.9473
19 06 02.109	+13 41 22.95	*	19037+1336	 46.8	  3.0	-0.6960	-1.1428	286.5088	+13.6897
19 07 14.696	+30 11 25.77	*	19053+3006	 61.8	 10.2	-0.6696	-1.0975	286.8112	+30.1905
19 10 34.030	+13 24 48.91	*	19082+1319	 47.0	  1.9	-0.6936	-0.9518	287.6418	+13.4136
19 12 00.456	+00 58 14.43	*	19094+0053	 36.1	 -4.1	-0.6604	-0.9904	288.0019	+00.9707
19 12 30.611	+03 42 37.63	*	19100+0337	 38.6	 -3.0	-0.6883	-1.0355	288.1275	+03.7105
19 13 24.115	+14 09 34.74	*	19111+1404	 48.0	  1.7	-0.6614	-1.1623	288.3505	+14.1597
19 15 18.930	+02 15 56.23	*	19127+0210	 37.7	 -4.3	-0.6765	-1.1409	288.8289	+02.2656
19 15 17.324	+14 47 01.60	*	19130+1441	 48.8	  1.5	-0.6905	-0.9519	288.8222	+14.7838
19 17 02.209	+10 04 43.65	 	19146+0959	 44.8	 -1.0	-0.7317	-0.8100	289.2592	+10.0788
19 17 31.643	+04 09 46.45	*	19150+0404	 39.6	 -3.9	-0.6797	-1.2948	289.3818	+04.1629
19 17 34.223	+04 27 04.64	*	19150+0421	 39.9	 -3.8	-0.6525	-1.2091	289.3926	+04.4513
19 17 13.443	+20 48 38.85	*	19150+2043	 54.3	  3.9	-0.6635	-1.1177	289.3060	+20.8108
19 17 42.646	+12 09 19.51	 	19153+1203	 46.7	 -0.2	-0.6593	-0.5582	289.4277	+12.1554
19 17 35.150	+16 44 47.18	 	19153+1639	 50.8	  2.0	-0.5981	-0.8978	289.3965	+16.7464
19 18 53.710	+04 17 32.10	*	19164+0411	 39.9	 -4.1	-0.6647	-1.1075	289.7238	+04.2923
19 20 22.517	+04 55 48.22	*	19179+0450	 40.6	 -4.2	-0.6544	-1.2514	290.0938	+04.9301
19 23 01.479	+17 26 44.58	 	19207+1720	 51.9	  1.3	-0.7448	 0.2182	290.7562	+17.4457
19 23 20.524	+01 39 48.28	 	19208+0133	 38.1	 -6.3	-0.8207	-1.1892	290.8355	+01.6634
19 23 19.984	+14 54 49.74	 	19210+1448	 49.8	 -0.1	-0.2610	-0.0743	290.8333	+14.9138
19 24 21.369	+23 36 12.28	 	19222+2330	 57.6	  3.8	-0.6968	-1.0772	291.0890	+23.6034
19 24 49.964	+07 38 47.60	*	19224+0732	 43.6	 -3.9	-0.6536	-1.2664	291.2082	+07.6466
19 24 45.555	+22 46 25.89	*	19226+2240	 56.9	  3.3	-0.0319	-0.8444	291.1898	+22.7739
19 25 06.349	+16 36 15.05	 	19228+1630	 51.5	  0.3	-0.6309	-0.8580	291.2765	+16.6042
19 26 22.217	+16 14 30.19	 	19241+1608	 51.3	 -0.1	-0.3880	-0.7265	291.5926	+16.2417
19 27 06.509	+18 17 11.27	 	19248+1811	 53.2	  0.7	-0.6353	-0.6683	291.7771	+18.2865
19 27 16.781	+24 51 01.24	 	19251+2444	 59.0	  3.8	-0.6867	-1.2757	291.8199	+24.8503
19 27 39.187	+13 22 06.30	*	19253+1315	 48.9	 -1.8	-0.6569	-1.0024	291.9133	+13.3684
19 28 09.590	+25 56 00.86	*	19260+2549	 60.0	  4.1	-0.6542	-1.2309	292.0400	+25.9336
19 31 10.699	+25 17 41.05	*	19291+2511	 59.8	  3.2	-0.6639	-1.3050	292.7946	+25.2947
19 31 58.799	+18 21 41.00	 	19297+1815	 53.8	 -0.3	-0.4262	-0.6807	292.9950	+18.3614
19 32 08.216	+27 33 38.02	*	19301+2727	 61.9	  4.1	-0.6871	-1.1659	293.0342	+27.5606
19 34 12.549	+19 58 31.03	*	19320+1951	 55.5	  0.0	-0.6714	-0.8450	293.5523	+19.9753
19 34 20.408	+21 48 30.63	 	19321+2141	 57.1	  0.9	-0.6874	-0.7364	293.5850	+21.8085
19 34 09.745	+28 04 04.18	*	19321+2757	 62.6	  4.0	-0.6877	-1.0589	293.5406	+28.0678
19 36 30.249	+20 33 08.25	 	19343+2026	 56.2	 -0.1	-0.2579	 0.8169	294.1260	+20.5523
19 36 45.045	+26 51 21.49	*	19347+2644	 61.8	  2.9	-0.6530	-1.1322	294.1877	+26.8560
19 37 49.549	+18 20 33.44	 	19355+1813	 54.5	 -1.5	-0.6687	-1.0445	294.4565	+18.3426
19 38 08.265	+29 40 50.15	*	19361+2933	 64.4	  4.0	-0.6553	-1.0346	294.5344	+29.6806
19 38 21.171	+26 59 04.89	*	19363+2652	 62.1	  2.6	-0.6814	-1.0310	294.5882	+26.9847
19 40 30.035	+12 01 36.85	*	19381+1154	 49.3	 -5.2	-0.6916	-1.2070	295.1251	+12.0269
19 40 17.407	+22 31 40.40	 	19381+2224	 58.4	  0.0	-0.5251	-0.7933	295.0725	+22.5279
19 40 54.136	+29 02 52.10	*	19388+2855	 64.1	  3.1	-0.6912	-1.1138	295.2256	+29.0478
19 42 14.098	+20 28 50.02	*	19400+2021	 56.8	 -1.4	-0.6501	-1.0995	295.5587	+20.4806
19 43 37.875	+14 03 14.30	 	19413+1356	 51.4	 -4.8	-0.6689	-1.0410	295.9078	+14.0540
19 43 27.049	+30 57 07.25	*	19414+3049	 66.1	  3.6	-0.6556	-0.9886	295.8627	+30.9520
19 44 56.458	+15 21 27.50	 	19426+1514	 52.7	 -4.5	-0.7150	-1.3282	296.2352	+15.3576
19 46 53.718	+24 53 25.52	*	19447+2445	 61.2	 -0.1	 0.1561	-0.3223	296.7238	+24.8904
19 47 19.823	+13 45 28.81	*	19450+1338	 51.6	 -5.8	-0.6676	-1.1032	296.8326	+13.7580
19 48 36.902	+03 41 46.50	 	19461+0334	 42.9	-10.9	-0.6847	-1.2017	297.1538	+03.6962
19 49 27.543	+21 34 40.39	*	19472+2127	 58.6	 -2.3	-0.6971	-1.2899	297.3648	+21.5779
19 49 53.121	+31 07 00.44	*	19479+3059	 66.9	  2.5	-0.6781	-0.9228	297.4713	+31.1168
19 49 49.714	+35 49 16.43	 	19479+3541	 71.0	  4.9	-0.6921	-1.1135	297.4571	+35.8212
19 50 11.481	+24 55 20.37	*	19480+2447	 61.6	 -0.7	-0.6647	-1.1021	297.5478	+24.9223
19 50 33.794	+32 54 49.15	 	19486+3247	 68.5	  3.3	-0.9727	-1.1724	297.6408	+32.9137
19 51 21.661	+26 34 05.97	*	19492+2626	 63.2	 -0.1	 0.2287	-0.3954	297.8403	+26.5683
19 52 22.893	+22 44 56.77	*	19502+2237	 60.0	 -2.3	-0.6675	-1.2784	298.0954	+22.7491
19 52 30.356	+22 27 16.24	 	19503+2219	 59.8	 -2.4	-0.7092	-1.1792	298.1265	+22.4545
19 53 04.503	+21 51 31.42	*	19509+2143	 59.3	 -2.8	-0.6718	-1.0226	298.2688	+21.8587
19 54 29.136	+24 22 20.94	 	19523+2414	 61.6	 -1.8	-0.6818	-1.0915	298.6214	+24.3725
19 54 35.544	+21 38 33.25	*	19524+2130	 59.3	 -3.3	-0.6590	-1.1206	298.6481	+21.6426
19 55 57.280	+22 20 58.51	 	19537+2212	 60.1	 -3.2	-0.8730	-1.1170	298.9887	+22.3496
19 56 01.550	+27 54 40.99	*	19539+2746	 64.8	 -0.3	-0.6915	-0.9839	299.0065	+27.9114
19 57 47.945	+06 33 42.04	*	19553+0625	 46.6	-11.6	-0.6553	-1.0092	299.4498	+06.5617
19 58 08.795	+30 06 29.18	*	19561+2958	 67.0	  0.4	-0.6889	-1.1860	299.5366	+30.1081
19 58 24.400	+27 56 03.08	*	19563+2747	 65.1	 -0.7	-0.6872	-0.9857	299.6017	+27.9342
19 59 48.977	+10 31 15.84	*	19574+1022	 50.3	-10.0	-0.6865	-1.1294	299.9541	+10.5211
19 59 30.980	+25 19 57.21	*	19574+2511	 63.1	 -2.3	-0.6768	-1.0098	299.8791	+25.3326
20 01 15.247	+15 17 34.45	 	19589+1509	 54.7	 -7.9	-0.6556	-1.2511	300.3135	+15.2929
20 01 03.862	+30 49 46.29	*	19590+3041	 67.9	  0.3	-0.6659	-0.9086	300.2661	+30.8295
20 02 57.155	+21 42 00.07	*	20007+2133	 60.4	 -4.9	-0.6825	-1.1278	300.7381	+21.7000
20 03 09.983	+29 59 10.18	*	20011+2950	 67.4	 -0.5	-0.6801	-1.1652	300.7916	+29.9862
20 03 43.960	+32 35 33.42	*	20017+3227	 69.7	  0.7	-0.6636	-1.0472	300.9332	+32.5926
20 07 40.602	+12 44 21.47	*	20053+1235	 53.3	-10.5	-0.6717	-1.1604	301.9192	+12.7393
20 09 14.491	+31 25 44.92	*	20072+3116	 69.4	 -0.9	-0.6640	-1.0152	302.3104	+31.4291
20 11 12.069	+14 48 38.59	*	20088+1439	 55.5	-10.2	-0.6953	-1.3189	302.8003	+14.8107
20 14 45.362	+30 06 25.13	*	20127+2957	 68.9	 -2.6	-0.6874	-1.2091	303.6890	+30.1070
20 15 03.088	+29 00 58.16	*	20130+2851	 68.0	 -3.2	-0.6943	-1.3736	303.7629	+29.0162
20 15 33.177	+31 04 16.06	 	20135+3055	 69.8	 -2.2	-0.7464	-1.1620	303.8882	+31.0711
20 16 26.559	+37 06 05.54	*	20145+3656	 74.9	  1.0	-0.6598	-1.2056	304.1107	+37.1015
20 19 10.559	+37 23 31.42	 	20173+3714	 75.4	  0.8	-0.1549	 0.6357	304.7940	+37.3921
20 19 57.720	+28 42 25.91	*	20178+2832	 68.4	 -4.3	-0.6578	-1.2703	304.9905	+28.7072
