#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-06-22T18:46:47 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ60d2272c34a6fe	
#INFO	-out.max=unlimited	
#INFO	queryParameters=42	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-nav=cat:J/AJ/123/2772&cat:J/A+A/538/A136&cat:J/ApJS/89/189&cat:J/ApJS/109/489&cat:J/A+AS/92/43&cat:J/A+AS/127/185&tab:{J/A+AS/127/185/table1}&tab:{J/A+AS/127/185/table2}&cat:J/A+A/391/967&cat:J/A+A/446/773&cat:J/A+A/299/453&cat:J/AJ/127/501&cat:J/A+AS/128/35&cat:J/A+A/431/779&cat:J/A+A/368/1006&key:source=OH/IR+stars&HTTPPRM:&&-ref=VIZ60d2272c34a6fe&-out.max=unlimited&-out.form=HTML Table&-out.all=2&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=IRAS&-out=Names&-out=RA1950&-out=DE1950&-out=Vlsr&-out=OH&-out=H2O&-out=SiO&-out=Type&-out=r_Type&-out.all=2&-out=_RA.icrs&-out=_DE.icrs&-out=HJD1&-out=rms1&-out=peak1&-out=Int1&-out=HJD2&-out=u_rms2&-out=rms2&-out=peak2&-out=Int2&-out=n_HJD3&-out=HJD3&-out=rms3&-out=peak3&-out=Int3&-out=RefNo&-out=Text&-out.all=2&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+AS/127/185/table1,J/A+AS/127/185/table2,J/A+AS/127/185/refs&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source= J/A+AS/127/185/table1 J/A+AS/127/185/table2
#-out=IRAS
#-out=Names
#-out=RA1950
#-out=DE1950
#-out=Vlsr
#-out=OH
#-out=H2O
#-out=SiO
#-out=Type
#-out=r_Type
#-out=_RA.icrs
#-out=_DE.icrs
#-out=HJD1
#-out=rms1
#-out=peak1
#-out=Int1
#-out=HJD2
#-out=u_rms2
#-out=rms2
#-out=peak2
#-out=Int2
#-out=n_HJD3
#-out=HJD3
#-out=rms3
#-out=peak3
#-out=Int3
#-out=RefNo
#-out=Text
#-out.src=J/A+AS/127/185/table1,J/A+AS/127/185/table2,J/A+AS/127/185/refs
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_41270185
#Name: J/A+AS/127/185
#Title: SiO masers in OH/IR stars proto-PN and PN (Nyman+ 1998)
#Coosys	B1950:	eq_FK4 B1950
#Table	J_A_AS_127_185_table1:
#Name: J/A+AS/127/185/table1
#Title: Source parameters
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	IRAS	(A10)	IRAS name	[ucd=meta.id;meta.main]
#Column	Names	(a14)	Other name	[ucd=meta.id]
#Column	RA1950	(A10)	Right ascension (1950)	[ucd=pos.eq.ra;meta.main]
#Column	DE1950	(A9)	Declination (1950)	[ucd=pos.eq.dec;meta.main]
#Column	Vlsr	(I4)	LSR center velocity of the spectra	[ucd=phys.veloc;pos.lsr]
#Column	OH	(A1)	[x] x: Presence of OH	[ucd=meta.note]
#Column	H2O	(A1)	[x] x: Presence of H2O	[ucd=meta.note]
#Column	SiO	(A1)	[xX?] x: Presence of SiO, X: new detection	[ucd=meta.note]
#Column	Type	(a20)	Evolutionary status of the object (1)	[ucd=meta.code.status;time.age]
#Column	r_Type	(a8)	References detailed in table refs.dat	[ucd=meta.note]
#Column	_RA.icrs	(A10)	Right ascension (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A9)	Declination (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
_RAJ2000	_DEJ2000	IRAS	Names	RA1950	DE1950	Vlsr	OH	H2O	SiO	Type	r_Type	_RA.icrs	_DE.icrs
258.435297	-37.103120	17103-3702	NGC 6302      	17 10 21.3	-37 02 43	 -40	x	 	 	PN                  	4       	17 13 44.5	-37 06 11
258.465636	-30.827869	17106-3046	              	17 10 39.0	-30 46 13	   6	x	 	 	?                   	3       	17 13 51.8	-30 49 40
258.768464	-29.937525	17118-2952	              	17 11 53.0	-29 52 53	 -40	x	 	 	OH/IR               	1       	17 15 04.4	-29 56 15
259.620649	-37.967213	17150-3754	OH 349.36-0.20	17 15 04.0	-37 54 54	-125	x	 	 	PN                  	4       	17 18 29.0	-37 58 02
259.583678	-32.456459	17150-3224	              	17 15 04.6	-32 24 15	  26	x	 	 	PPN                 	10,11,26	17 18 20.1	-32 27 23
259.955341	-39.177305	17163-3907	Hen 1379      	17 16 22.0	-39 07 36	   5	 	 	 	PPN                 	15      	17 19 49.3	-39 10 38
260.679729	-27.226136	17195-2710	              	17 19 35.5	-27 10 45	   0	 	 	 	PPN                 	10      	17 22 43.1	-27 13 34
260.978972	-28.976674	17207-2856	              	17 20 44.7	-28 55 52	 -20	x	 	 	PN                  	4       	17 23 55.0	-28 58 36
261.329142	-30.678633	17221-3038	PK 356+2.1    	17 22 06.1	-30 38 05	   0	x	 	 	PN                  	4       	17 25 19.0	-30 40 43
261.621169	-26.083271	17233-2602	OH 0.1+5.1    	17 23 23.0	-26 02 27	-143	x	 	 	PPN                 	10,11   	17 26 29.1	-26 05 00
263.098584	-27.500351	17292-2727	              	17 29 15.4	-27 27 54	 -50	x	 	 	?                   	1       	17 32 23.7	-27 30 01
263.723258	-27.753453	17317-2743	OH 359.8+2.6  	17 31 44.9	-27 43 16	  45	x	 	 	?                   	1       	17 34 53.6	-27 45 12
264.502840	-31.681695	17347-3139	              	17 34 45.9	-31 39 11	-100	x	 	 	PN                  	4       	17 38 00.7	-31 40 54
264.811796	-30.240733	17360-3012	OH 358.16+0.5 	17 36 02.3	-30 12 49	   2	x	 	x	OH/IR               	2,7     	17 39 14.8	-30 14 27
265.086238	-27.836312	17371-2747	              	17 37 11.8	-27 48 38	 115	 	 	 	PN (continuum pos.) 	4       	17 40 20.7	-27 50 11
265.072054	-27.834159	17371-2747	              	17 37 08.4	-27 48 30	 115	x	 	 	PN (OH maser pos.)  	4       	17 40 17.3	-27 50 03
265.160708	-28.016788	17375-2759	              	17 37 29.4	-27 59 29	  30	 	 	 	PN (continuum pos.) 	4       	17 40 38.6	-28 01 00
265.149516	-28.026565	17375-2759	              	17 37 26.7	-28 00 04	  30	x	 	 	PN (OH maser pos.)  	4       	17 40 35.9	-28 01 36
265.186811	-30.033360	17375-3000	              	17 37 32.6	-30 00 29	   0	x	 	 	PN                  	4       	17 40 44.8	-30 02 00
265.468039	-33.561225	17385-3332	              	17 38 34.4	-33 32 14	-236	x	 	 	PPN                 	10,11   	17 41 52.3	-33 33 40
265.637882	-27.473636	17393-2727	OH 0.9+1.3    	17 39 24.7	-27 27 02	-110	x	 	 	PN                  	4       	17 42 33.1	-27 28 25
265.906541	-27.245665	17404-2713	OH 1.2+1.3    	17 40 29.5	-27 13 26	   0	x	 	 	PPN                 	10,11   	17 43 37.6	-27 14 44
266.094524	-31.927607	17411-3154	              	17 41 07.4	-31 54 24	 -20	x	 	X	OH/IR               	2,3,9   	17 44 22.7	-31 55 39
266.308988	-17.946360	17423-1755	He 3-1475     	17 42 18.8	-17 55 36	  45	x	 	 	PPN                 	17,38   	17 45 14.2	-17 56 47
266.566077	-17.863723	17433-1750	              	17 43 20.6	-17 50 43	 120	x	 	 	PPN                 	1,10,11 	17 46 15.9	-17 51 49
266.864795	-25.337936	17443-2519	              	17 44 22.2	-25 19 15	  29	x	 	 	OH/IR               	2       	17 47 27.6	-25 20 17
266.899326	-29.845893	17443-2949	              	17 44 23.8	-29 49 44	 -10	x	 	 	PN                  	4       	17 47 35.8	-29 50 45
267.292996	-30.972613	17459-3057	              	17 45 56.5	-30 57 27	   6	x	 	X	OH/IR               	2,9     	17 49 10.3	-30 58 21
267.833834	-15.206982	17484-1511	              	17 48 28.2	-15 11 41	  94	x	 	 	?                   	1       	17 51 20.1	-15 12 25
268.444111	-31.740648	17505-3143	              	17 50 31.5	-31 43 52	   4	x	 	X	OH/IR               	2,9     	17 53 46.6	-31 44 26
268.680630	-25.441623	17516-2525	              	17 51 37.8	-25 26 00	 -15	x	 	 	PPN                 	2,24    	17 54 43.4	-25 26 30
268.854703	+26.049615	17534+2603	89 Her        	17 53 24.0	+26 03 23	  -5	 	 	 	PPN                 	27,33   	17 55 25.1	+26 02 59
269.894158	-20.601213	17565-2035	              	17 56 35.7	-20 35 56	 204	x	 	 	?                   	2       	17 59 34.6	-20 36 04
270.306734	-31.365759	17579-3121	              	17 57 59.1	-31 21 55	  10	x	 	 	PPN                 	3       	18 01 13.6	-31 21 57
270.342546	-31.174470	17580-3111	              	17 58 08.0	-31 10 27	  20	x	 	 	PN                  	4       	18 01 22.2	-31 10 28
271.182893	-27.720054	18016-2743	              	18 01 35.0	-27 43 26	  74	x	 	 	PPN                 	10,11   	18 04 43.9	-27 43 12
271.512848	-39.099204	18025-3906	              	18 02 35.0	-39 06 16	-116	x	 	 	PPN                 	3       	18 06 03.1	-39 05 57
271.862111	-19.777750	18044-1947	              	18 04 29.1	-19 47 06	   0	x	 	 	OH/IR               	2       	18 07 26.9	-19 46 40
272.115012	-18.552060	18055-1833	AX Sgr        	18 05 31.4	-18 33 38	   0	x	 	 	OH/IR               	2,40    	18 08 27.6	-18 33 07
272.524457	-17.443112	18071-1727	OH 12.8+0.9   	18 07 11.1	-17 27 13	  24	x	 	 	PPN                 	2,24    	18 10 05.9	-17 26 35
272.704721	 -3.637342	18081-0338	              	18 08 11.1	-03 38 56	   7	x	 	 	OH/IR               	18      	18 10 49.1	-03 38 14
272.877322	+27.087224	18095+2704	              	18 09 30.9	+27 04 28	   0	x	 	 	PPN                 	2,25    	18 11 30.6	+27 05 14
273.384297	-19.583411	18105-1935	              	18 10 34.7	-19 35 53	  17	x	 	 	PPN                 	10,11   	18 13 32.2	-19 35 00
273.374072	 -7.163580	18107-0710	              	18 10 47.6	-07 10 42	  18	x	 	X	OH/IR               	1,9     	18 13 29.8	-07 09 49
274.108586	-14.920392	18135-1456	OH 15.7+0.8   	18 13 34.5	-14 56 19	  -1	x	x	x	PPN                 	5,9,19  	18 16 26.1	-14 55 13
274.757591	-17.201720	18161-1713	              	18 16 07.4	-17 13 23	   0	 	 	 	?                   	2       	18 19 01.8	-17 12 06
274.897996	-12.135697	18167-1209	OH 18.5+1.4   	18 16 47.4	-12 09 28	 175	x	 	 	?                   	19      	18 19 35.5	-12 08 09
275.151866	-18.785942	18176-1848	OH 12.8-1.9   	18 17 40.0	-18 48 33	  13	x	x	x	OH/IR               	2,8,9   	18 20 36.4	-18 47 09
277.119034	 -9.971597	18257-1000	OH 21.5+0.5   	18 25 43.1	-10 00 16	 116	x	x	x	OH/IR               	2,5,9   	18 28 28.6	-09 58 18
277.628018	-14.482253	18276-1431	OH 17.7-2.0   	18 27 39.8	-14 31 03	  61	x	x	 	PPN                 	15      	18 30 30.7	-14 28 56
277.566714	+21.865950	18281+2149	AC Her        	18 28 08.8	+21 49 50	   0	 	 	 	PPN                 	2       	18 30 16.0	+21 51 57
278.210964	-21.160364	18298-2111	AFGL 5501     	18 29 51.2	-21 11 54	  98	x	 	 	OH/IR               	1       	18 32 50.6	-21 09 37
278.251803	 -5.289970	18303-0519	              	18 30 20.5	-05 19 42	   0	 	 	 	Variable star       	2       	18 33 00.4	-05 17 24
278.556610	-28.539917	18310-2834	              	18 31 03.8	-28 34 46	-115	x	 	 	OH/IR               	1       	18 34 13.6	-28 32 24
278.646214	-27.943644	18314-2759	              	18 31 26.2	-27 59 01	  22	x	 	 	?                   	1       	18 34 35.1	-27 56 37
279.197117	 -8.612965	18340-0839	              	18 34 03.5	-08 39 21	   0	x	 	X	OH/IR               	2,9     	18 36 47.3	-08 36 47
279.385606	 -5.399800	18348-0526	OH 26.5+0.6   	18 34 52.5	-05 26 37	  27	x	x	x	OH/IR               	2,5,7,9 	18 37 32.5	-05 23 59
281.611599	 -6.675557	18437-0643	OH 26.4-1.9   	18 43 45.3	-06 43 48	  25	x	x	x	OH/IR               	2,5,9   	18 46 26.8	-06 40 32
281.920889	 -1.749028	18450-0148	W 43A         	18 45 05.2	-01 48 18	  34	x	x	 	PPN                 	20      	18 47 41.0	-01 44 56
282.001651	 +2.903631	18454+0250	              	18 45 29.9	+02 50 50	  14	x	 	 	PMS?                	1       	18 48 00.4	+02 54 13
282.174838	 -2.841443	18460-0254	OH 30.1-0.7   	18 46 04.9	-02 53 55	  99	x	x	x	OH/IR               	2,9     	18 48 42.0	-02 50 29
282.753824	-25.185075	18479-2514	              	18 47 56.4	-25 14 41	 -30	x	 	 	OH/IR               	1       	18 51 00.9	-25 11 06
282.945305	 -2.069164	18491-0207	              	18 49 10.7	-02 07 48	  80	x	 	 	PPN                 	17      	18 51 46.9	-02 04 09
283.797663	 +1.745746	18526+0140	              	18 52 39.6	+01 40 51	-115	x	 	 	?                   	2       	18 55 11.4	+01 44 45
284.393881	 +1.581614	18550+0130	              	18 55 02.5	+01 30 50	   0	 	 	X	Variable star       	2,9     	18 57 34.5	+01 34 54
284.625410	 +6.716094	18560+0638	OH 39.7+1.5   	18 56 03.9	+06 38 50	  20	x	x	x	OH/IR               	2,6     	18 58 30.1	+06 42 58
285.526932	 +3.337792	18596+0315	OH 37.1-0.8   	18 59 36.4	+03 15 53	  84	x	x	?	PPN                 	5,21    	19 02 06.5	+03 20 16
285.889582	 +5.524793	19010+0526	              	19 01 05.9	+05 27 00	   0	x	 	 	OH/IR               	2       	19 03 33.5	+05 31 29
287.285145	 +8.275220	19067+0811	OH 42.3-0.1   	19 06 43.9	+08 11 38	  64	x	x	x	PPN                 	5,9,21  	19 09 08.4	+08 16 31
287.488366	 +9.447843	19075+0921	              	19 07 34.0	+09 21 56	   0	x	 	 	OH/IR               	2,39    	19 09 57.2	+09 26 52
288.494550	 +0.125179	19114+0002	AFGL 2343     	19 11 25.0	+00 02 18	 100	x	 	 	PPN                 	1       	19 13 58.7	+00 07 31
288.747927	+17.378478	19127+1717	              	19 12 45.5	+17 17 25	  16	x	 	 	PN                  	1,27    	19 14 59.5	+17 22 43
288.897335	+21.609215	19134+2131	              	19 13 26.6	+21 31 13	 -67	 	x	 	PPN                 	20      	19 15 35.4	+21 36 33
289.560831	+23.823957	19161+2343	CRL 2362      	19 16 08.6	+23 43 55	  29	x	x	 	OH/IR               	2       	19 18 14.6	+23 49 26
290.234305	-26.243232	19178-2620	CRL 2370      	19 17 51.4	-26 20 16	   5	x	 	X	OH/IR               	2,9     	19 20 56.2	-26 14 36
290.355304	+11.144391	19190+1102	              	19 19 03.8	+11 02 56	 -23	x	x	 	PMS?                	1       	19 21 25.3	+11 08 40
290.401986	 +9.464309	19192+0922	OH 44.8-2.3   	19 19 13.1	+09 22 07	 -72	x	x	x	OH/IR               	2,8,9   	19 21 36.5	+09 27 52
291.092657	 +9.898846	19219+0947	VY 2-2        	19 21 59.3	+09 48 00	 -60	x	 	 	PN                  	4       	19 24 22.2	+09 53 56
291.700618	+11.354395	19244+1115	IRC +10420    	19 24 26.8	+11 15 10	  78	x	 	 	Supergiant          	34      	19 26 48.1	+11 21 16
292.623522	+19.844478	19283+1944	OH 55.0+2.7   	19 28 18.1	+19 44 19	  27	x	 	X	OH/IR               	1,9     	19 30 29.6	+19 50 40
292.709696	+29.499147	19288+2923	              	19 28 51.4	+29 23 34	 -40	x	x	x	OH/IR               	2,8     	19 30 50.3	+29 29 57
292.962660	+23.116592	19297+2300	              	19 29 43.5	+23 00 33	  11	x	 	 	PMS?                	1       	19 31 51.0	+23 07 00
294.070120	+29.537721	19343+2926	M 1-92        	19 34 17.6	+29 25 31	   0	x	 	 	PPN                 	35      	19 36 16.8	+29 32 16
294.348350	+20.615241	19352+2030	OH 56.4-3.0   	19 35 12.7	+20 30 06	  17	x	 	 	OH/IR               	1       	19 37 23.6	+20 36 55
298.215751	+39.723459	19511+3935	              	19 51 06.9	+39 35 34	  23	 	x	 	?                   	1       	19 52 51.8	+39 43 24
299.633085	+34.525533	19566+3423	              	19 56 38.1	+34 23 20	 -43	x	x	 	?                   	1       	19 58 31.9	+34 31 32
299.911660	+28.385248	19576+2814	OH 65.7+0.7   	19 57 36.3	+28 14 51	 -59	x	 	 	OH/IR               	1       	19 59 38.8	+28 23 07
301.595625	+27.036445	20043+2653	OH 65.3-2.7   	20 04 18.2	+26 53 30	  -5	x	 	x	OH/IR               	1,5,9   	20 06 22.9	+27 02 11
307.283310	+35.760753	20272+3535	OH 75.3-1.8   	20 27 12.5	+35 35 35	  -4	x	 	 	OH/IR               	1       	20 29 08.0	+35 45 39
310.691438	+30.068321	20406+2953	              	20 40 41.5	+29 53 16	  15	x	 	 	?                   	1,10,11 	20 42 45.9	+30 04 06
312.740949	+42.801171	20491+4236	OH 83.4-0.9   	20 49 09.5	+42 36 47	 -39	x	x	x	OH/IR               	2,6,9   	20 50 57.8	+42 48 04
320.575804	+51.977154	21206+5145	              	21 20 38.7	+51 45 46	-100	x	x	 	PMS?                	1       	21 22 18.2	+51 58 38
329.242718	+62.312061	21554+6204	              	21 55 29.6	+62 04 24	 -20	x	 	 	?                   	2       	21 56 58.3	+62 18 43
331.377607	+53.359069	22036+5306	              	22 03 40.0	+53 06 55	 -40	x	 	 	PPN                 	17      	22 05 30.6	+53 21 33
334.866116	+59.855976	22177+5936	OH 104.9+2.4  	22 17 43.1	+59 36 16	 -25	x	x	x	OH/IR               	2,5     	22 19 27.9	+59 51 22
342.496513	+60.298695	22480+6002	              	22 48 00.9	+60 02 01	   0	 	 	X	Supergiant          	2,9     	22 49 59.2	+60 17 55
353.594514	+66.030597	23321+6545	              	23 32 06.3	+65 45 15	 -15	x	 	 	PPN                 	1,10,11 	23 34 22.7	+66 01 50
359.152166	+70.803541	23541+7031	M 2-56        	23 54 06.6	+70 31 31	   0	 	 	 	PPN                 	36      	23 56 36.5	+70 48 13

